title,link,word_count,date,author,comments_count,notes
Why Money Won't Solve Your Problems,https://affordanything.com/money-wont-solve-problems/,719,"March 6, 2018",Paula Pant,33,
Today is My 10-Year-I-Don't-Have-A-Job-AVersary,https://affordanything.com/10-years-of-unemployment/,1119,"April 4, 2018",Paula Pant,57,
Here's a Counterintuitive Idea for Your Retirement ... ,https://affordanything.com/heres-a-counterintuitive-idea-for-your-retirement/,1612,"March 20, 2018",Paula Pant,34,
Timeline vs. Intensity,https://affordanything.com/timeline-vs-intensity/,537,"March 27, 2018",Paula Pant,10,
"Our Rental Properties Collected $125,618.49 in 2017. Here's How Much We Kept.",https://affordanything.com/how-we-made-43211-67-in-passive-income-from-real-estate-in-2017/,618,"April 19, 2018",Paula Pant,24,
Your Money? Or Your Life?,https://affordanything.com/your-money-or-your-life/,1871,"April 9, 2018",Paula Pant,23,
How to Make Long Flights Tolerable,https://affordanything.com/make-long-flights-tolerable/,1096,"November 10, 2017",Paula Pant,21,
"If Money is Not the Motivation, What Is? -- an Interview with the Mad Fientist",https://affordanything.com/madfientist/,496,"November 16, 2017",Paula Pant,24,
"15 Insightful Books about Investing, Money, Work and Life",https://affordanything.com/whats-on-my-bookshelf/,1708,"April 25, 2018",Paula Pant,13,
8 Money Myths That Might Be Holding You Back,https://affordanything.com/8-money-myths-holding-you-back/,2203,"February 19, 2018",Paula Pant,52,
Love is Stronger Than Fear,https://affordanything.com/love-stronger-than-fear/,263,"October 2, 2017",Paula Pant,15,
I Tracked My Time in 15-Minute Increments for a Week. The Results are Embarrassing.,https://affordanything.com/i-tracked-my-time-in-15-minute-increments-for-a-week-the-results-are-embarrassing/,1618,"August 28, 2016",Paula Pant,64,
A Backstage Peek at the Laptop Lifestyle - Tales from a Frequent Traveler,https://affordanything.com/work-from-road-frequent-traveler/,1705,"September 30, 2016",Paula Pant,40,
The Tools I Use in My Quest for Peak Productivity,https://affordanything.com/tools-use-quest-peak-productivity/,2364,"October 8, 2016",Paula Pant,78,
The Cheapskate's Guide to Kitchen Renovations  (+ Rental Income Report),https://affordanything.com/rental-house-kitchen-renovations/,3321,"November 1, 2016",Paula Pant,46,
