title,link,word_count,date,author,comments_count,notes
A Helpful Guide to Stop Overspending With Friends,https://www.becomingminimalist.com/overspending-with-friends/,964,2018-05-07,joshua becker,19,
Inspiring Simplicity. Weekend Reads.,https://www.becomingminimalist.com/inspiring-simplicity-0318/,276,2018-03-10,joshua becker,20,
The Most Important Question You're Not Asking Yourself,https://www.becomingminimalist.com/important-question/,394,2018-03-08,joshua becker,31,
Inspiring Simplicity. Weekend Reads.,https://www.becomingminimalist.com/inspiring-simplicity-0418/,262,2018-04-07,joshua becker,25,
The Value of Fasting (from Anything). And How to Get Started.,https://www.becomingminimalist.com/fasting/,1068,2018-03-12,joshua becker,58,
Inspiring Simplicity. Weekend Reads.,https://www.becomingminimalist.com/inspiring-simplicity-0318b/,274,2018-03-24,joshua becker,10,
Still the Most Important Piece of Financial Advice You'll Ever Receive,https://www.becomingminimalist.com/important-financial-advice/,750,2018-03-19,joshua becker,44,
Jump While You Can,https://www.becomingminimalist.com/jump/,981,2018-03-26,joshua becker,70,
The Power of a Kind Word,https://www.becomingminimalist.com/power-of-a-kind-word/,463,2018-04-11,joshua becker,37,
Get Uncluttered This Spring,https://www.becomingminimalist.com/get-uncluttered-spring-2018/,961,2018-04-20,joshua becker,18,
Inspiring Simplicity. Weekend Reads.,https://www.becomingminimalist.com/inspiring-simplicity-0518/,278,2018-04-28,joshua becker,13,
20 Places to Donate Used Books,https://www.becomingminimalist.com/20-places-to-donate-used-books/,982,2018-04-03,joshua becker,37,
Imagine Life Without This,https://www.becomingminimalist.com/imagine-life-without-this/,839,2018-04-30,guest,17,
A Word to the Skeptics,https://www.becomingminimalist.com/skeptics/,544,2018-04-17,joshua becker,36,
Want to Lead a Happy Life? Science Says to Focus on These 10 Things,https://www.becomingminimalist.com/science-happiness/,1428,2018-05-03,guest,30,
The Burdens We Already Carry,https://www.becomingminimalist.com/lighten/,535,2017-11-28,joshua becker,47,
ebay,https://www.becomingminimalist.com/ebay/,120,2008-05-28,joshua becker,2,
The Journey Begins,https://www.becomingminimalist.com/the-journey-begins/,242,2008-05-28,joshua becker,52,
starting easy,https://www.becomingminimalist.com/starting-easy/,320,2008-05-30,joshua becker,8,
Spend Less,https://www.becomingminimalist.com/benefit-1-simple-dollars-and-sense/,152,2008-05-29,joshua becker,35,
help #1 - photos of relatives,https://www.becomingminimalist.com/help-1-photos-of-relatives/,103,2008-05-30,joshua becker,8,
a guide to creating a minimalist home,https://www.becomingminimalist.com/a-guide-to-creating-a-minimalist-home/,80,2008-05-28,joshua becker,8,
Example for my Kids,https://www.becomingminimalist.com/benefit-example-for-kids/,82,2008-05-30,joshua becker,11,
an exciting moment,https://www.becomingminimalist.com/an-exciting-moment/,146,2008-05-30,joshua becker,3,
ehow - how to decorate in a minimalist style,https://www.becomingminimalist.com/ehow-how-to-decorate-in-a-minimalist-style/,75,2008-05-31,joshua becker,20,
Easier to Find Things,https://www.becomingminimalist.com/benefit-easier-to-find/,189,2008-05-31,joshua becker,10,
100 things,https://www.becomingminimalist.com/100-things/,48,2008-06-02,joshua becker,4,
a spiritual journey,https://www.becomingminimalist.com/a-spiritual-journey/,266,2008-06-02,joshua becker,28,
minimalist design,https://www.becomingminimalist.com/minimalist-design/,32,2008-06-02,joshua becker,2,
help #2 - becoming minimalist at my office,https://www.becomingminimalist.com/help-2-becoming-minimalist-at-my-office/,339,2008-06-02,joshua becker,3,
one week anniversary,https://www.becomingminimalist.com/one-week-anniversary/,86,2008-06-03,joshua becker,1,
Easier to Clean,https://www.becomingminimalist.com/benefit-easier-to-clean/,117,2008-06-04,joshua becker,18,
clutter,https://www.becomingminimalist.com/clutter/,36,2008-06-04,joshua becker,3,
finally getting started for the garage sale,https://www.becomingminimalist.com/finally-getting-started-for-the-garage-sale/,112,2008-06-04,joshua becker,5,
i had to do something,https://www.becomingminimalist.com/well-i-had-to-do-something/,293,2008-06-04,joshua becker,5,
ebay - second round,https://www.becomingminimalist.com/ebay-second-round/,42,2008-06-04,joshua becker,0,
another step towards minimalism - our cars,https://www.becomingminimalist.com/another-step-towards-minimalism-our-cars/,150,2008-06-06,joshua becker,13,
no desktop icons,https://www.becomingminimalist.com/no-desktop-icons/,83,2008-06-06,joshua becker,11,
letting go of clothes,https://www.becomingminimalist.com/letting-go-of-clothes/,181,2008-06-06,joshua becker,28,
garage sale,https://www.becomingminimalist.com/garage-sale/,229,2008-06-08,joshua becker,9,
Office Worker Goes Crazy,https://www.becomingminimalist.com/office-worker-goes-crazy/,37,2008-06-08,joshua becker,3,
tuesday - office clean-up day,https://www.becomingminimalist.com/tuesday-office-clean-up-day/,191,2008-06-08,joshua becker,2,
"operation: minimalist office, day 1",https://www.becomingminimalist.com/operation-minimalist-office-day-1/,81,2008-06-10,joshua becker,10,
operation: minimalist office day 1 results,https://www.becomingminimalist.com/operation-minimalist-office-day-1-results/,207,2008-06-11,joshua becker,6,
Freedom,https://www.becomingminimalist.com/benefit-freedom/,148,2008-06-11,joshua becker,19,
donation day,https://www.becomingminimalist.com/donation-day/,56,2008-06-12,joshua becker,1,
two week anniversary,https://www.becomingminimalist.com/two-week-anniversary/,96,2008-06-12,joshua becker,1,
humor,https://www.becomingminimalist.com/humor/,0,2008-06-12,joshua becker,1,
ebay - round 3,https://www.becomingminimalist.com/ebay-round-3/,29,2008-06-13,joshua becker,2,
operation: minimalist office day 2 results,https://www.becomingminimalist.com/operation-minimalist-office-day-2-results/,84,2008-06-13,joshua becker,2,
Not Tied to the Past,https://www.becomingminimalist.com/benefit-not-tied-to-the-past/,208,2008-06-13,joshua becker,19,
one disadvantage of minimalism,https://www.becomingminimalist.com/one-disadvantage-of-minimalism/,51,2008-06-14,joshua becker,4,
one day after my 9th wedding anniversary... ,https://www.becomingminimalist.com/one-day-after-my-9th-wedding-anniversary/,27,2008-06-13,joshua becker,1,
How to Live with 100 Things,https://www.becomingminimalist.com/how-to-live-with-100-things/,50,2008-06-15,joshua becker,7,
operation: minimalist office complete,https://www.becomingminimalist.com/operation-minimalist-office-complete/,84,2008-06-16,joshua becker,13,
500.,https://www.becomingminimalist.com/500/,91,2008-06-17,joshua becker,1,
book review - clear your clutter with feng shui,https://www.becomingminimalist.com/book-review-clear-your-clutter-with-feng-shui/,224,2008-06-17,joshua becker,3,
operation: minimalist office day 3,https://www.becomingminimalist.com/operation-minimalist-office-day-3/,195,2008-06-15,joshua becker,1,
my junk drawer on ebay,https://www.becomingminimalist.com/my-junk-drawer-on-ebay/,121,2008-06-18,joshua becker,4,
minimalista,https://www.becomingminimalist.com/minimalista/,33,2008-06-18,joshua becker,2,
