title,link,word_count,date,author,comments_count,notes
"Behind The Scenes, April 2018",https://www.breakthetwitch.com/bts-april-2018/,358,2018-April-24,Anthony Ongaro,1,
How To Build Habits Like An Entrepreneur,https://www.breakthetwitch.com/build-habits/,989,2018-May-4,Anthony Ongaro,0,
Why Minimalism Is Essential To Doing More Of What Matters,https://www.breakthetwitch.com/minimalism-essential/,928,2018-May-1,Anthony Ongaro,1,
The Tiny House Sauna That Started A Movement,https://www.breakthetwitch.com/tiny-house-sauna/,949,2018-April-26,Anthony Ongaro,1,
A Helpful Guide To Lifestyle Experiments,https://www.breakthetwitch.com/lifestyle-experiments/,2491,2018-March-19,Anthony Ongaro,7,
Does Anyone Actually Want This In Their Daily Routine?,https://www.breakthetwitch.com/daily-routine-disconnect/,2303,2018-April-17,Anthony Ongaro,19,
"Book Recommendations On Minimalism, Habits, and Creativity",https://www.breakthetwitch.com/book-recommendations/,1662,2018-February-20,Anthony Ongaro,3,
This Matters More Than Good Habits,https://www.breakthetwitch.com/more-than-good-habits/,541,2018-April-12,Anthony Ongaro,4,
Minimalism Just Looks Like This,https://www.breakthetwitch.com/minimalism-just-looks-like/,739,2017-February-19,Guest Author,10,
How To Use Newton’s Third Law To Make Habits Last Longer,https://www.breakthetwitch.com/newtons-third-law/,1207,2017-January-23,Anthony Ongaro,4,
These Are The Moments We’re Missing,https://www.breakthetwitch.com/missing-moments/,826,2017-March-4,Anthony Ongaro,6,
Morning Routine Essentials That Pass The 80/20 Rule,https://www.breakthetwitch.com/morning-routine-essentials/,975,2017-February-8,Anthony Ongaro,7,
Decluttering Inspiration: Ideas to Keep You Going,https://www.breakthetwitch.com/inspired-decluttering/,934,2017-March-28,Anthony Ongaro,5,
Why We Should Bring Back Boredom,https://www.breakthetwitch.com/bring-back-boredom/,1207,2017-March-13,Guest Author,3,
How to Be Focused and Productive Amidst All The Noise and Distractions,https://www.breakthetwitch.com/how-to-be-focused-and-productive-amidst-all-the-noise-and-distractions/,1183,2017-August-18,Guest Author,2,
Different ≠ Broken,https://www.breakthetwitch.com/broken/,1531,2017-May-2,Anthony Ongaro,13,
A Practical Guide to Simplifying Your Meals,https://www.breakthetwitch.com/simplifying-meals/,1188,2017-April-3,Guest Author,5,
Refusing A Gift From Your Past Self,https://www.breakthetwitch.com/gift-past-self/,996,2017-July-3,Anthony Ongaro,11,
A Simple Guide To Reducing Inbox Overwhelm,https://www.breakthetwitch.com/email-overwhelm/,1699,2017-September-23,Anthony Ongaro,0,
What I Learned While Writing My First Book,https://www.breakthetwitch.com/first-book/,2638,2017-September-5,Anthony Ongaro,4,
Why You Should Write Daily (Even If You’re Not A Writer),https://www.breakthetwitch.com/write-daily/,1376,2017-October-10,Anthony Ongaro,5,
How to Transform Your Life Without A Fairy Godmother,https://www.breakthetwitch.com/fairy-godmother/,1019,2017-October-29,Guest Author,3,
Break The Twitch Book: Introduction,https://www.breakthetwitch.com/book-introduction/,1654,2017-December-8,Anthony Ongaro,2,
How Minimalism Helps You Create A Personal Dashboard,https://www.breakthetwitch.com/dashboard/,828,2018-February-3,Anthony Ongaro,1,
Alarming Statistics That Show Just How Addicted We Are To Mobile Devices,https://www.breakthetwitch.com/statistics-mobile-devices/,1111,2017-October-17,Anthony Ongaro,6,
Slow Down and Keep Going,https://www.breakthetwitch.com/slow-keep-going/,949,2017-December-19,Anthony Ongaro,4,
The 2017 Annual Review,https://www.breakthetwitch.com/2017-annual-review/,2503,2018-January-18,Anthony Ongaro,5,
How We’re Using Social Media The Wrong Way,https://www.breakthetwitch.com/social-media-wrong/,1628,2017-January-5,Anthony Ongaro,9,
Creating Checks Points for Living Well,https://www.breakthetwitch.com/creating-check-points/,1222,2016-April-21,Anthony Ongaro,11,
"Minimalist Couple: Meet My Wife, Amy!",https://www.breakthetwitch.com/minimalist-couple/,230,2016-May-7,Anthony Ongaro,4,
A Morning Routine Can Change Your Day (or your whole life),https://www.breakthetwitch.com/morning-routine-can-change-day-whole-life/,581,2018-January-5,Guest Author,2,
How To Start A Blog In 2018 (And Why You Should),https://www.breakthetwitch.com/start-a-blog/,2241,2018-January-23,Anthony Ongaro,6,
"Thoughts on The More of Less, by Joshua Becker",https://www.breakthetwitch.com/more-of-less/,564,2016-May-2,Anthony Ongaro,3,
How Buying One Thing Can Ruin Your Life,https://www.breakthetwitch.com/buying-one-thing-can-ruin-life/,1029,2016-May-23,Anthony Ongaro,11,
"Weekend Reads & Resources, May 2016",https://www.breakthetwitch.com/wrr-may-2016/,486,2016-May-21,Anthony Ongaro,0,
How Trying To Be A Good Writer Made It Difficult To Write Well,https://www.breakthetwitch.com/writing-well/,1129,2016-June-7,Anthony Ongaro,18,
How to Make Intentional Purchases,https://www.breakthetwitch.com/intentional-purchases/,1109,2016-July-18,Anthony Ongaro,9,
6 Popular Minimalist Decluttering Methods,https://www.breakthetwitch.com/decluttering-methods/,2152,2016-September-3,Anthony Ongaro,17,
The Exponential Benefits of Minimalism,https://www.breakthetwitch.com/exponential-benefits/,904,2016-July-27,Anthony Ongaro,7,
"If Life Isn’t A Sprint, It’s Definitely Not A Marathon",https://www.breakthetwitch.com/sprint-marathon/,719,2016-October-14,Anthony Ongaro,3,
9 Ways to Overcome Facebook Addiction,https://www.breakthetwitch.com/facebook-addiction/,1166,2016-August-20,Anthony Ongaro,11,
What I Learned from Making a Daily Video for 30 Days,https://www.breakthetwitch.com/daily-video/,1517,2016-August-29,Anthony Ongaro,2,
"Pokemon Go Is Ground-Breaking, But Not Why You Might Expect",https://www.breakthetwitch.com/pokemon-go/,992,2016-July-17,Anthony Ongaro,6,
7 Strategies for Effective Daily Habits,https://www.breakthetwitch.com/effective-daily-habits/,881,2016-August-3,Anthony Ongaro,8,
25 Simple Habits You Can Build From Scratch,https://www.breakthetwitch.com/simple-habits/,697,2016-October-22,Anthony Ongaro,1,
What It Means To Be A Minimalist,https://www.breakthetwitch.com/be-a-minimalist/,1121,2016-October-31,Anthony Ongaro,7,
How to Break the Twitch: An Intentional Living Philosophy,https://www.breakthetwitch.com/twitch/,1814,2016-September-14,Anthony Ongaro,4,
Are You Taking The False First Step?,https://www.breakthetwitch.com/false-first-step/,3737,2016-September-23,Anthony Ongaro,68,
"The Best of Break the Twitch, 2016 Edition",https://www.breakthetwitch.com/2016-best/,423,2016-December-31,Anthony Ongaro,0,
An Intentional Approach To The Holiday Season,https://www.breakthetwitch.com/intentional-holiday-season/,590,2016-December-8,Anthony Ongaro,0,
What Is Intentional Living?,https://www.breakthetwitch.com/what-is-intentional-living/,21,2015-November-9,Anthony Ongaro,2,
How To Get Back On Track After Time Off,https://www.breakthetwitch.com/back-on-track/,867,2016-December-5,Anthony Ongaro,0,
Minimalism Tips + The Power of Community (Week 2),https://www.breakthetwitch.com/minimalism-tips-the-power-of-community-week-2/,957,2015-November-11,Anthony Ongaro,6,
It Gets Worse Before It Gets Better (Week 1),https://www.breakthetwitch.com/it-gets-worse-before-it-gets-better-week-1/,611,2015-November-4,Anthony Ongaro,5,
Life & MinsgameBOSS Challenge Final Update,https://www.breakthetwitch.com/life-minsgame-final-update/,480,2015-November-30,Anthony Ongaro,4,
A Simple Approach To Long-Term Goals,https://www.breakthetwitch.com/simple-approach-to-long-term-goals/,919,2015-December-6,Anthony Ongaro,3,
How I Created Daily Action Steps to Achieve My 2016 Vision (And You Can Too),https://www.breakthetwitch.com/2016-vision/,2092,2016-January-11,Anthony Ongaro,7,
The Black Friday Experience,https://www.breakthetwitch.com/black-friday-experience/,721,2015-November-18,Anthony Ongaro,3,
How Minimalism Lights The Path To Vision,https://www.breakthetwitch.com/how-minimalism-lights-the-way-to-finding-your-vision/,904,2016-January-4,Anthony Ongaro,2,
Observations from Tracking Smartphone Use,https://www.breakthetwitch.com/tracking-smartphone-use/,620,2015-December-12,Anthony Ongaro,3,
"Happy New Year, Let’s Talk About Vision",https://www.breakthetwitch.com/happy-new-year-lets-talk-about-vision/,0,2016-January-1,Anthony Ongaro,2,
Three Places To Put Away The Smartphone,https://www.breakthetwitch.com/three-places-to-put-away-the-smartphone/,1355,2015-December-17,Anthony Ongaro,3,
"Arizona, Colorado & How I’m Reading More Books",https://www.breakthetwitch.com/arizona-colorado-how-im-reading-more-books/,36,2015-December-21,Anthony Ongaro,2,
How To Increase Productivity and Save Money,https://www.breakthetwitch.com/how-to-increase-productivity/,443,2014-November-10,Anthony Ongaro,1,
9 Steps To Help Visualize Your Ideal Day,https://www.breakthetwitch.com/visualize-your-ideal-day/,1264,2016-January-18,Anthony Ongaro,1,
Minimalism: It’s Not What You Think,https://www.breakthetwitch.com/minimalism-not-what-you-think/,1461,2014-December-21,Anthony Ongaro,2,
New Year’s Resolutions That Stick,https://www.breakthetwitch.com/new-years-resolutions/,1017,2014-December-26,Anthony Ongaro,0,
The Minimalism Effect: Three Benefits to Getting Rid of Stuff,https://www.breakthetwitch.com/minimalism-effect/,975,2015-January-22,Anthony Ongaro,0,
What A Six-Day Headache Taught Me About Gratitude,https://www.breakthetwitch.com/what-a-six-day-headache-taught-me-about-gratitude/,462,2014-December-14,Anthony Ongaro,3,
Playing the Minsgame,https://www.breakthetwitch.com/minsgame/,574,2015-January-3,Anthony Ongaro,7,
The Decision Filter: How To Reduce Daily Decision Fatigue,https://www.breakthetwitch.com/decision-filter/,858,2014-December-30,Anthony Ongaro,5,
The Amazon.com Story at SimpleREV,https://www.breakthetwitch.com/amazon-prime-story/,178,2014-December-28,Anthony Ongaro,0,
The Weekend Trip: Living More By Packing Less,https://www.breakthetwitch.com/packing-less/,459,2015-February-7,Anthony Ongaro,3,
Book Review: The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,https://www.breakthetwitch.com/book-review-life-changing-magic-tidying-japanese-art-decluttering-organizing/,677,2015-January-16,Anthony Ongaro,2,
Build The Right Choice Into Your Environment,https://www.breakthetwitch.com/build-right-choice-environment/,626,2015-February-18,Anthony Ongaro,0,
It’s Hard To Get Rid Of Stuff,https://www.breakthetwitch.com/get-rid-of-clutter/,27,2015-February-20,Anthony Ongaro,0,
Moleskine Ramblings #1,https://www.breakthetwitch.com/moleskine-ramblings-1/,414,2015-February-12,Anthony Ongaro,0,
How I Learned To Enjoy Doing (Minimalist) Laundry,https://www.breakthetwitch.com/laundry/,694,2015-March-3,Anthony Ongaro,2,
The First Hour: A Meaningful Morning Routine,https://www.breakthetwitch.com/morning-routine/,766,2015-February-26,Anthony Ongaro,5,
Why Just Getting Rid of Stuff Misses The Point,https://www.breakthetwitch.com/the-point-minimalism/,493,2015-March-12,Anthony Ongaro,4,
Three Inspirational TED Talks On Minimalism,https://www.breakthetwitch.com/three-ted-talks/,129,2015-February-23,Anthony Ongaro,0,
The Intersection of Minimalism and Luxury: When Does Spending Make Sense?,https://www.breakthetwitch.com/the-intersection-of-minimalism-and-luxury-when-does-spending-make-sense/,401,2015-March-17,Anthony Ongaro,0,
7 Proven Strategies to Reduce Distractions and Get Things Done,https://www.breakthetwitch.com/distractions/,1120,2015-March-27,Anthony Ongaro,0,
"Without Failure, There Is No Success",https://www.breakthetwitch.com/failure/,531,2015-April-28,Anthony Ongaro,1,
Amazon Dash: The Button We Don’t Need,https://www.breakthetwitch.com/amazon-dash-the-twitch-button-we-dont-need/,1192,2015-April-5,Anthony Ongaro,4,
SimpleREV: The Event That Changed Everything,https://www.breakthetwitch.com/simplerev/,587,2015-May-22,Anthony Ongaro,0,
Get Rid of These 5 Things To Reduce Household Clutter,https://www.breakthetwitch.com/reduce-clutter-holders/,719,2015-April-13,Anthony Ongaro,2,
Why Minsgame Works,https://www.breakthetwitch.com/confidence-why-minsgame-works/,119,2015-June-1,Anthony Ongaro,1,
"Minimalism is a Journey, Not a Destination",https://www.breakthetwitch.com/journey/,64,2015-May-26,Anthony Ongaro,0,
The Digital / Screen-Free Sabbatical,https://www.breakthetwitch.com/digital-sabatical/,948,2015-May-3,Anthony Ongaro,0,
"I Deactivated My Facebook Account, For Now",https://www.breakthetwitch.com/deactivated-facebook/,1062,2015-April-21,Anthony Ongaro,5,
How Constant Distractions Create Big Stress,https://www.breakthetwitch.com/constant-distractions/,1120,2015-June-17,Anthony Ongaro,4,
Consumerism: What Is Lost When We Buy?,https://www.breakthetwitch.com/consumerism/,768,2015-June-2,Anthony Ongaro,3,
Attaining 100 Percent Productivity,https://www.breakthetwitch.com/productivity/,102,2015-June-8,Anthony Ongaro,2,
Stepping Away: 60 Days Without Social Media,https://www.breakthetwitch.com/60-days-without-social/,1245,2015-June-10,Anthony Ongaro,1,
Calming The Desire For More,https://www.breakthetwitch.com/calm-desire/,794,2015-June-12,Anthony Ongaro,6,
6 Things Real Minimalists Always Do,https://www.breakthetwitch.com/real-minimalist/,799,2015-June-4,Anthony Ongaro,5,
10 Free Chrome Extensions That Reduce Distractions,https://www.breakthetwitch.com/10-free-extensions/,877,2015-June-19,Anthony Ongaro,4,
10 Minimalism Tips To Kickstart Your Decluttering,https://www.breakthetwitch.com/minimalism-tips/,1371,2015-July-19,Anthony Ongaro,7,
Intentional Living Space Decisions,https://www.breakthetwitch.com/living-spaces/,60,2015-June-14,Anthony Ongaro,2,
On Running Away,https://www.breakthetwitch.com/on-running-away/,291,2015-June-24,Anthony Ongaro,2,
A Social Experiment,https://www.breakthetwitch.com/social-experiment/,80,2015-June-22,Anthony Ongaro,0,
Mowing the Lawn & The Art of Mental Reframing,https://www.breakthetwitch.com/lawn/,30,2015-June-28,Anthony Ongaro,3,
Preserving Our Memories in Things,https://www.breakthetwitch.com/memories/,319,2015-July-1,Anthony Ongaro,2,
The New York City Hustle,https://www.breakthetwitch.com/new-york/,482,2015-July-14,Anthony Ongaro,4,
20 Questions To Start Living More Intentionally,https://www.breakthetwitch.com/intentional-questions/,368,2015-July-5,Anthony Ongaro,6,
Supporting The Hope Effect for My 30th Birthday,https://www.breakthetwitch.com/honduras-trip/,677,2015-July-27,Anthony Ongaro,3,
Get to Know Anthony: Part 1,https://www.breakthetwitch.com/gettoknow-anthony/,1309,2015-July-29,Anthony Ongaro,11,
Entering a Creative Flow State Using Minimalism,https://www.breakthetwitch.com/creative-flow/,1526,2015-August-3,Anthony Ongaro,2,
5 Simple Ways To Make Life Less Convenient,https://www.breakthetwitch.com/less-convenient/,1513,2015-August-16,Anthony Ongaro,7,
Exercise 1: Intentional Observation,https://www.breakthetwitch.com/exercise-1/,769,2015-August-25,Anthony Ongaro,3,
Our Intentional Saturday Morning,https://www.breakthetwitch.com/intentional-saturday/,549,2015-September-5,Anthony Ongaro,3,
Musings On The Real Currency,https://www.breakthetwitch.com/currency/,329,2015-August-5,Anthony Ongaro,9,
Sixty Minutes In A Sensory Deprivation Tank,https://www.breakthetwitch.com/sensory-deprivation/,1571,2015-September-14,Anthony Ongaro,6,
Intentional Weekend Inspiration,https://www.breakthetwitch.com/weekend-v1/,292,2015-September-19,Anthony Ongaro,1,
Why Minimalism Shouldn’t Intimidate You,https://www.breakthetwitch.com/rational_minimalism/,82,2015-September-21,Anthony Ongaro,1,
TEDxCapeTown Follow-up with Angela Gaye Horn,https://www.breakthetwitch.com/angela-gaye-horn/,1645,2015-September-23,Anthony Ongaro,2,
Intentional Weekend Inspiration Vol. 2,https://www.breakthetwitch.com/weekend-v2/,233,2015-September-26,Anthony Ongaro,1,
How I Pack For a Three Day Business Trip,https://www.breakthetwitch.com/how-i-pack/,156,2015-September-28,Anthony Ongaro,1,
Intentional Weekend Inspiration Vol. 3,https://www.breakthetwitch.com/weekend-v3/,178,2015-October-2,Anthony Ongaro,1,
How We Spend Our Days,https://www.breakthetwitch.com/how-we-spend-our-days/,945,2015-September-30,Anthony Ongaro,5,
