title,link,word_count,date,author,comments_count,notes
"""A library is one of the few remaining places that cares more about you than your wallet.""",http://www.budgetsaresexy.com/a-library-is-one-of-the-few-remaining-places-that-cares-more-about-you-than-your-wallet/,683,"March 9, 2018",J. Money,48,
How a Journal Completely Changed My Finances,http://www.budgetsaresexy.com/how-journal-completely-changed-my-finances/,4303,"March 12, 2018",Guest Writer,57,
11 Money Lies To Watch Out For,http://www.budgetsaresexy.com/money-lies-to-ignore/,1099,"March 14, 2018",J. Money,91,
Some New Savings Targets To Shoot For?,http://www.budgetsaresexy.com/new-saving-target-recommendations/,784,"March 19, 2018",J. Money,51,
#Overheard At The Coffee Shop: Volume IV,http://www.budgetsaresexy.com/overheard-at-coffee-shop-volume-iv/,946,"March 16, 2018",J. Money,58,
What Do You Want More of Right Now?,http://www.budgetsaresexy.com/what-do-you-want-more-of-right-now/,757,"March 23, 2018",J. Money,46,
"""You might get a kick out of our recent financial journey""",http://www.budgetsaresexy.com/you-might-get-a-kick-out-of-our-recent-financial-journey/,2091,"March 21, 2018",J. Money,44,
How Much Is In Your Checking Account Right Now?,http://www.budgetsaresexy.com/how-much-is-in-your-checking-account-right-now/,1150,"March 26, 2018",J. Money,87,
Three *New* Financial Apps & Services You Might Like (Plus Some You Might Not? ;)),http://www.budgetsaresexy.com/3-new-financial-apps-services-you-might-like/,1623,"March 28, 2018",J. Money,30,
"""I'm Semi-Retiring at 43!""",http://www.budgetsaresexy.com/frugal-vegan-mama-journey-into-semi-retirement/,819,"April 2, 2018",J. Money,99,
"Net Worth Voyeur Time: $801,707.30 (Down $10,000 - PLUS: Some Juicy Events This Month... )",http://www.budgetsaresexy.com/net-worth-update-801k/,1755,"April 4, 2018",J. Money,86,
How The Pursuit of FIRE Got Me a Girlfriend,http://www.budgetsaresexy.com/how-the-pursuit-of-fire-got-me-a-girlfriend/,1605,"April 6, 2018",Guest Writer,82,
"Put Savings Towards Mortgage Balance, or Nah?",http://www.budgetsaresexy.com/put-savings-towards-mortgage-balance-or-no/,1675,"April 9, 2018",J. Money,2,
Is Net Worth Tracking The New Budgeting?,http://www.budgetsaresexy.com/is-net-worth-tracking-the-new-budgeting/,842,"March 30, 2018",J. Money,72,
"""American Ninja Warrior Changed My Life""",http://www.budgetsaresexy.com/american-ninja-warrior-changed-my-life/,1195,"February 7, 2018",J. Money,38,
Is It Ever Okay To Lie To Your Spouse About Money?,http://www.budgetsaresexy.com/is-it-ever-okay-to-lie-to-your-spouse-about-money/,1914,"February 9, 2018",Guest Writer,56,
"Net Worth Update: $840,243.99 (+$37,000)",http://www.budgetsaresexy.com/net-worth-update-840k-up-37k/,2064,"February 5, 2018",J. Money,73,
Happy Valentine's Day! Watch Out For That Sexually Transmitted Debt!!,http://www.budgetsaresexy.com/happy-valentines-day-watch-out-for-that-sexually-transmitted-debt/,662,"February 14, 2018",J. Money,56,
