title,link,word_count,date,author,comments_count,notes
What I Learned After My Six-Month Spending Cleanse Crashed and Burned,https://caitflanders.com/2018/04/18/chelsea-shopping-ban-part2/,1581,"April 18, 2018",Cait Flanders,9,
What It's Like to Shop After Not Shopping for Two Years,https://caitflanders.com/2018/04/09/post-two-year-shopping-ban/,1900,"April 9, 2018",Cait Flanders,48,
Your Dreams Matter. Period.,https://caitflanders.com/2018/05/08/your-dreams-matter-period/,1102,"May 8, 2018",Cait Flanders,4,
I'm Going to the UK for Six Weeks!,https://caitflanders.com/2018/05/01/going-to-the-uk/,1086,"May 1, 2018",Cait Flanders,63,
The Season of Work Challenge,https://caitflanders.com/2018/03/19/season-of-work/,851,"March 19, 2018",Cait Flanders,25,
"The First 2,736 Days",https://caitflanders.com/2018/03/28/highlight-reel/,1407,"March 28, 2018",Cait Flanders,12,
"What Would You Do, If You Weren't Already Doing This?",https://caitflanders.com/2018/04/04/what-do-you-want-to-do/,1206,"April 4, 2018",Cait Flanders,26,
The Get Money Books Giveaway,https://caitflanders.com/2018/04/06/the-get-money-books-giveaway/,432,"April 6, 2018",Cait Flanders,69,
10 Questions to End the Year Intentionally,https://caitflanders.com/2017/12/22/end-year-intentionally/,1676,"December 22, 2017",Cait Flanders,19,
Reflections on a Year of Slow Living Experiments,https://caitflanders.com/2018/01/05/the-year-of-slow-living-experiments/,3807,"January 5, 2018",Cait Flanders,36,
The Joy of Doing Nothing,https://caitflanders.com/2017/11/29/the-joy-of-doing-nothing/,1077,"November 29, 2017",Cait Flanders,10,
"I'm Still Here! What I've Been Doing, Consuming, and Thinking About in 2018",https://caitflanders.com/2018/03/07/doing-in-2018/,1468,"March 7, 2018",Cait Flanders,47,
Why I'm Taking Back My Evenings,https://caitflanders.com/2017/12/01/slow-evening-experiment/,930,"December 1, 2017",Cait Flanders,29,
The Year of Less is Available for Pre-order!,https://caitflanders.com/2017/12/05/the-year-of-less-pre-order/,1351,"December 5, 2017",Cait Flanders,35,
The Year of Less Is Finally Here!,https://caitflanders.com/2018/01/16/the-year-of-less-out-today/,1027,"January 16, 2018",Cait Flanders,114,
60+ Minimalist Holiday Traditions,https://caitflanders.com/2017/12/13/minimalist-holiday-traditions/,6813,"December 13, 2017",Cait Flanders,34,
Seeing the World Can Change Your World,https://caitflanders.com/2017/11/15/travel-can-change-your-world/,988,"November 15, 2017",Cait Flanders,6,
This Is Where You Belong,https://caitflanders.com/2017/11/16/this-is-where-you-belong/,1257,"November 16, 2017",Cait Flanders,8,
A Good Trip Will Make You Appreciate Home,https://caitflanders.com/2017/11/17/appreciate-home/,722,"November 17, 2017",Cait Flanders,17,
Big Family Minimalism,https://caitflanders.com/2017/11/27/big-family-minimalism/,2309,"November 27, 2017",Cait Flanders,24,
The Case for Slow Reading,https://caitflanders.com/2017/10/25/slow-reading/,1243,"October 25, 2017",Cait Flanders,12,
The One Good Thing About Being Busy,https://caitflanders.com/2017/11/01/being-busy-executive-decisions/,1579,"November 1, 2017",Cait Flanders,14,
Learning to See the World,https://caitflanders.com/2017/11/13/see-the-world/,1789,"November 13, 2017",Cait Flanders,13,
Why I Set Travel Intentions vs. Make Travel Plans,https://caitflanders.com/2017/11/14/slow-travel/,1589,"November 14, 2017",Cait Flanders,12,
We're Better When We Work Together,https://caitflanders.com/2017/10/17/work-together/,2038,"October 17, 2017",Cait Flanders,16,
How I Slowly Grew My Blog My Own Way,https://caitflanders.com/2017/10/11/grow-blog-slowly/,3670,"October 11, 2017",Cait Flanders,81,
You're Allowed to Change Your Mind (and Your Direction),https://caitflanders.com/2017/10/19/you-can-change-your-mind/,1161,"October 19, 2017",Cait Flanders,15,
How I Budget with (Very Irregular) Self-Employed Income,https://caitflanders.com/2017/10/23/budget-with-irregular-income/,2131,"October 23, 2017",Cait Flanders,15,
On Paying Attention,https://caitflanders.com/2017/09/20/on-paying-attention/,1063,"September 20, 2017",Cait Flanders,6,
The Simple Experiment I'm Most Excited to Complete,https://caitflanders.com/2017/10/02/slow-work-experiment/,955,"October 2, 2017",Cait Flanders,18,
Why I Finally Decided to Do a Spending Cleanse,https://caitflanders.com/2017/10/04/chelsea-shopping-ban-part1/,1188,"October 4, 2017",Cait Flanders,7,
Why Spending Time Outdoors Matters to Me,https://caitflanders.com/2017/09/27/spending-time-outdoors/,1607,"September 27, 2017",Cait Flanders,26,
The Unconscious Urge to Shop,https://caitflanders.com/2017/08/30/unconscious-urge-to-shop/,1248,"August 30, 2017",Cait Flanders,10,
How a Short Shopping Ban Helped Me Think Long-Term,https://caitflanders.com/2017/09/13/how-shopping-ban-helped-me/,1352,"September 13, 2017",Cait Flanders,24,
The Walk to My Hidden Green,https://caitflanders.com/2017/09/18/my-hidden-green/,2534,"September 18, 2017",Cait Flanders,5,
What Are You Really Buying?,https://caitflanders.com/2017/09/15/what-are-you-really-buying/,1128,"September 15, 2017",Cait Flanders,5,
We Are Not Materialistic Enough,https://caitflanders.com/2017/08/10/we-are-not-materialistic-enough/,1408,"August 10, 2017",Cait Flanders,24,
Good Grief and Financial Discipline,https://caitflanders.com/2017/08/15/good-grief-and-financial-discipline/,1420,"August 15, 2017",Cait Flanders,18,
The World Doesn't Need Another Post About Decluttering This Week,https://caitflanders.com/2017/08/22/not-another-decluttering-post/,671,"August 22, 2017",Cait Flanders,26,
10 Ways to Declutter Your Digital Life in 10 Minutes,https://caitflanders.com/2017/08/28/declutter-your-digital-life/,1439,"August 28, 2017",Cait Flanders,23,
If We Went on a Hike Today,https://caitflanders.com/2017/07/24/updates-and-guest-posts/,1184,"July 24, 2017",Cait Flanders,19,
What is Stocked in My Minimalist Pantry (Includes My Weekly Grocery List),https://caitflanders.com/2017/07/19/minimalist-pantry/,1440,"July 19, 2017",Cait Flanders,32,
The Shift That Helped Me Finally Stop Binge Eating,https://caitflanders.com/2017/07/31/stop-binge-eating/,2498,"July 31, 2017",Cait Flanders,22,
Why I'm Doing a 30-Day Shopping Ban,https://caitflanders.com/2017/08/08/30-day-shopping-ban/,1365,"August 8, 2017",Cait Flanders,80,
10 Simple Living Blogs and Podcasts That Will Inspire You to Make Mindful Decisions,https://caitflanders.com/2017/06/21/best-simple-living-blogs/,945,"June 21, 2017",Cait Flanders,22,
Why I Quit Freelancing (to Really Work for Myself),https://caitflanders.com/2017/06/30/why-i-quit-freelancing/,1412,"June 30, 2017",Cait Flanders,26,
The Slow Food Experiment,https://caitflanders.com/2017/07/03/slow-food-experiment/,1718,"July 3, 2017",Cait Flanders,50,
A Peek Inside My Small and Simple Kitchen,https://caitflanders.com/2017/07/17/small-and-simple-kitchen/,1764,"July 17, 2017",Cait Flanders,59,
What My Dogs Are Teaching Me About Slow Living,https://caitflanders.com/2017/05/29/dogs-teaching-me-about-slow-living/,1298,"May 29, 2017",Cait Flanders,53,
The Most Important Lesson I Learned During My Social Media Detox,https://caitflanders.com/2017/06/07/social-media-detox/,3088,"June 7, 2017",Cait Flanders,28,
How I Travel with Nothing But Carry-On Luggage,https://caitflanders.com/2017/06/12/travel-light-carry-on-only/,1012,"June 12, 2017",Cait Flanders,47,
It's Time to Embrace Slow Technology,https://caitflanders.com/2017/05/01/slow-technology-experiment/,1513,"May 1, 2017",Cait Flanders,44,
Mindful Musings: The Pursuit of Happiness,https://caitflanders.com/2017/04/21/the-pursuit-of-happiness/,641,"April 21, 2017",Cait Flanders,14,
What If You Only Tried to Be 10% Happier?,https://caitflanders.com/2017/04/17/10-percent-happier/,1647,"April 17, 2017",Cait Flanders,29,
Mindful Musings: We Are More Alike Than Different,https://caitflanders.com/2017/04/28/more-alike-than-different/,544,"April 28, 2017",Cait Flanders,6,
The Best Gift My Emergency Fund Has Ever Given Me,https://caitflanders.com/2017/04/24/emergency-fund-saved-my-life/,2283,"April 24, 2017",Cait Flanders,46,
How I'm Living Small in a Not-So-Tiny Home,https://caitflanders.com/2017/04/03/living-small-not-tiny-home/,1549,"April 3, 2017",Cait Flanders,30,
Mindful Musings: A Breath of Fresh Air (Online),https://caitflanders.com/2017/04/14/mindful-musings/,307,"April 14, 2017",Cait Flanders,10,
Giving the Gift of Calm (Meditation App),https://caitflanders.com/2017/04/12/calm-app-giveaway/,664,"April 12, 2017",Cait Flanders,88,
Why I Need to Breathe Now More Than Ever,https://caitflanders.com/2017/04/05/slow-breathing-experiment/,1430,"April 5, 2017",Cait Flanders,77,
There's No Place Like (a New) Home,https://caitflanders.com/2017/03/08/moving-to-squamish/,1575,"March 8, 2017",Cait Flanders,42,
20 Free and Healthy Ways to Treat Yourself,https://caitflanders.com/2017/03/17/free-ways-to-treat-yourself/,558,"March 17, 2017",Cait Flanders,23,
Treating Yourself is Not the Answer,https://caitflanders.com/2017/03/13/dont-treat-yourself/,1495,"March 13, 2017",Cait Flanders,81,
"A Home is Meant to Be Lived In, Not Looked At",https://caitflanders.com/2017/03/27/house-meant-to-be-lived-in/,1062,"March 27, 2017",Cait Flanders,41,
How I Plan to Cut My Business Expenses in Half This Year,https://caitflanders.com/2017/02/20/cut-business-expenses-in-half/,1361,"February 20, 2017",Cait Flanders,21,
Setting New Financial Goals and Still Enjoying the Journey,https://caitflanders.com/2017/02/15/enjoying-the-journey/,2243,"February 15, 2017",Cait Flanders,26,
How I'm Adopting an Abundance Mindset (and Applying It to My Investing Strategy),https://caitflanders.com/2017/03/03/abundance-mindset-and-investments/,1362,"March 3, 2017",Cait Flanders,14,
Are You Using the Best Financial Products for You?,https://caitflanders.com/2017/03/01/best-financial-products/,1680,"March 1, 2017",Cait Flanders,26,
A Year of Slow Living Experiments,https://caitflanders.com/2017/01/02/a-year-of-slow-living-experiments/,1158,"January 2, 2017",Cait Flanders,38,
How Slow Mornings Changed My Life,https://caitflanders.com/2017/02/03/how-slow-mornings-changed-my-life/,1445,"February 3, 2017",Cait Flanders,38,
What Does Slow Money Look Like?,https://caitflanders.com/2017/02/10/slow-money-experiment/,967,"February 10, 2017",Cait Flanders,31,
Why I'm Taking Back My Mornings,https://caitflanders.com/2017/01/09/slow-morning-experiment/,1319,"January 9, 2017",Cait Flanders,57,
Coffee Date With Garrett Philbin,https://caitflanders.com/2016/11/25/coffee-date-with-garrett-philbin/,2712,"November 25, 2016",Cait Flanders,6,
Simple Reminders for the Holiday Season,https://caitflanders.com/2016/11/28/simple-holidays/,824,"November 28, 2016",Cait Flanders,19,
My Favourite Things in 2016,https://caitflanders.com/2016/12/19/favourite-things-2016/,757,"December 19, 2016",Cait Flanders,23,
You Don't Have to Do It All Right Now,https://caitflanders.com/2016/11/30/you-dont-have-to-do-it-all/,1133,"November 30, 2016",Cait Flanders,39,
Coffee Date With Ms. Our Next Life,https://caitflanders.com/2016/10/26/coffee-date-with-our-next-life/,2137,"October 26, 2016",Cait Flanders,17,
What to Do When You Don't Know What to Do,https://caitflanders.com/2016/11/14/when-you-dont-know-what-to-do/,536,"November 14, 2016",Cait Flanders,35,
The Impact of Kindness,https://caitflanders.com/2016/11/23/the-impact-of-kindness/,1031,"November 23, 2016",Cait Flanders,11,
50 Things to Be Grateful For,https://caitflanders.com/2016/11/21/things-to-be-grateful-for/,1074,"November 21, 2016",Cait Flanders,33,
Why I Stopped Tracking Everything (and Started Making Intentional Decisions),https://caitflanders.com/2016/10/11/stop-tracking-start-making-intentional-decisions/,1452,"October 11, 2016",Cait Flanders,26,
The List of Women I've Wasted Money Trying to Become,https://caitflanders.com/2016/10/19/women-wasted-money-to-become/,1701,"October 19, 2016",Cait Flanders,23,
What It Really Means to Do What You Love,https://caitflanders.com/2016/10/24/do-what-you-love/,1342,"October 24, 2016",Cait Flanders,8,
"Why I (Kinda, Sorta, Sometimes) Hate Calling Myself a Minimalist",https://caitflanders.com/2016/10/17/hate-calling-myself-minimalist/,1483,"October 17, 2016",Cait Flanders,46,
The Thing About Fresh Starts,https://caitflanders.com/2016/09/12/fresh-starts/,1555,"September 12, 2016",Cait Flanders,21,
Coffee Date With Carrie Smith,https://caitflanders.com/2016/09/21/coffee-date-with-carrie-smith/,1446,"September 21, 2016",Cait Flanders,10,
Final Thoughts From the Road,https://caitflanders.com/2016/09/26/final-thoughts-from-the-road/,1039,"September 26, 2016",Cait Flanders,31,
You Can't Change Your Life Without Changing Your Life,https://caitflanders.com/2016/10/03/change-your-life/,1354,"October 3, 2016",Cait Flanders,33,
"The Woods, Mountains and Happiness Within",https://caitflanders.com/2016/08/17/the-happiness-within/,1641,"August 17, 2016",Cait Flanders,18,
Coffee Date With Anthony Ongaro,https://caitflanders.com/2016/08/24/coffee-date-with-anthony-ongaro/,1935,"August 24, 2016",Cait Flanders,11,
Thoughts From the Road,https://caitflanders.com/2016/09/02/thoughts-from-the-road/,1176,"September 2, 2016",Cait Flanders,27,
What No One Tells You About Living and Working on the Road,https://caitflanders.com/2016/09/06/the-truth-about-working-on-the-road/,1379,"September 6, 2016",Cait Flanders,43,
A Lesson on Enough-ness,https://caitflanders.com/2016/08/10/enough-ness/,813,"August 10, 2016",Cait Flanders,18,
The Great American Road Trip,https://caitflanders.com/2016/08/01/great-american-road-trip/,985,"August 1, 2016",Cait Flanders,56,
How I'm Preparing for an Extended Road Trip (With Packing List),https://caitflanders.com/2016/08/08/prepare-for-extended-road-trip/,2322,"August 8, 2016",Cait Flanders,42,
What is an Hour of Your Life Worth?,https://caitflanders.com/2016/07/01/hour-of-life-worth/,1598,"July 1, 2016",Cait Flanders,4,
Why I'm Scared to Live Alone on the Road (But Am Doing It Anyway),https://caitflanders.com/2016/08/15/scared-and-doing-it-anyway/,1067,"August 15, 2016",Cait Flanders,38,
A Very Special Announcement: I'm Writing a Book With Hay House!,https://caitflanders.com/2016/07/20/book-deal/,1302,"July 20, 2016",Cait Flanders,63,
On Taking a Big Swing,https://caitflanders.com/2016/07/27/big-goals/,1285,"July 27, 2016",Cait Flanders,14,
"Two Years Without Shopping: What I Bought, Donated and Learned to Be True",https://caitflanders.com/2016/07/11/two-year-shopping-ban/,2508,"July 11, 2016",Cait Flanders,109,
5 Ways to Slow Down and Enjoy Summer (Plus My Summer Reading List),https://caitflanders.com/2016/06/20/slow-down-and-enjoy-summer/,1182,"June 20, 2016",Cait Flanders,26,
Mindful Eating: What Happened When I Tracked My Food Intake for 60 Days,https://caitflanders.com/2016/06/13/mindful-eating/,1520,"June 13, 2016",Cait Flanders,44,
What I've Learned After 1 Year of Self-Employment,https://caitflanders.com/2016/06/27/one-year-self-employment/,1771,"June 27, 2016",Cait Flanders,30,
Your Salary is Not Your Self-Worth (and Why I Gave Myself Permission to Earn Less),https://caitflanders.com/2016/06/29/earn-less-live-more/,2503,"June 29, 2016",Cait Flanders,41,
What's in Your Intentional Lifestyle Bag?,https://caitflanders.com/2016/05/17/intentional-lifestyle-bag/,962,"May 17, 2016",Cait Flanders,38,
What One Couple Learned After a Year of Living Small,https://caitflanders.com/2016/06/06/tiny-house-living/,1734,"June 6, 2016",Cait Flanders,19,
"Goodbye Blonde on a Budget, Hello Future",https://caitflanders.com/2016/05/30/blonde-on-a-budget/,1216,"May 30, 2016",Cait Flanders,69,
Book Giveaway: The More of Less by Joshua Becker,https://caitflanders.com/2016/05/04/the-more-of-less/,544,"May 4, 2016",Cait Flanders,185,
Q1: Taking Care of Personal Business,https://caitflanders.com/2016/04/06/q1-2016-update/,1462,"April 6, 2016",Cait Flanders,20,
Lessons Learned from a Year of Travel,https://caitflanders.com/2016/04/18/year-of-travel/,1638,"April 18, 2016",Cait Flanders,17,
Tuesday is Adventure Day,https://caitflanders.com/2016/04/27/tuesday-is-adventure-day/,1083,"April 27, 2016",Cait Flanders,31,
The True Cost of Wasting Money on Getting Wasted,https://caitflanders.com/2016/03/28/the-true-cost-of-wasting-money-on-getting-wasted/,2595,"March 28, 2016",Cait Flanders,82,
"Are Your Daily Actions Working for You, or Against You?",https://caitflanders.com/2016/02/29/daily-actions/,1044,"February 29, 2016",Cait Flanders,16,
Inspiration Has an Expiration Date,https://caitflanders.com/2016/03/21/inspiration-has-an-expiration-date/,889,"March 21, 2016",Cait Flanders,15,
"You Can't Read, Watch and Do Everything",https://caitflanders.com/2016/02/17/you-cant-read-watch-and-do-everything/,1344,"February 17, 2016",Cait Flanders,47,
You Weren't Born to Pay Off Debt and Die,https://caitflanders.com/2016/02/10/you-werent-born-to-pay-off-debt-and-die/,1206,"February 10, 2016",Cait Flanders,42,
Why I'm Moving into My Car This Year,https://caitflanders.com/2016/03/07/moving-into-my-car/,2512,"March 7, 2016",Cait Flanders,145,
How I Manage My Money Today,https://caitflanders.com/2016/02/15/how-i-manage-my-money-today/,1927,"February 15, 2016",Cait Flanders,32,
Book Giveaway: Tidy Up with Marie Kondo,https://caitflanders.com/2016/02/01/book-giveaway-tidy-up-with-marie-kondo/,561,"February 1, 2016",Cait Flanders,206,
I Own 28 Items of Clothing (and Only Wear 9 Regularly),https://caitflanders.com/2016/02/16/my-teeny-tiny-wardrobe/,921,"February 16, 2016",Cait Flanders,64,
December 2015 Budget & Goals for the First 90 Days of 2016,https://caitflanders.com/2016/01/04/december-2015-budget-goals-q1-2016/,1061,"January 4, 2016",Cait Flanders,48,
15 Ways to Simplify Your Life (and Finances) Before the End of 2015,https://caitflanders.com/2015/12/14/simplify-your-life-and-finances/,2015,"December 14, 2015",Cait Flanders,54,
It Doesn't Feel Like Christmas...  and Maybe That's OK,https://caitflanders.com/2015/12/24/it-doesnt-feel-like-christmas-and-maybe-thats-ok/,656,"December 24, 2015",Cait Flanders,22,
The Blog Posts I Loved in 2015,https://caitflanders.com/2015/12/28/the-blog-posts-i-loved-in-2015/,1372,"December 28, 2015",Cait Flanders,17,
Gratitude Lessons From a 3-Year-Old,https://caitflanders.com/2015/11/25/gratitude-lessons-from-a-3-year-old/,1089,"November 25, 2015",Cait Flanders,13,
If We Were on a Coffee Date... ,https://caitflanders.com/2015/12/11/if-we-were-on-a-coffee-date-2/,1058,"December 11, 2015",Cait Flanders,29,
I'm Dreaming of a Minimalist Christmas + 15 Posts to Read Instead of Shopping This Week,https://caitflanders.com/2015/11/23/im-dreaming-of-a-minimalist-christmas-15-posts-to-read-instead-of-shopping-this-week/,1120,"November 23, 2015",Cait Flanders,34,
November 2015 Budget & Shopping Ban Update,https://caitflanders.com/2015/12/01/november-2015-budget-shopping-ban-update/,1117,"December 1, 2015",Cait Flanders,39,
In Defense of Doing Nothing,https://caitflanders.com/2015/10/12/in-defense-of-doing-nothing/,1131,"October 12, 2015",Cait Flanders,18,
Why $100 Left Me Speechless,https://caitflanders.com/2015/10/30/why-100-dollars-left-me-speechless/,737,"October 30, 2015",Cait Flanders,24,
October 2015 Budget & Shopping Ban Update,https://caitflanders.com/2015/11/04/october-2015-budget-shopping-ban-update/,1073,"November 4, 2015",Cait Flanders,17,
An Open Letter to High School Students,https://caitflanders.com/2015/11/18/an-open-letter-to-high-school-students/,2641,"November 18, 2015",Cait Flanders,34,
Adventures in Experientialism: Why I Gave Up Buying Things to Travel,https://caitflanders.com/2015/09/21/adventures-in-experientialism-why-i-gave-up-buying-things-to-travel/,1259,"September 21, 2015",Cait Flanders,12,
What Consumes Your Mind Controls Your Life (and Finances),https://caitflanders.com/2015/09/14/what-consumes-your-mind-controls-your-life-and-finances/,2562,"September 14, 2015",Cait Flanders,62,
Choose Your Own Financial Adventure,https://caitflanders.com/2015/10/05/choose-your-own-financial-adventure/,1793,"October 5, 2015",Cait Flanders,36,
September 2015 Budget & Shopping Ban Update,https://caitflanders.com/2015/10/01/september-2015-budget-shopping-ban-update/,1459,"October 1, 2015",Cait Flanders,38,
