title,link,word_count,date,author,comments_count,notes
Beyond #DeleteFacebook: More Thoughts on Embracing the Social Internet Over Social Media,http://calnewport.com/blog/2018/03/25/beyond-deletefacebook-more-thoughts-on-embracing-the-social-internet-over-social-media/,1461,"March 25th, 2018",,74,
On Analog Social Media,http://calnewport.com/blog/2018/03/28/on-analog-social-media/,1547,"March 28th, 2018",,58,
The Disturbing High Modernism of Silicon Valley,http://calnewport.com/blog/2018/04/11/the-disturbing-high-modernism-of-silicon-valley/,1004,"April 11th, 2018",,45,
"My New Project, Part 3",http://calnewport.com/blog/2018/04/30/my-new-project-part-3/,18,"April 30th, 2018",,88,
Beyond Black Box Management,http://calnewport.com/blog/2018/04/21/beyond-black-box-management/,1146,"April 21st, 2018",,44,
Tim Wu on the Tyranny of Convenience,http://calnewport.com/blog/2018/03/03/tim-wu-on-the-tyranny-of-convenience/,413,"March 3rd, 2018",,33,
Stephen Hawking's Radical Thinking,http://calnewport.com/blog/2018/03/15/stephen-hawkings-radical-thinking/,376,"March 15th, 2018",,9,
On Social Media and Its Discontents,http://calnewport.com/blog/2018/03/20/on-social-media-and-its-discontents/,1040,"March 20th, 2018",,60,
The End of Facebook's Ubiquity?,http://calnewport.com/blog/2017/12/21/the-end-of-facebooks-ubiquity/,483,"December 21st, 2017",,33,
Tycho Brahe's Cognitive Kingdom,http://calnewport.com/blog/2017/12/31/tycho-brahes-cognitive-kingdom/,284,"December 31st, 2017",,15,
On the Rise of Digital Addiction Activism,http://calnewport.com/blog/2018/01/13/on-the-rise-of-digital-addiction-activism/,682,"January 13th, 2018",,32,
On Seriously Rethinking the Digital Economy,http://calnewport.com/blog/2018/01/17/on-seriously-rethinking-the-digital-economy/,497,"January 17th, 2018",,21,
Alexander Hamilton's Deep Advice,http://calnewport.com/blog/2018/01/29/alexander-hamiltons-deep-advice/,362,"January 29th, 2018",,83,
On Simple Productivity Systems and Complex Plans,http://calnewport.com/blog/2018/02/02/on-simple-productivity-systems-and-complex-plans/,541,"February 2nd, 2018",,41,
Facebook's Desperate Smoke Screen,http://calnewport.com/blog/2018/02/09/facebooks-desperate-smoke-screen/,764,"February 9th, 2018",,34,
Sebastian Junger Never Owned a Smartphone (and Why This Matters),http://calnewport.com/blog/2018/02/17/sebastian-junger-never-owned-a-smartphone-and-why-this-matters/,597,"February 17th, 2018",,60,
Segment's Systematic Quest for Depth,http://calnewport.com/blog/2017/10/27/segments-systematic-quest-for-depth/,519,"October 27th, 2017",,11,
Arnold Bennett's Fight Against Steampunk Social Media,http://calnewport.com/blog/2017/11/03/arnold-bennetts-fight-against-steampunk-social-media/,508,"November 3rd, 2017",,26,
Sean Parker on Facebook's Brain Hacking,http://calnewport.com/blog/2017/11/10/sean-parker-on-facebooks-brain-hacking/,285,"November 10th, 2017",,37,
The da Vinci Pause,http://calnewport.com/blog/2017/11/18/the-da-vinci-pause/,316,"November 18th, 2017",,24,
The Woodworker Who Quit Email,http://calnewport.com/blog/2017/11/21/the-woodworker-who-quit-email/,432,"November 21st, 2017",,34,
On the Complicated Economics of Attention Capital,http://calnewport.com/blog/2017/11/30/on-the-complicated-economics-of-attention-capital/,651,"November 30th, 2017",,30,
Jocko Willink On the Power of Discipline,http://calnewport.com/blog/2017/12/11/jocko-willink-on-the-power-of-discipline/,439,"December 11th, 2017",,33,
Toward a Deeper Vocabulary,http://calnewport.com/blog/2017/08/27/toward-a-deeper-vocabulary/,331,"August 27th, 2017",,42,
Apple's New Open Office Sparks Revolt,http://calnewport.com/blog/2017/09/01/apples-new-open-office-sparks-revolt/,319,"September 1st, 2017",,21,
BuJoPro: Thoughts on Adapting Bullet Journal to a Hyper-Connected World,http://calnewport.com/blog/2017/12/15/bujopro-thoughts-on-adapting-bullet-journal-to-a-hyper-connected-world/,1165,"December 15th, 2017",,40,
Franklin Foer on Technology's Surprising Threat to Humanity,http://calnewport.com/blog/2017/09/11/franklin-foer-on-technologys-surprising-threat-to-humanity/,312,"September 11th, 2017",,23,
Approach Technology Like the Amish,http://calnewport.com/blog/2017/09/18/approach-technology-like-the-amish/,922,"September 18th, 2017",,36,
Spend More Time Alone,http://calnewport.com/blog/2017/09/24/spend-more-time-alone/,488,"September 24th, 2017",,38,
Jony Ive's iConcern,http://calnewport.com/blog/2017/10/07/jony-ives-iconcern/,213,"October 7th, 2017",,21,
Andrew Wiles on the State of Being Stuck,http://calnewport.com/blog/2017/10/20/andrew-wiles-on-the-state-of-being-stuck/,491,"October 20th, 2017",,22,
Are You Using Social Media or Being Used By It?,http://calnewport.com/blog/2017/10/02/are-you-using-social-media-or-being-used-by-it/,724,"October 2nd, 2017",,41,
John Carmack's Deep Nights,http://calnewport.com/blog/2017/06/28/john-carmacks-deep-nights/,241,"June 28th, 2017",,19,
An Early 20th Century Lesson on the Difference Between Convenience and Value,http://calnewport.com/blog/2017/06/21/an-early-20th-century-lesson-on-the-difference-between-convenience-and-value/,454,"June 21st, 2017",,19,
On Claude Shannon's Deliberate Depth,http://calnewport.com/blog/2017/07/21/on-claude-shannons-deliberate-depth/,501,"July 21st, 2017",,19,
