title,link,word_count,date,author,comments_count,notes
How do I convince my partner we can retire early?,https://chrisreining.com/how-do-i-convince-my-partner-we-can-retire-early/,925,,,3,
Should I stop using retirement accounts if I'm planning to retire early?,https://chrisreining.com/should-i-stop-using-retirement-accounts-if-im-planning-to-retire-early/,1202,,,10,
How to Squeeze the Most Happiness from Your Money,https://chrisreining.com/happiness/,706,,,4,
3 Simple Portfolios: How Investing like a Minimalist Can Maximize Your Results,https://chrisreining.com/minimalist-investing/,690,,,10,
Should I invest in bitcoin?,https://chrisreining.com/should-i-invest-in-bitcoin/,671,,,3,
The 5 (Very) Best Books I Read in 2017,https://chrisreining.com/5-books-2017/,982,,,6,
To Be Rich Be Unpopular,https://chrisreining.com/unpopular/,728,,,19,
Can we retire in our 40s?,https://chrisreining.com/can-we-retire-in-our-40s/,941,,,1,
How do I handle the peer pressure to spend money?,https://chrisreining.com/how-do-i-handle-the-peer-pressure-to-spend-money/,747,,,0,
This Is How Much You Really Need to Be Financially Independent,https://chrisreining.com/how-much/,897,,,6,
When to Sell: Anatomy of 10 Failed Investments,https://chrisreining.com/when-to-sell/,1100,,,6,
"Challenge: Save $1,000 in Just 3 Days",https://chrisreining.com/save-1000/,919,,,4,
Do What You Hate to Do What You Love,https://chrisreining.com/hate-love/,803,,,11,
Case Study: How Simple Living Leads to Financial Independence,https://chrisreining.com/case-study-lisa/,2361,,,7,
How do I start saving to retire early?,https://chrisreining.com/how-do-i-start-saving-to-retire-early/,775,,,6,
Is my house a bad investment?,https://chrisreining.com/is-my-house-a-bad-investment/,1002,,,15,
The Salary Negotiation Mistake Costing You Money,https://chrisreining.com/negotiate-salary/,829,,,3,
Everything Top Performers Know About Getting a Promotion,https://chrisreining.com/promotion/,1321,,,0,
Should I pay off debt or invest?,https://chrisreining.com/should-i-pay-off-debt-or-invest/,1004,,,1,
Enough with Robo-Advisors Already,https://chrisreining.com/robo-advisors/,2065,,,17,
"Why a $35,000 Wedding Is a Dumb Idea",https://chrisreining.com/wedding/,805,,,12,
What should I invest in?,https://chrisreining.com/what-should-i-invest-in/,865,,,0,
How do I get a job after a career break?,https://chrisreining.com/how-do-i-get-a-job-after-a-career-break/,508,,,2,
Morgan Housel on What You Need to Know to Be a Successful Investor,https://chrisreining.com/morgan-housel/,1249,,,12,
The Secret to Financial Independence. In One Sentence.,https://chrisreining.com/one-sentence/,944,,,11,
5 Investing Rules from Building a 7-Figure Portfolio,https://chrisreining.com/5-investing-rules/,1022,,,7,
How do I actually stick to a plan?,https://chrisreining.com/how-do-i-actually-stick-to-a-plan/,764,,,6,
Should I invest in gold right now?,https://chrisreining.com/should-i-invest-in-gold-right-now/,594,,,0,
How to Use Your Resume to Get the Job,https://chrisreining.com/resume/,1025,,,4,
