title,link,word_count,date,author,comments_count,notes
You don't know what you don't know,http://earlyretirementextreme.com/you-dont-know-what-you-dont-know.html,839,"April 11th, 2018 ",Jacob,14,
Books to understand the future,http://earlyretirementextreme.com/books-to-understand-the-future.html,220,"April 12th, 2018 ",Jacob,9,
My list of 25 money saving tips,http://earlyretirementextreme.com/my-list-of-25-money-saving-tips.html,495,"April 12th, 2018 ",Jacob,46,
Using baking soda for brushing teeth,http://earlyretirementextreme.com/using-baking-soda-for-brushing-teeth.html,335,"April 10th, 2018 ",Jacob,43,
Swedish sausage dish,http://earlyretirementextreme.com/swedish-sausage-dish.html,185,"April 8th, 2018 ",Jacob,10,
Koyaanisqatsi - life out of balance,http://earlyretirementextreme.com/koyaanisqatsi-life-out-of-balance.html,241,"April 10th, 2018 ",Jacob,20,
The implications of financial freedom,http://earlyretirementextreme.com/the-implications-of-financial-freedom.html,741,"April 9th, 2018 ",Jacob,45,
"Dear Graduate, do you want to retire in five years?",http://earlyretirementextreme.com/dear-graduate-do-you-want-to-retire-in-five-years.html,532,"April 9th, 2018 ",Jacob,33,
Sloppy joe pinto beans one dollar meal,http://earlyretirementextreme.com/sloppy-joe-pinto-beans-one-dollar-mea.html,227,"April 11th, 2018 ",Jacob,16,
"That word ""retired""",http://earlyretirementextreme.com/that-word-retired.html,787,"April 7th, 2018 ",Jacob,20,
"Row, row, row your boat -- On the law of comparative advantage",http://earlyretirementextreme.com/row-row-row-your-boat-on-the-law-of-comparative-advantage.html,926,"April 8th, 2018 ",Jacob,28,
Simple pancake recipe,http://earlyretirementextreme.com/pancake-recipe.html,213,"April 7th, 2018 ",Jacob,25,
Physiological advantages,http://earlyretirementextreme.com/physiological-advantages.html,422,"April 6th, 2018 ",Jacob,27,
Utopia,http://earlyretirementextreme.com/utopi.html,362,"April 6th, 2018 ",Jacob,10,
Optimizing blogging with S-curves,http://earlyretirementextreme.com/optimizing-blogging-with-s-curves.html,791,"April 5th, 2018 ",Jacob,5,
