title,link,word_count,date,author,comments_count,notes
A Framework for Creating Your Introductory E-mail Marketing Funnel,http://erinblaskie.com/a-framework-for-creating-your-introductory-e-mail-marketing-funnel/,462,"March 31, 2017",Erin Blaskie,,
"How to Generate Inspiration for Blog Posts, Vlogs and E-Books",http://erinblaskie.com/how-to-generate-inspiration-for-blog-posts-vlogs-e-books/,624,"July 13, 2017",Erin Blaskie,,
Storytelling + Community Building,http://erinblaskie.com/storytelling-community-building/,121,"July 22, 2017",Erin Blaskie,,
Sales Page Design + Layout,http://erinblaskie.com/sales-page-design-layout/,110,"July 28, 2017",Erin Blaskie,,
PicMonkey: A Lesson in How NOT to Change the Pricing Model of Your SaaS Company,http://erinblaskie.com/picmonkey-a-lesson-in-how-not-to-change-the-pricing-model-of-your-saas-company/,853,"September 22, 2017",Erin Blaskie,,
"Five Things I Learned About Twitter Bios by Reading Over 4,000 User Profiles",http://erinblaskie.com/five-things-i-learned-about-twitter-bios-by-reading-over-4000-user-profiles/,489,"July 28, 2017",Erin Blaskie,,
Lessons Learned in 2017,http://erinblaskie.com/lessons-learned-in-2017/,872,"January 2, 2018",Erin Blaskie,,
How I Start the New Year,http://erinblaskie.com/how-i-start-the-new-year/,267,"January 1, 2018",Erin Blaskie,,
Clean Up Your Desktop + Backup Your Files Quickly with These 3 Tips,http://erinblaskie.com/clean-up-your-desktop/,769,"January 4, 2017",Erin Blaskie,,
The Easiest Way to Send Invoices for Your Online Business,http://erinblaskie.com/the-easiest-way-to-send-invoices-for-your-online-business/,840,"January 4, 2017",Erin Blaskie,,
3 Mistakes You're (Still) Making on Twitter,http://erinblaskie.com/3-mistakes-youre-still-making-on-twitter/,775,"January 6, 2017",Erin Blaskie,,
Push Your New Blog Posts Out to Social Media with Jetpack,http://erinblaskie.com/push-your-new-blog-posts-out-to-social-media-with-jetpack/,446,"January 5, 2017",Erin Blaskie,,
Ditch Digital Overwhelm + Never Forget Anything Ever Again,http://erinblaskie.com/ditch-digital-overwhelm-never-forget-anything-ever-again/,1112,"March 10, 2017",Erin Blaskie,,
"Inside a $250,000 Digital Product Launch, Part One",http://erinblaskie.com/inside-a-250000-digital-product-launch-part-one/,1350,"March 23, 2017",Erin Blaskie,,
"Inside a $250,000 Digital Product Launch, Part Two",http://erinblaskie.com/inside-a-250000-digital-product-launch-part-two/,989,"March 28, 2017",Erin Blaskie,,
How to Create an Opt-In Page or Squeeze Page Using LeadPages,http://erinblaskie.com/how-to-create-an-opt-in-page-or-squeeze-page-using-leadpages/,124,"March 29, 2017",Erin Blaskie,,
How to Work at Home When Your Kid is Home With You,http://erinblaskie.com/work-at-home-parent/,668,"November 21, 2016",Erin Blaskie,,
Why I Delete Negative Social Media Comments,http://erinblaskie.com/why-i-delete-negative-social-media-comments/,624,"November 24, 2016",Erin Blaskie,,
The Creative Process,http://erinblaskie.com/the-creative-process/,279,"November 22, 2016",Erin Blaskie,,
Seven Values to Help Guide Your Life & Work,http://erinblaskie.com/seven-values-to-help-guide-your-life-work/,674,"December 15, 2016",Erin Blaskie,,
Goal-Setting and Business Planning for 2017 : Here's Where to Start,http://erinblaskie.com/goal-setting-and-business-planning-for-2017-heres-where-to-start/,841,"December 29, 2016",Erin Blaskie,,
Readability & The Website : How Advertising Can Steal from a Visitor's Experience,http://erinblaskie.com/readability-the-website-how-advertising-can-steal-from-a-visitors-experience/,856,"January 3, 2017",Erin Blaskie,,
Rid Your Inbox of Subscriptions with This Simple + Free Tool,http://erinblaskie.com/rid-your-inbox-of-subscriptions-with-this-simple-free-tool/,203,"January 3, 2017",Erin Blaskie,,
How Do I Do Live Videos from My Facebook Page with Facebook Live?,http://erinblaskie.com/how-do-i-do-live-videos-from-my-facebook-page-with-facebook-live/,390,"April 26, 2016",Erin Blaskie,,
WordPress Website for the Sale of a House,http://erinblaskie.com/wordpress-website-for-the-sale-of-a-house/,115,"April 20, 2016",Erin Blaskie,,
3 Things that Qualify You to Have a Business,http://erinblaskie.com/3-things-that-qualify-you-to-have-a-business/,852,"June 3, 2016",Trina Lamarche,,
Small Gestures Produce Big Results in Marketing & Business,http://erinblaskie.com/small-gestures-produce-big-results-in-marketing-business/,279,"June 24, 2016",Erin Blaskie,,
Are You Terrible at Responding to Facebook Messages on Your Page? Here's a Tip,http://erinblaskie.com/are-you-terrible-at-responding-to-facebook-messages-on-your-page-heres-a-tip/,291,"June 23, 2016",Erin Blaskie,,
How to Target Your Facebook Ads to Your Existing E-mail Marketing List,http://erinblaskie.com/how-to-target-your-facebook-ads-to-your-existing-e-mail-marketing-list/,475,"June 29, 2016",Erin Blaskie,,
Pokemon GO and Marketing Your Business: Everything You Need to Know,http://erinblaskie.com/pokemon-go-marketing/,2150,"July 21, 2016",Erin Blaskie,,
How Do I Publish a Blog Post to LinkedIn?,http://erinblaskie.com/how-do-i-publish-a-blog-post-to-linkedin/,62,"November 8, 2016",Erin Blaskie,,
Create an E-Book Using Existing Content,http://erinblaskie.com/create-an-e-book-using-existing-content/,92,"January 19, 2016",Erin Blaskie,,
E-Book and Workbook Covers,http://erinblaskie.com/e-book-and-workbook-covers/,125,,,,
"Is Technology Making Us Distracted, Detached and Depressed?",http://erinblaskie.com/is-technology-making-us-distracted-detached-depressed/,1936,"March 23, 2016",Erin Blaskie,,
The Year of Books,http://erinblaskie.com/the-year-of-books/,496,"January 22, 2016",Erin Blaskie,,
LeadPages Design + Implementation,http://erinblaskie.com/leadpages-design-implementation/,131,"April 7, 2016",Erin Blaskie,,
WordPress Website: JeanLucFit.com,http://erinblaskie.com/wordpress-website-jeanlucfit-com/,193,"March 24, 2016",Erin Blaskie,,
