title,link,word_count,date,author,comments_count,notes
I Love My Boyfriend but He Values Money and Freedom More Than Me.,https://www.evanmarckatz.com/blog/letting-go/love-boyfriend-values-money-freedom/,730,2018-03-19,https://www.facebook.com/EvanMarcKatzFan/,60,
Do You Know How to Fight Fairly With Your Partner? You Should.,https://www.evanmarckatz.com/blog/communication/do-you-know-how-to-fight-fairly-with-your-partner/,383,2018-03-15,https://www.facebook.com/EvanMarcKatzFan/,2,
Where Is the Line Between Being Demanding and Expressing Needs?,https://www.evanmarckatz.com/blog/communication/line-demanding-expressing-needs/,381,2018-03-26,https://www.facebook.com/EvanMarcKatzFan/,13,
How Can I Identify and Avoid Men Who Don't Know What They Want?,https://www.evanmarckatz.com/blog/dating-tips-advice/how-can-i-identify-and-avoid-men-who-dont-know-what-they-want/,1195,2018-03-12,https://www.facebook.com/EvanMarcKatzFan/,24,
American Women Are Having More Kids Than Before - Without Men,https://www.evanmarckatz.com/blog/uncategorized/american-women-having-more-kids-than-before-without-men/,493,2018-03-22,https://www.facebook.com/EvanMarcKatzFan/,103,
Another Broken Heart? Here's How to Get It Right with the Next Guy.,https://www.evanmarckatz.com/blog/dating-tips-advice/another-broken-heart-get-it-right-with-the-next-guy/,505,2018-03-29,https://www.facebook.com/EvanMarcKatzFan/,31,
Why Would a Man Commit to Me and Then Change His Mind?,https://www.evanmarckatz.com/blog/understanding-men/why-would-a-man-commit-to-me-and-then-change-his-mind/,946,2018-04-02,https://www.facebook.com/EvanMarcKatzFan/,215,
Why Young Americans are Having Less Sex,https://www.evanmarckatz.com/blog/sex/why-young-americans-are-having-less-sex/,417,2018-04-05,https://www.facebook.com/EvanMarcKatzFan/,22,
What is Microcheating?,https://www.evanmarckatz.com/blog/cheating/what-is-microcheating/,486,2018-04-12,https://www.facebook.com/EvanMarcKatzFan/,26,
How Can I Make an Inconsistent Man Act More Consistently?,https://www.evanmarckatz.com/blog/letting-go/how-can-i-make-an-inconsistent-man-act-more-consistently/,615,2018-04-09,https://www.facebook.com/EvanMarcKatzFan/,6,
4 Hot Tips on Confidence (#4 Will Make Every Man Fall for You!),https://www.evanmarckatz.com/blog/uncategorized/4-hot-tips-confidence-4-will-make-every-man-fall/,1385,2018-02-14,https://www.facebook.com/EvanMarcKatzFan/,97,
Am I the Crazy Overprotective Friend or Can a Man Completely Transform in 6 Months?,https://www.evanmarckatz.com/blog/uncategorized/crazy-overprotective-friend-can-man-completely-transform-6-months/,641,2018-02-19,https://www.facebook.com/EvanMarcKatzFan/,7,
Ask Me Anything,https://www.evanmarckatz.com/blog/uncategorized/as-me-anything/,303,2018-02-20,https://www.facebook.com/EvanMarcKatzFan/,15,
Why Bailing and Flaking Remains Shitty Behavior - Despite What Some Say,https://www.evanmarckatz.com/blog/communication/why-bailing-and-flaking-remains-shitty-behavior-despite-what-some-say/,928,2018-02-15,https://www.facebook.com/EvanMarcKatzFan/,14,
Marry Him - an Interview With Lori Gottlieb,https://www.evanmarckatz.com/blog/the-love-u-podcast/marry-interview-lori-gottlieb/,94,2018-02-21,https://www.facebook.com/EvanMarcKatzFan/,110,
Do You Ever Feel Like All Your Married Friends Are Moving On Without You?,https://www.evanmarckatz.com/blog/uncategorized/do-you-ever-feel-like-your-married-friends-are-moving-on-without-you/,912,2018-02-22,https://www.facebook.com/EvanMarcKatzFan/,7,
"Do You Have to Get Married to Be ""Married""?",https://www.evanmarckatz.com/blog/marriage/do-you-have-to-get-married-to-be-married/,479,2018-03-01,https://www.facebook.com/EvanMarcKatzFan/,47,
Do Most Men Begin to Experience Sexual Performance Issues At 30?,https://www.evanmarckatz.com/blog/sex/men-begin-experience-sexual-performance-issues-30/,670,2018-02-26,https://www.facebook.com/EvanMarcKatzFan/,277,
How to Meet a Guy on Instagram,https://www.evanmarckatz.com/blog/online-dating-tips-advice/how-to-meet-a-guy-on-instagram/,321,2018-03-08,https://www.facebook.com/EvanMarcKatzFan/,29,
My Boyfriend Doesn't Want to Get Married. How Can I Convince Him Otherwise?,https://www.evanmarckatz.com/blog/marriage/boyfriend-doesnt-want-get-married-can-convince-otherwise/,921,2018-01-22,https://www.facebook.com/EvanMarcKatzFan/,47,
No More Mr. Nice Guy - an Interview With Dr. Robert Glover,https://www.evanmarckatz.com/blog/the-love-u-podcast/no-mr-nice-guy-interview-dr-robert-glover/,71,2018-01-24,https://www.facebook.com/EvanMarcKatzFan/,124,
Are There Ways to Improve Compatibility in a Relationship?,https://www.evanmarckatz.com/blog/chemistry/are-there-ways-to-improve-compatibility-in-a-relationship/,452,2018-03-05,https://www.facebook.com/EvanMarcKatzFan/,117,
(Infographic) Everything You Should Know About Happy Relationships,https://www.evanmarckatz.com/blog/uncategorized/infographic-everything-you-should-know-about-happy-relationships/,173,2018-02-01,https://www.facebook.com/EvanMarcKatzFan/,4,
My Boyfriend is a Pothead but Will Quit If I Ask Him. Should I?,https://www.evanmarckatz.com/blog/communication/my-boyfriend-is-a-pothead-but-will-quit-if-i-ask-him-should-i/,759,2018-02-05,https://www.facebook.com/EvanMarcKatzFan/,23,
Will Improving Myself Make My Boyfriend More Attracted to Me?,https://www.evanmarckatz.com/blog/letting-go/will-improving-make-boyfriend-attracted/,962,2018-01-29,https://www.facebook.com/EvanMarcKatzFan/,62,
The Tao of Dating - an Interview With Dr. Ali Binazir,https://www.evanmarckatz.com/blog/the-love-u-podcast/tao-dating-interview-dr-ali-binazir/,97,2018-01-31,https://www.facebook.com/EvanMarcKatzFan/,7,
The All-Or-Nothing-Marriage - an interview with Eli Finkel,https://www.evanmarckatz.com/blog/the-love-u-podcast/nothing-marriage-interview-eli-finkel/,68,2018-02-07,https://www.facebook.com/EvanMarcKatzFan/,65,
Marriage is Dying in Lower Class America,https://www.evanmarckatz.com/blog/marriage/marriage-is-dying-in-lower-class-america/,542,2018-01-25,https://www.facebook.com/EvanMarcKatzFan/,216,
"Am I a Jerk? Wait, Don't Answer That... !",https://www.evanmarckatz.com/blog/uncategorized/am-i-a-jerk-wait-dont-answer-that/,924,2018-02-08,https://www.facebook.com/EvanMarcKatzFan/,3,
Another VDay Without True Love (Princess Bride Edition!),https://www.evanmarckatz.com/blog/uncategorized/another-vday-without-true-love-princess-bride-edition/,1163,2018-02-12,https://www.facebook.com/EvanMarcKatzFan/,111,
Want a Happy Life? Follow These 4 Steps in This Order.,https://www.evanmarckatz.com/blog/uncategorized/want-a-happy-life-follow-these-4-steps-in-this-order/,465,2018-01-04,https://www.facebook.com/EvanMarcKatzFan/,14,
Let's Generalize About Men,https://www.evanmarckatz.com/blog/uncategorized/lets-generalize-about-men/,308,2018-01-11,https://www.facebook.com/EvanMarcKatzFan/,22,
5 Ways You Can Overcome Rejection and Find Love,https://www.evanmarckatz.com/blog/the-love-u-podcast/5-ways-can-overcome-rejection-find-love/,64,2018-01-03,https://www.facebook.com/EvanMarcKatzFan/,38,
"Should I Take Him Back if He's ""Working on Himself""?",https://www.evanmarckatz.com/blog/letting-go/should-i-take-him-back-if-hes-working-on-himself/,905,2018-01-15,https://www.facebook.com/EvanMarcKatzFan/,179,
"Three Day Rule - An Interview With Talia Goldstein, CEO",https://www.evanmarckatz.com/blog/the-love-u-podcast/three-day-rule-interview-talia-goldstein-ceo/,58,2018-01-17,https://www.facebook.com/EvanMarcKatzFan/,20,
"How Do I Get Over My ""Limiting Belief"" That I'm Too Fat to Find Love?",https://www.evanmarckatz.com/blog/understanding-men/get-limiting-belief-im-fat-find-love/,510,2018-01-08,https://www.facebook.com/EvanMarcKatzFan/,70,
What is the Best Dating App and Online Dating Site?,https://www.evanmarckatz.com/blog/online-dating-tips-advice/what-is-the-best-dating-app-and-online-dating-site/,387,2018-01-18,https://www.facebook.com/EvanMarcKatzFan/,82,
I Have a Great Boyfriend with Issues. Should I Stick Around or Cut My Losses?,https://www.evanmarckatz.com/blog/dating-tips-advice/great-boyfriend-issues-stick-around-cut-losses/,774,2017-12-25,https://www.facebook.com/EvanMarcKatzFan/,12,
"Again, Men and Women Are Biologically Different",https://www.evanmarckatz.com/blog/understanding-men/again-men-and-women-are-biologically-different/,848,2017-12-28,https://www.facebook.com/EvanMarcKatzFan/,11,
When Is the Right Time to Discuss Serious Aspects of Our Relationship?,https://www.evanmarckatz.com/blog/communication/right-time-discuss-serious-aspects-relationship/,757,2018-01-01,https://www.facebook.com/EvanMarcKatzFan/,19,
Is Porn Bad for You?,https://www.evanmarckatz.com/blog/sex/is-porn-bad-for-you/,628,2017-11-30,https://www.facebook.com/EvanMarcKatzFan/,106,
Is it Wrong to Stop Sleeping with a Man While I Figure Out How I Feel About Him?,https://www.evanmarckatz.com/blog/sex/wrong-stop-sleeping-man-figure-feel/,802,2017-12-04,https://www.facebook.com/EvanMarcKatzFan/,149,
Testosterone Turns Men Into Bad Decision Makers,https://www.evanmarckatz.com/blog/understanding-men/testosterone-turns-men-into-bad-decision-makers/,352,2017-12-07,https://www.facebook.com/EvanMarcKatzFan/,23,
What Makes a Good First Date?,https://www.evanmarckatz.com/blog/the-love-u-podcast/makes-good-first-date/,57,2017-12-06,https://www.facebook.com/EvanMarcKatzFan/,58,
How Many Pics Are Enough for Online Dating?,https://www.evanmarckatz.com/blog/understanding-men/many-pics-enough-online-dating/,600,2017-12-11,https://www.facebook.com/EvanMarcKatzFan/,165,
A Book About Love - an Interview With Jonah Lehrer,https://www.evanmarckatz.com/blog/the-love-u-podcast/book-love-interview-jonah-lehrer/,63,2017-12-13,https://www.facebook.com/EvanMarcKatzFan/,13,
Why Women Cheat on Their Husbands,https://www.evanmarckatz.com/blog/cheating/why-women-cheat-on-their-husbands/,925,2017-12-14,https://www.facebook.com/EvanMarcKatzFan/,158,
What Should I Say to Men Who Ask Me Out While on a First Date?,https://www.evanmarckatz.com/blog/dating-tips-advice/say-men-ask-first-date/,1037,2017-12-18,https://www.facebook.com/EvanMarcKatzFan/,67,
Healthy Masculinity: an Interview with Evan Marc Katz by Amy Loftus,https://www.evanmarckatz.com/blog/uncategorized/healthy-masculinity-an-interview-with-evan-marc-katz-by-amy-loftus/,317,2017-12-21,https://www.facebook.com/EvanMarcKatzFan/,18,
Why Do Men Not Want to Understand Women?,https://www.evanmarckatz.com/blog/the-love-u-podcast/men-not-want-understand-women/,54,2017-12-20,https://www.facebook.com/EvanMarcKatzFan/,181,
Why Good Men Were Shocked by the #MeToo Movement,https://www.evanmarckatz.com/blog/the-love-u-podcast/good-men-shocked-metoo-movement/,69,2017-11-08,https://www.facebook.com/EvanMarcKatzFan/,15,
[Video] I'm Crazy. You're Crazy. Let's Get Married!,https://www.evanmarckatz.com/blog/marriage/im-crazy-youre-crazy-lets-get-married/,199,2017-11-09,https://www.facebook.com/EvanMarcKatzFan/,11,
Why Do Men Not Accept Me and My Flaws When I Fully Accept Them?,https://www.evanmarckatz.com/blog/dating-tips-advice/men-not-accept-flaws-fully-accept/,611,2017-11-13,https://www.facebook.com/EvanMarcKatzFan/,21,
Why Do Men Who Don't Want Anything Serious End Up with Girlfriends?,https://www.evanmarckatz.com/blog/understanding-men/men-dont-want-anything-serious-end-girlfriends/,652,2017-11-06,https://www.facebook.com/EvanMarcKatzFan/,387,
Forgiveness - An Interview with Marcy Neumann,https://www.evanmarckatz.com/blog/the-love-u-podcast/forgiveness-interview-marcy-neumann/,79,2017-11-15,https://www.facebook.com/EvanMarcKatzFan/,12,
A Thanksgiving Thank You from Me to You,https://www.evanmarckatz.com/blog/uncategorized/a-thanksgiving-thank-you-from-me-to-you/,801,2017-11-23,https://www.facebook.com/EvanMarcKatzFan/,3,
Camille Paglia on Hugh Hefner: Retrograde But Sophisticated,https://www.evanmarckatz.com/blog/sex/camille-paglia-hugh-hefner-retrograde-sophisticated/,913,2017-11-16,https://www.facebook.com/EvanMarcKatzFan/,55,
He Committed to Me After Two Weeks. When Can I Let Down My Guard?,https://www.evanmarckatz.com/blog/dating-tips-advice/he-committed-to-me-after-two-weeks-when-can-i-let-down-my-guard/,710,2017-11-20,https://www.facebook.com/EvanMarcKatzFan/,47,
Why Do I Always Want Men Who Are Taken or Not Available?,https://www.evanmarckatz.com/blog/dating-tips-advice/why-do-i-always-want-men-who-are-taken-or-not-available/,865,2017-11-27,https://www.facebook.com/EvanMarcKatzFan/,83,
Do You Distrust Men Who Are Trustworthy?,https://www.evanmarckatz.com/blog/understanding-men/do-you-distrust-men-who-are-trustworthy/,480,2017-10-12,https://www.facebook.com/EvanMarcKatzFan/,74,
My Long-Distance Boyfriend Has Met Someone Else but I Still Love Him. Help!,https://www.evanmarckatz.com/blog/understanding-men/my-long-distance-boyfriend-has-met-someone-else-but-i-still-love-him-help/,879,2017-10-16,https://www.facebook.com/EvanMarcKatzFan/,57,
Should Your Partner Also be Your Best Friend?,https://www.evanmarckatz.com/blog/the-love-u-podcast/partner-also-best-friend/,54,2017-11-29,https://www.facebook.com/EvanMarcKatzFan/,92,
How to Deal With Your Ex,https://www.evanmarckatz.com/blog/the-love-u-podcast/how-to-deal-with-your-ex/,74,2017-10-18,https://www.facebook.com/EvanMarcKatzFan/,19,
Should I Continue Seeing a Separated Man Whose Divorce is Nowhere in Sight?,https://www.evanmarckatz.com/blog/dating-tips-advice/continue-seeing-separated-man-whose-divorce-nowhere-sight/,664,2017-10-23,https://www.facebook.com/EvanMarcKatzFan/,30,
The Art of Charm - an interview with A.J. Harbinger,https://www.evanmarckatz.com/blog/the-love-u-podcast/art-charm-interview-j-harbinger/,91,2017-10-25,https://www.facebook.com/EvanMarcKatzFan/,No,
Why Men Aren't Speaking Up About the #MeToo Movement,https://www.evanmarckatz.com/blog/understanding-men/why-men-arent-speaking-up-about-the-metoo-movement/,1621,2017-10-19,https://www.facebook.com/EvanMarcKatzFan/,451,
"Fuck First, Names Later. Is Icelandic Casual Sex Better Than American Dating Culture?",https://www.evanmarckatz.com/blog/sex/fuck-first-names-latter-is-casual-sex-better-than-american-dating-culture/,518,2017-10-26,https://www.facebook.com/EvanMarcKatzFan/,106,
