title,link,word_count,date,author,comments_count,notes
How Do Gottman Principles Apply to the Dating World?,https://www.gottman.com/blog/gottman-principles-dating-world/,1192,"April 9, 2018","Stacy Hubbard, LMFT",1,
Growing After Trauma: An Interview with Dr. Julie Gottman,https://www.gottman.com/blog/trauma-interview-julie-gottman/,4200,"April 11, 2018",Chris Dollard,1,
Seriously. What's the Point of Marriage?,https://www.gottman.com/blog/seriously-whats-point-marriage-growth/,1622,"May 7, 2018",Nate Bagley,4,
"When ""Yes"" Really Means Yes: Have Great Sex with Affirmative Consent",https://www.gottman.com/blog/yes-really-means-yes-great-safe-sex-affirmative-consent/,1462,"April 27, 2018",Katelyn Ewen,4,
The Power of Us: How Men Can Help Women Recover from Sexual Violence,https://www.gottman.com/blog/power-us-men-help-women-recover-sexual-violence/,1744,"April 25, 2018",M.L. Mortimer,3,
How to Give Effective Feedback in the Workplace,https://www.gottman.com/blog/effective-feedback-workplace/,992,"April 13, 2018",Chris Dollard,1,
Stop Mansplaining: Tony Robbins and the #MeToo Movement,https://www.gottman.com/blog/robbins-men-must-stop-mansplaining/,940,"April 23, 2018",Chris Dollard,6,
Turning Toward Bids Creates Better Workplace Relationships,https://www.gottman.com/blog/turning-toward-bids-better-work-relationships/,1047,"April 18, 2018",Rosemary Schmidt,1,
We Will Grieve Forever Because We Love Forever,https://www.gottman.com/blog/we-will-grieve-forever-because-we-love-forever/,868,"April 16, 2018",Laura Sparrow,8,
Healthy Dependence as a Path Toward Healthy Relationships,https://www.gottman.com/blog/healthy-dependence-healthy-relationships/,943,"May 4, 2018",David and Constantino Khalaf,1,
Teach Your Kids the Value of Self-Care by Creating Healthy Habits,https://www.gottman.com/blog/teach-kids-self-care-creating-healthy-habits/,1027,"April 30, 2018","Ashleigh Louis, Ph.D.",0,
4 Key Issues for New Parents and How to Solve Them,https://www.gottman.com/blog/4-key-issues-new-parents-partner-solve/,1124,"May 9, 2018","April Eldemire, LMFT",0,
What Moana Taught Me About Trauma,https://www.gottman.com/blog/moana-taught-trauma/,516,"February 13, 2018",Parent Co.,1,
Empower Our Teens to Be Compassionate Leaders,https://www.gottman.com/blog/empower-teens-compassionate-leaders/,1082,"March 26, 2018","Lisa McCrohan, MA, LCSW-C, SEP",1,
"How to Have Better Conversations with Your Partner, and Just About Anyone Else",https://www.gottman.com/blog/better-conversations-partner-just-anyone-else/,1006,"February 15, 2018","Andy Reynolds, MSW, LCSW",3,
Can Love and Connection Heal Addiction?,https://www.gottman.com/blog/love-connection-heal-addiction/,594,"April 4, 2018",Dr. Edward Zawadzki,0,
Vacations Make Your Kids Happy Long After They're Over,https://www.gottman.com/blog/vacations-make-your-kids-happy/,616,"April 2, 2018",Motherly,1,
3 Steps to Renewing Dialogue in Your Marriage,https://www.gottman.com/blog/3-steps-renewing-dialogue-marriage/,1343,"February 23, 2018",Jon Beaty,3,
10 Things My Mom Told Me as a Kid That Give Me Confidence as an Adult,https://www.gottman.com/blog/10-things-mom-told-kid-give-confidence-adult/,807,"March 1, 2018",Parent Co.,0,
4 Ways to Help Children with Post-Traumatic Stress Disorder,https://www.gottman.com/blog/4-ways-children-post-traumatic-stress/,843,"March 28, 2018",Emily Thompson,0,
Therapy Isn't Something to Be Ashamed Of,https://www.gottman.com/blog/therapy-isnt-something-ashamed/,1703,"March 13, 2018",Jessica Grace,0,
5 Premarital Conversations to Help You Sustain Love,https://www.gottman.com/blog/5-premarital-conversations-sustain-love/,732,"March 20, 2018","Katie Golem, MSW, LSW",0,
How Anxious Attachment Can Be Healthy in a Relationship,https://www.gottman.com/blog/how-anxious-attachment-can-be-healthy-in-a-relationship/,698,"March 22, 2018",Anita Olds,0,
Surround Yourself With Healthy Couples,https://www.gottman.com/blog/surround-healthy-couples/,790,"January 10, 2018",David and Constantino Khalaf,0,
Therapy as a Journey: Using Process-Oriented Treatment Planning,https://www.gottman.com/blog/therapy-as-a-journey-using-process-oriented-treatment-planning/,879,"April 6, 2018","Andy Reynolds, MSW, LCSW",0,
10 Questions Happy Couples Are Constantly Asking One Another,https://www.gottman.com/blog/10-questions-happy-couples-constantly-asking-one-another/,986,"January 12, 2018",Verily Magazine,1,
Bending Without Breaking: How to Identify Needs and Preferences When Dating,https://www.gottman.com/blog/bending-without-breaking-identify-needs-preferences-dating/,1102,"January 25, 2018","Kara Shade, M.A., CFLE",0,
The Truth About Expectations in Relationships,https://www.gottman.com/blog/truth-expectations-relationships/,511,"January 30, 2018","John Gottman, Ph.D.",7,
Learn to Speak Your Partner's Love Languages,https://www.gottman.com/blog/learn-speak-partners-love-languages/,796,"January 18, 2018",Katerina Fager,2,
Suicide Prevention: Three Steps to Save a Life,https://www.gottman.com/blog/suicide-prevention-three-steps-save-life/,1710,"February 6, 2018",Sarah Polikoff,3,
Marriage is More Than Checking a Box on Your To-Do List,https://www.gottman.com/blog/marriage-is-more-than-checking-a-box-on-your-to-do-list/,769,"February 1, 2018",Kristen Manieri,2,
Introducing the Gottman Love Lab Experience from The Gottman Institute,https://www.gottman.com/blog/introducing-love-lab-experience-gottman-institute/,547,"February 9, 2018","John Gottman, Ph.D.",1,
How to Be a Parent Your Child Wants to Talk To,https://www.gottman.com/blog/parent-child-wants-talk/,980,"January 23, 2018",Parent Co.,0,
An Age-By-Age Guide to Helping Kids Manage Emotions,https://www.gottman.com/blog/age-age-guide-helping-kids-manage-emotions/,886,"January 16, 2018",Parent Co.,1,
How to Raise Critical Thinkers in a World That Desperately Needs Them,https://www.gottman.com/blog/raise-critical-thinkers-world-desperately-needs/,1307,"January 4, 2018",Parent Co.,0,
How Your Smartphone Might Sabotage Your Relationship,https://www.gottman.com/blog/smartphone-might-sabotage-relationship/,1094,"January 8, 2018","Katie Golem, MSW, LSW",6,
#MeToo: It's Time to Tell Our Stories,https://www.gottman.com/blog/metoo-time-tell-stories/,637,"November 29, 2017","Julie Gottman, Ph.D.",2,
Enriching Your Marriage by Creating Shared Meaning,https://www.gottman.com/blog/enriching-marriage-creating-shared-meaning/,1108,"November 30, 2017","Terry Gaspard, MSW, LICSW",0,
Make Intentional Choices to Connect with Your Family,https://www.gottman.com/blog/make-intentional-choices-connect-family/,842,"December 5, 2017","Sarah Crane O’Neill, LICSW",0,
Erring in the Direction of Kindness: An Interview with George Saunders,https://www.gottman.com/blog/erring-in-the-direction-of-kindness-an-interview-with-george-saunders/,2455,"December 7, 2017",Chris Dollard,0,
"Practical, Science-Based Steps to Heal from an Affair",https://www.gottman.com/blog/practical-science-based-steps-to-heal-from-an-affair/,1668,"December 12, 2017",Dr. Margaret Rutherford,1,
