title,link,word_count,date,author,comments_count,notes
The 14 Best Ways to Burn Fat Fast,https://www.healthline.com/nutrition/best-ways-to-burn-fat,3031,"March 19, 2018","Rachael Link, MS, RD",,
"Is Nutella Healthy? Ingredients, Nutrition and More",https://www.healthline.com/nutrition/nutella,1783,"March 20, 2018","Jillian Kubala, MS, RD",,
All About Colloidal Silver: Is It Healthy or Dangerous?,https://www.healthline.com/nutrition/colloidal-silver,1197,"March 17, 2018","Helen West, RD (UK)",,
5 Ways That Drinking Milk Can Improve Your Health,https://www.healthline.com/nutrition/milk-benefits,1650,"March 18, 2018","Jillian Kubala, MS, RD",,
8 Proven Health Benefits of Dates,https://www.healthline.com/nutrition/benefits-of-dates,1684,"March 21, 2018","Brianna Elliott, RD",,
8 Common Symptoms of Food Addiction,https://www.healthline.com/nutrition/8-symptoms-of-food-addiction,1622,"March 23, 2018","Kris Gunnars, BSc",,
Chromium Picolinate: What Are the Benefits?,https://www.healthline.com/nutrition/chromium-picolinate,1800,"March 23, 2018","Grant Tinsley, PhD",,
Prawns vs Shrimp: What's the Difference?,https://www.healthline.com/nutrition/prawns-vs-shrimp,1292,"March 9, 2018","Kaitlyn Berkheiser, RD, LDN ",,
Why Does Coffee Make You Poop?,https://www.healthline.com/nutrition/why-does-coffee-make-you-poop,964,"March 22, 2018","Ryan Raman, MS, RD (NZ)",,
15 Soft Foods To Eat After Having Your Wisdom Teeth Removed,https://www.healthline.com/nutrition/what-to-eat-after-wisdom-teeth-removal,2392,"March 24, 2018","Ryan Raman, MS, RD (NZ)",,
5 Ways Nitric Oxide Supplements Boost Your Health and Performance,https://www.healthline.com/nutrition/nitric-oxide-supplements,1487,"March 25, 2018","Gavin Van De Walle, MS",,
7 Surprising Health Benefits of Jalapeños,https://www.healthline.com/nutrition/jalapeno-health-benefits,1937,"March 10, 2018","Erica Julson, MS, RDN, CLT",,
12 Healthy Foods High in Antioxidants,https://www.healthline.com/nutrition/foods-high-in-antioxidants,2485,"March 12, 2018","Ryan Raman, MS, RD (NZ)",,
