title,link,word_count,date,author,comments_count,notes
How historic interest rates impact your mortgage,https://www.iwillteachyoutoberich.com/blog/historic-interest-rates/,1305,2018-04-05,Ramit Sethi,1,
The 4 best checking accounts to open today,https://www.iwillteachyoutoberich.com/blog/best-checking-account/,1852,2018-03-30,Ramit Sethi,105,
Emergency fund: How to build your financial parachute,https://www.iwillteachyoutoberich.com/blog/emergency-fund/,1771,2018-03-27,Ramit Sethi,0,
Get your tax refund: How much do I get back in taxes?,https://www.iwillteachyoutoberich.com/blog/how-much-do-i-get-back-in-taxes/,1498,2018-04-04,Ramit Sethi,0,
Diversified portfolio examples: A guide to diversification,https://www.iwillteachyoutoberich.com/blog/diversified-portfolio-examples/,1530,2018-03-23,Ramit Sethi,4,
The US average inflation rate (and what to do about it),https://www.iwillteachyoutoberich.com/blog/average-inflation-rate/,1363,2018-03-22,Ramit Sethi,5,
How much do I need to retire?,https://www.iwillteachyoutoberich.com/blog/how-much-do-i-need-to-retire/,1615,2018-03-20,Ramit Sethi,4,
3 systems to find your freelance hourly rate,https://www.iwillteachyoutoberich.com/blog/freelance-hourly-rate/,2114,2018-03-01,Ramit Sethi,0,
How to ask for a promotion,https://www.iwillteachyoutoberich.com/blog/how-to-ask-for-a-promotion/,2466,2018-03-14,Ramit Sethi,1,
How to ask for a favor (and get it),https://www.iwillteachyoutoberich.com/blog/how-to-ask-for-a-favor-and-get-what-you-want/,2607,2018-03-06,Ramit Sethi,2,
"Credit score for mortgage: The good, the bad, and the ugly",https://www.iwillteachyoutoberich.com/blog/credit-score-for-mortgage/,1482,2018-02-20,Tony Tran,1,
3 steps to find the perfect second income idea,https://www.iwillteachyoutoberich.com/blog/second-income-ideas/,1564,2018-03-09,Ramit Sethi,0,
How to send a credit report dispute letter (with scripts),https://www.iwillteachyoutoberich.com/blog/credit-report-dispute-letter/,1938,2018-02-22,Ramit Sethi,1,
What is a bad credit score (and what to do about it),https://www.iwillteachyoutoberich.com/blog/what-is-bad-credit-score/,2534,2018-02-28,Ramit Sethi,0,
What's one money message you grew up with?,https://www.iwillteachyoutoberich.com/blog/whats-one-money-message-you-grew-up-with/,134,2018-02-28,Ramit Sethi,428,
"Real estate investing: The myths, facts, and ways to get started",https://www.iwillteachyoutoberich.com/blog/surprising-real-estate-investing-myths/,3134,2018-02-23,Ramit Sethi,236,
Average Retirement Savings: How 4 people invest for retirement,https://www.iwillteachyoutoberich.com/blog/average-retirement-savings/,3882,2018-03-16,Tony Tran,0,
How to find the best side hustle ideas today,https://www.iwillteachyoutoberich.com/blog/side-hustle-ideas/,2227,2018-02-27,Ramit Sethi,0,
House poor: How two homes caused enormous debt,https://www.iwillteachyoutoberich.com/blog/house-poor/,2868,2018-01-25,Tony Tran,1,
