title,link,word_count,date,author,comments_count,notes
351 - Sherrod Small: The Benefit of Starting at The Bottom (You Get to Rise),https://jamesaltucher.com/2018/05/sherrod-small/,1112,"May 7, 2018",James Altucher,0,
353 - Maria Konnikova: How to Look at Life Like a Game and Make Better Choices Because of It,https://jamesaltucher.com/2018/05/353-maria-konnikova/,1262,"May 9, 2018",Savannah Griffin,1,
352 - Tony Hawk [Anniversary Episode]: Ten Things I Learned From Tony Hawk,https://jamesaltucher.com/2018/05/352-tony-hawk/,2094,"May 7, 2018",James Altucher,0,
The ONE Piece of Simple Advice That Changed My Life,https://jamesaltucher.com/2018/05/one-piece-advice/,427,"May 9, 2018",James Altucher,2,
350 - Mark Manson: The Origin of Hope (vs. Hopelessness),https://jamesaltucher.com/2018/05/mark-manson/,1007,"May 3, 2018",James Altucher,3,
JEWS CREATED LAZY BINGE-WATCHING OBESE AMERICANS!,https://jamesaltucher.com/2018/05/jews-created-lazy-americans/,367,"May 4, 2018",James Altucher,20,
Why I Am Going On An ‘Attention Diet',https://jamesaltucher.com/2018/05/going-attention-diet/,1087,"May 1, 2018",James Altucher,10,
Six Books This Month That Changed My Life,https://jamesaltucher.com/2018/04/six-books-changed-life/,1039,"April 19, 2018",James Altucher,2,
345 - Aubrey Marcus: How to Get The Mental Willpower to Know What is Best and Actually Follow Through On It,https://jamesaltucher.com/2018/04/aubrey-marcus/,1123,"April 23, 2018",James Altucher,1,
346 - Nell Scovell: From Old to Original: How She Took Tired Ideas and Made Them New,https://jamesaltucher.com/2018/04/nell-scovell/,1648,"April 23, 2018",James Altucher,0,
I Wanted My Life To Change. So I Did THIS... ,https://jamesaltucher.com/2018/04/learned-ultimate-list/,1387,"April 25, 2018",James Altucher,2,
347 - Jen Sincero: You Are a Badass at Making Money,https://jamesaltucher.com/2018/04/jen-sincero/,1401,"April 25, 2018",James Altucher,7,
348 - Jocko Willink: How Having a Code to Live By Will Give You Strength,https://jamesaltucher.com/2018/04/jocko-willink-348/,1633,"April 29, 2018",James Altucher,2,
