title,link,word_count,date,author,comments_count,notes
Are Weight Loss Shakes The Key To Lasting Weight Loss?,https://jcdfitness.com/2017/10/weight-loss-shakes/,1731,2017-10-14,,3,
Walking For Weight Loss? How To Lose Weight With Walking (Seriously),https://jcdfitness.com/2017/11/walking-weight-loss/,2491,2017-11-20,,0,
The Carb Cycling Meal Plan: How To Use Carb Cycling For Any Goal,https://jcdfitness.com/2017/09/carb-cycling-meal-plan/,1576,2017-09-18,,0,
Bodyweight Training Solutions And How To Make Sure You Rarely Miss A Training Session,https://jcdfitness.com/2017/12/fs-s1-e1/,80,2017-12-22,,0,
"Cardio For Weight Loss, Everything You Need To Know",https://jcdfitness.com/2017/12/cardio-weight-loss/,2102,2017-12-11,,0,
The Truth About Motivation,https://jcdfitness.com/2017/12/fs-s1-e2/,8,2017-12-29,,0,
Big Booty Workout Guide: The 7-Step Guide To Bigger Glutes,https://jcdfitness.com/2018/02/booty-workout/,4712,2018-02-21,,0,
Negative Nutritional Beliefs,https://jcdfitness.com/2018/01/negative-nutritional-beliefs/,79,2018-01-26,,0,
Stress Reduction Strategies For Physical And Mental Health,https://jcdfitness.com/2018/02/stress-reduction/,60,2018-02-09,,0,
" Sets and Reps, What Are They? Understanding Their Meaning Within A Training Program",https://jcdfitness.com/2017/03/sets-reps/,2811,2017-03-31,,0,
What Losing 13 Pounds in 8 Months Can Teach You About What It Takes To Transform Your Body,https://jcdfitness.com/2017/06/stephanie-lee-case-study/,3072,2017-06-26,,0,
Muscle Hypertrophy Explained -- The Art And Science Of Muscle Growth,https://jcdfitness.com/2017/02/muscle-hypertrophy/,2973,2017-02-20,,1,
How To Lose 15 Pounds Of Fat Without Skimping On The Carbs,https://jcdfitness.com/2017/04/salim-case-study/,1827,2017-04-17,,0,
The Ultimate Carb Cycling Guide,https://jcdfitness.com/2017/07/carb-cycling/,3706,2017-07-13,,0,
How To Determine Your Maintenance Calories (With A Working Calculator),https://jcdfitness.com/2017/09/maintenance-calories/,2146,2017-09-01,,0,
Fat Burning Foods: What Experts Don't Want You To Know,https://jcdfitness.com/2017/05/fat-burning-foods/,2363,2017-05-15,,1,
"Carb Refeeds: Your Guide To Eating Big, Boosting Metabolism, And Losing Body Fat",https://jcdfitness.com/2017/08/carb-refeeds/,6434,2017-08-02,,0,
Hyperextensions (Back Extensions) -- An Exercise Tutorial,https://jcdfitness.com/2017/08/hyperextensions-back-extensions/,515,2017-08-15,,0,
How To Be More Process-Oriented,https://jcdfitness.com/2016/10/process-oriented/,74,2016-10-05,,1,
5 Reasons We Struggle To Get In Shape & How To Deal With Them,https://jcdfitness.com/2016/10/5-struggles/,1231,2016-10-12,,0,
How To Eat More Protein With 5 Simple Strategies,https://jcdfitness.com/2016/11/how-to-eat-more-protein/,2391,2016-11-13,,5,
What Is 4D Fat Loss?,https://jcdfitness.com/2016/10/4d-fat-loss/,1018,2016-10-12,,0,
Why ‘What's Your Excuse?' Isn't That Helpful,https://jcdfitness.com/2016/10/whats-your-excuse/,1837,2016-10-10,,0,
Fitness Motivation: How To Never Lose Your Motivation Again,https://jcdfitness.com/2017/01/fitness-motivation/,2737,2017-01-02,,2,
Alcohol And Weight Loss -- Your Guide For Losing Body Fat And Having A Social Life,https://jcdfitness.com/2017/01/alcohol-weight-loss/,1548,2017-01-06,,2,
What Are Macros? -- What To Know About Macronutrients,https://jcdfitness.com/2017/01/what-are-macros/,2417,2017-01-16,,0,
How To Lose Belly Fat And Keep It Off In 7 Effective Steps,https://jcdfitness.com/2017/01/how-to-lose-belly-fat/,2366,2017-01-27,,0,
How To Turn Fat Into Muscle (Is It Possible?),https://jcdfitness.com/2016/06/how-to-turn-fat-into-muscle/,567,2016-06-05,,2,
"How To Create A Caloric Deficit To Lose Weight (Understanding BMR, NEAT, and TDEE)",https://jcdfitness.com/2016/07/how-to-create-a-caloric-deficit-to-lose-weight/,2089,2016-07-13,,1,
Are IIFYMers Telling The Whole Truth?,https://jcdfitness.com/2016/08/iifymers-telling-whole-truth/,1740,2016-08-25,,1,
Health Habits: The How-To Guide For Body Transformation,https://jcdfitness.com/2016/09/health-habits-guide/,2773,2016-09-15,,0,
The Problem With So-Called Health Habits,https://jcdfitness.com/2016/09/health-habits/,2887,2016-09-12,,1,
Should You Eat Fat In Your Post Workout Meal?,https://jcdfitness.com/2016/09/should-you-eat-fat-in-your-post-workout-meal/,1001,2016-09-25,,0,
"3 Reasons Fad Diets, Detoxes, and Quick-Fixes Are Keeping You Disappointed And Out Of Shape (#3's A Stinker)",https://jcdfitness.com/2016/08/fad-diets-detoxes-quick-fixes/,2146,2016-08-31,,1,
How To Implement A Practical Weight Loss Plan,https://jcdfitness.com/2016/09/weight-loss-plan/,2833,2016-09-28,,0,
Your Pre-Workout Meal Guide: How To Choose The Right Foods For You,https://jcdfitness.com/2016/01/pre-workout-meal/,1321,2016-01-12,,1,
Take Imperfect Action,https://jcdfitness.com/2016/10/imperfect-action/,94,2016-10-03,,2,
Workout Plans: Which Program Is Right For You?,https://jcdfitness.com/2015/12/workout-plans/,5051,2015-12-17,,4,
What We Ate Before The Paleo Diet: The First Diet Book Review Part 1,https://jcdfitness.com/2016/02/the-first-diet-book-review-part-1/,3407,2016-02-23,,1,
What's The Best Exercise To Lose Weight?,https://jcdfitness.com/2016/01/best-exercise-to-lose-weight/,1534,2016-01-28,,4,
Can Sugar Be Good For You? The First Diet Book Review Part 2,https://jcdfitness.com/2016/04/first-diet-book-review-part-2/,2137,2016-04-04,,0,
Perfect Portion Sizes: How To Portion Out A Recipe For The Right Serving Size,https://jcdfitness.com/2016/04/portion-sizes-serving-size/,1509,2016-04-29,,1,
The Ultimate Bodyweight Workout Routine for Mass,https://jcdfitness.com/2016/05/bodyweight-workout-for-mass/,3613,2016-05-04,,6,
Why Bulletproof Coffee Might Not Be The Morning Jump-Start You're Looking For,https://jcdfitness.com/2016/05/bulletproof-coffee/,1470,2016-05-11,,3,
