title,link,word_count,date,author,comments_count,notes
5 Steps to Finding Your Passion,http://www.leonlogothetis.com/5-steps-finding-passion/,588,"January 25, 2017",,1,
10 Steps to Being Kind Today,http://www.leonlogothetis.com/being-kind-today/,188,"February 8, 2017",,13,
Finding Yourself Through Travel,http://www.leonlogothetis.com/finding-yourself-through-travel/,648,"March 7, 2017",,3,
How to Open Yourself Up to New Adventures,http://www.leonlogothetis.com/open-new-adventures/,585,"February 3, 2017",,3,
Live. Love. Explore: The Way of the Traveler,http://www.leonlogothetis.com/live-love-explore-way-traveler/,1326,"March 20, 2017",,0,
5 Ways to Master Your Fears,http://www.leonlogothetis.com/5-ways-master-fears/,630,"March 23, 2017",,0,
"Trending Netflix Show, The Kindness Diaries, Proves that Kindness is Making a Comeback!",http://www.leonlogothetis.com/trending-netflix-show-kindness-diaries-proves-kindness-making-comeback/,671,"February 21, 2017",,1,
5 Things To Bring On Your Next Trip Abroad,http://www.leonlogothetis.com/5-things-bring-next-trip-abroad/,623,"April 8, 2017",,2,
Pay Attention: 5 Ways to Focus in Everyday Life,http://www.leonlogothetis.com/pay-attention-5-ways-focus-everyday-life/,616,"April 26, 2017",,3,
5 Lessons Learned While Giving Around the World,http://www.leonlogothetis.com/5-lessons-learned-giving-around-world/,669,"June 21, 2017",,1,
Join Me On The Kindness Diaries Tour!,http://www.leonlogothetis.com/kindness-diaries-tour-kickoff/,723,"September 9, 2017",,3,
How to truly connect with those around you,http://www.leonlogothetis.com/truly-connect-around/,677,"December 20, 2016",,1,
Gift Giving in the Modern World,http://www.leonlogothetis.com/gift-giving-modern-world/,564,"December 30, 2016",,0,
Having a Plan (or Entire Lack Thereof),http://www.leonlogothetis.com/plan-entire-lack-thereof/,649,"January 3, 2017",,1,
"New Year, New Book: Live, Love, Explore",http://www.leonlogothetis.com/new-year-new-book/,325,"January 4, 2017",,1,
Using Both your Heart and your Mind for Success,http://www.leonlogothetis.com/using-heart-mind-success/,592,"January 6, 2017",,0,
Stuck in a Rut? 5 Ways to Re-engage with Life and Capture the Human Spirit.,http://www.leonlogothetis.com/stuck-rut-5-ways-re-engage-life-capture-human-spirit/,645,"January 20, 2017",,0,
5 Ways to Move Outside Your Comfort Zone,http://www.leonlogothetis.com/5-ways-move-outside-comfort-zone/,685,"January 10, 2017",,3,
Tis The Season To Give,http://www.leonlogothetis.com/tiz-the-season-to-give/,145,"December 11, 2015",,0,
UK‘s Youngest Organ Donor Lives Only 74 Minutes,http://www.leonlogothetis.com/u-ks-youngest-organ-donor-lives-only-74-minutes/,285,"December 15, 2015",,1,
"Today, You Are Not Alone",http://www.leonlogothetis.com/you-are-not-alone/,354,"December 21, 2015",,0,
Dreams Do Come True,http://www.leonlogothetis.com/dreams-do-come-true/,158,"December 18, 2015",,0,
A Firefighters Kind Gesture,http://www.leonlogothetis.com/a-firefighters-kind-gesture/,243,"December 29, 2015",,0,
Sky High Kindness,http://www.leonlogothetis.com/sky-high-kindness/,207,"January 7, 2016",,0,
"Stephanie Yoder: Travel Blogger, Twenty-Something Travel",http://www.leonlogothetis.com/ll-stephanie-yoder-kindness-interview-series/,622,"November 24, 2015",,0,
Baltimore 8 Year Old Boy Gets First Pediatric Double Hand Transplant,http://www.leonlogothetis.com/baltimore-8-year-old-boy-gets-first-pediatric-double-hand-transplant/,329,"December 3, 2015",,0,
Touching Moment Captured by Target Customer,http://www.leonlogothetis.com/touching-moment-captured-by-target-customer/,290,"December 8, 2015",,0,
#GoBeKind In Denver,http://www.leonlogothetis.com/gobekind-denver/,236,"November 3, 2015",,1,
"Texas Police Give A Father 3 Car Seats, Instead of a Fine",http://www.leonlogothetis.com/texas-police-give-a-father-3-car-seats-instead-of-a-fine/,170,"October 29, 2015",,3,
Woman Makes 11-Year-Old Girl's Day With Big Donation,http://www.leonlogothetis.com/woman-makes-11-year-old-girls-day-with-big-donation/,240,"November 5, 2015",,2,
#GoBeKind In Las Vegas,http://www.leonlogothetis.com/gobekind-in-las-vegas/,231,"November 10, 2015",,0,
It's World Kindness Day -- How Are You Going to Pay it Forward?,http://www.leonlogothetis.com/its-world-kindness-day-how-are-you-going-to-pay-it-forward/,513,"November 13, 2015",,1,
#GoBeKind Los Angeles,http://www.leonlogothetis.com/gobekind-los-angeles/,288,"November 18, 2015",,0,
"Boss Surprises Single Mother With $250,000 Check",http://www.leonlogothetis.com/boss-surprises-single-mother-with-250000-check/,277,"November 12, 2015",,3,
Backpacker Uses Life Savings to Fund Home For Orphans She Met in Nepal,http://www.leonlogothetis.com/backpacker-uses-life-savings-to-fund-home-for-orphans-she-met-in-nepal/,233,"October 15, 2015",,0,
#GoBeKind In St. Louis,http://www.leonlogothetis.com/gobekind-in-st-louis/,229,"October 27, 2015",,0,
#GoBeKind In Chicago,http://www.leonlogothetis.com/gobekind-in-chicago/,225,"October 20, 2015",,6,
Subway Rider Gives Her Shoes To A Barefoot Homeless Woman,http://www.leonlogothetis.com/subway-rider-gives-her-shoes-to-a-barefoot-homeless-woman/,353,"November 19, 2015",,5,
Traveling Out Of Your Comfort Zone and the Lessons You'll Learn,http://www.leonlogothetis.com/traveling-out-of-your-comfort-zone-and-the-lessons-youll-learn/,476,"October 27, 2015",,2,
AirBnB: What's It Really Like?,http://www.leonlogothetis.com/airbnb-whats-it-really-like/,776,"September 15, 2015",,0,
Bank That Lost 66 Workers on 9/11 Has Paid for All Their Kids to Go to College,http://www.leonlogothetis.com/bank-that-lost-66-workers-on-911-has-paid-for-all-their-kids-to-go-to-college/,622,"September 17, 2015",,0,
My Interview With RubyShiv.com,http://www.leonlogothetis.com/my-interview-with-rubyshiv-com/,483,"September 21, 2015",,0,
Woman Who Can't Read Finds Success In Job Shredding Confidential Documents,http://www.leonlogothetis.com/woman-who-cant-read-finds-success-in-job-shredding-confidential-documents/,342,"September 24, 2015",,0,
Why not Visit South America?,http://www.leonlogothetis.com/why-not-visit-south-america/,593,"September 29, 2015",,0,
"He Didn't Talk As a Boy, But Finds Loud Calling Among Veterans at VA Hospital",http://www.leonlogothetis.com/he-didnt-talk-as-a-boy-but-finds-loud-calling-among-veterans-at-va-hospital/,262,"October 1, 2015",,0,
"Interview: Johnny Jet: Blogger, JohnnyJet",http://www.leonlogothetis.com/johnny-jet-blogger-johnnyjet/,616,"September 30, 2015",,0,
The #1 Travel Book Bestseller Just Became Easier to Travel With,http://www.leonlogothetis.com/the-1-travel-book-bestseller-just-became-easier-to-travel-with/,120,"October 6, 2015",,0,
"David Thompson: Blogger, Dave's Travel Corner",http://www.leonlogothetis.com/david-thompson-blogger-daves-travel-corner/,819,"October 5, 2015",,0,
Standup Guy Supports Homecoming Date Who Has Cancer In Sweetest Way,http://www.leonlogothetis.com/standup-guy-supports-homecoming-date-who-has-cancer-in-sweetest-way/,349,"October 8, 2015",,1,
Join Me And #GoBeKind,http://www.leonlogothetis.com/join-me-and-gobekind/,339,"October 13, 2015",,3,
Educational Travel: Why You Should Try It,http://www.leonlogothetis.com/educational-travel-why-you-should-try-it/,700,"October 13, 2015",,0,
How Kids In Crisis Zones Are Still Managing To Have Fun This Summer,http://www.leonlogothetis.com/how-kids-in-crisis-zones-are-still-managing-to-have-fun-this-summer/,482,"July 16, 2015",,0,
Traveling On a Budget? No Problem!,http://www.leonlogothetis.com/traveling-on-a-budget-no-problem/,557,"July 21, 2015",,0,
Selfless Boy Uses Make-A-Wish To Bring Free Food Truck To His Supportive Community,http://www.leonlogothetis.com/selfless-boy-uses-make-a-wish-to-bring-free-food-truck-to-his-supportive-community/,369,"July 23, 2015",,2,
What Road Is Your Life On?,http://www.leonlogothetis.com/what-road-is-your-life-on/,659,"August 4, 2015",,0,
Rescue Video Of A Homeless Dog Reminds Us Why Adopting Animals Is A Perfect Choice,http://www.leonlogothetis.com/rescue-video-of-a-homeless-dog-reminds-us-why-adopting-animals-is-a-perfect-choice/,212,"July 30, 2015",,0,
Community Comes Together To Repaint Man's House After Teens Laugh At It,http://www.leonlogothetis.com/community-comes-together-to-repaint-mans-house-after-teens-laugh-at-it/,463,"August 13, 2015",,0,
5 Great American Cities Everyone Should Visiting,http://www.leonlogothetis.com/5-great-american-cities-everyone-should-visiting/,601,"August 18, 2015",,1,
"Dad Recycles Old Crayons Into New Ones for Schools, Hospitals and Art Programs",http://www.leonlogothetis.com/dad-recycles-old-crayons-into-new-ones-for-schools-hospitals-and-art-programs/,414,"August 20, 2015",,0,
Follow Your Gut. It's Never Wrong,http://www.leonlogothetis.com/follow-your-gut-its-never-wrong/,658,"September 1, 2015",,2,
How Did You Celebrate National Dog Day?,http://www.leonlogothetis.com/how-did-you-celebrate-national-dog-day/,162,"August 27, 2015",,0,
Neighbor's Facebook Post Spurs Strangers To Fix Elderly Man's Roof,http://www.leonlogothetis.com/neighbors-facebook-post-spurs-strangers-to-fix-elderly-mans-roof/,314,"September 3, 2015",,1,
A Day in Des Moines,http://www.leonlogothetis.com/a-day-in-des-moines/,32,"May 29, 2015",,1,
My Five Tips for Sweet Summer Travel,http://www.leonlogothetis.com/my-five-tips-for-sweet-summer-travel/,611,"June 3, 2015",,1,
Twitter Opens $3 Million Tech Skills center for San Francisco Homeless,http://www.leonlogothetis.com/twitter-opens-3-million-tech-skills-center-for-san-francisco-homeless/,783,"June 4, 2015",,0,
This 6-Year-Old Boy Will Attempt 100 Holes Of Golf In Memory Of Friend He Lost To Cancer,http://www.leonlogothetis.com/this-6-year-old-boy-will-attempt-100-holes-of-golf-in-memory-of-friend-he-lost-to-cancer/,354,"June 12, 2015",,0,
Thoughtful Brothers Mow Lawn For Elderly Neighbor Who Could Go To Jail For Long Grass,http://www.leonlogothetis.com/thoughtful-brothers-mow-lawn-for-elderly-neighbor-who-could-go-to-jail-for-long-grass/,409,"June 18, 2015",,0,
The Kindness of Fathers,http://www.leonlogothetis.com/the-kindness-of-fathers/,404,"June 22, 2015",,3,
If You Could Go Anywhere: 10 Bucket List Travel Destinations,http://www.leonlogothetis.com/if-you-could-go-anywhere-10-bucket-list-travel-destinations/,586,"June 23, 2015",,2,
Barber Spends His Only Day Off Giving Haircuts To Homeless So They Can Feel Valued,http://www.leonlogothetis.com/barber-spends-his-only-day-off-giving-haircuts-to-homeless-so-they-can-feel-valued/,529,"July 2, 2015",,1,
"Kindness Boomerang - ""One Day""",http://www.leonlogothetis.com/kindness-boomerang-one-day/,90,"June 25, 2015",,0,
"If You Have Ever Had A Dream, This Is For YOU!",http://www.leonlogothetis.com/if-you-have-ever-had-a-dream-this-is-for-you-lessons-learned-from-my-daughter/,1234,"July 8, 2015",,0,
"Dozens Of Bikes Stolen From Local Program, Community Donates Hundreds Of Replacements",http://www.leonlogothetis.com/dozens-of-bikes-stolen-from-local-program-community-donates-hundreds-of-replacements/,351,"July 9, 2015",,0,
We All Have One. Who's Your Favorite Travel Partner?,http://www.leonlogothetis.com/we-all-have-one-whos-your-favorite-travel-partner/,663,"April 14, 2015",,2,
"These Veterans Help 8,000 Chicago Students Get To School Safely Each Day",http://www.leonlogothetis.com/these-veterans-help-8000-chicago-students-get-to-school-safely-each-day/,351,"April 16, 2015",,0,
5 Easy Ways To Make Someone's Day,http://www.leonlogothetis.com/5-easy-ways-to-make-someones-day/,666,"April 28, 2015",,2,
Hospital Staff Twirl in Tutus Every Tuesday for Bedside Giggles,http://www.leonlogothetis.com/hospital-staff-twirl-in-tutus-every-tuesday-for-bedside-giggles/,191,"April 30, 2015",,0,
Sen'Derrick Marks Takes Teen With Cancer To Prom,http://www.leonlogothetis.com/senderrick-marks-takes-teen-with-cancer-to-prom-helps-her-forget-needles-chemo-for-one-night/,321,"May 7, 2015",,0,
5 Ways To Make Mothers Feel Like a Queen,http://www.leonlogothetis.com/5-ways-to-make-mothers-feel-like-a-queen/,566,"May 8, 2015",,1,
