title,link,word_count,date,author,comments_count,notes
Dating Tips for Smart Successful Women: Key Relationship Secrets that Create Love that is Just Right for You!,http://lovein90days.com/getting-your-needs-met/,1387,"November 22, 2017",Dr. Diana Kirschner,0,
How to Date When You Want Kids Now,http://lovein90days.com/how-to-date-when-you-want-kids-now/,732,"August 7, 2017",Dr. Diana Kirschner,0,
What to Do When You Just Want to Say the F Word to Dating!,http://lovein90days.com/just-want-say-f-word-dating/,702,"August 28, 2017",Dr. Diana Kirschner,2,
Do You Feel Like There's Something Wrong with You?,http://lovein90days.com/feel-like-theres-something-wrong-with-you/,1337,"February 6, 2018",Dr. Diana Kirschner,0,
7 Keys for Moving on After Divorce or a Break Up,http://lovein90days.com/7-keys-moving-divorce-break-up/,763,"October 3, 2017",Dr. Diana Kirschner,1,
Are Limiting Beliefs Preventing You From Finding Love?,http://lovein90days.com/limiting-beliefs-thriving-launch-podcast/,287,"September 5, 2017",Dr. Diana Kirschner,1,
"When you realize THIS, you'll get over The One Who Got Away",http://lovein90days.com/the-one-who-got-away/,746,"October 24, 2017",Dr. Diana Kirschner,0,
Is Fighting Ruining Your Relationship? Here's How to Go From Breaking Up to Making Up,http://lovein90days.com/is-fighting-ruining-your-relationship/,797,"July 11, 2017",Dr. Diana Kirschner,0,
What Makes Men Fall in Love - The Most Important Factor!,http://lovein90days.com/makes-men-fall-love-important-factor/,503,"February 6, 2018",Dr. Diana Kirschner,0,
"Dating Dilemmas of Smart, Successful Women: What to Do When He Won't Commit",http://lovein90days.com/what-to-do-when-he-wont-commit/,978,"June 30, 2017",Dr. Diana Kirschner,0,
Dating Dilemmas of Successful Women: When Should You Become Exclusive with a Guy?,http://lovein90days.com/exclusive-dating/,619,"March 1, 2017",Dr. Diana Kirschner,0,
Dating Dilemmas of Successful Women: How to Speak Your Truth so He'll Actually Listen,http://lovein90days.com/dating-dilemmas-successful-women-speak-truth-he-will-listen/,715,"March 27, 2017",Dr. Diana Kirschner,0,
How to Survive the Holidays: Family Relationship Advice,http://lovein90days.com/holidays-family-relationship-advice/,709,"December 23, 2016",Dr. Diana Kirschner,0,
Avoid Divorce: 6 Things I Wish Couples Knew Before Getting Married,http://lovein90days.com/avoid-divorce/,940,"April 17, 2017",Dr. Diana Kirschner,0,
"Dating Dilemmas of Smart, Successful Women: Overcoming Abandonment Fears",http://lovein90days.com/dating-dilemmas-smart-successful-women-overcoming-abandonment-fears/,683,"May 12, 2017",Dr. Diana Kirschner,0,
"Dating Dilemmas of Smart, Successful Women: 5 Crucial Keys for Overcoming Rejection",http://lovein90days.com/overcoming-rejection/,842,"June 7, 2017",Dr. Diana Kirschner,0,
"Dating Dilemmas of Smart, Successful Women: How to Tell if He Has the Potential to Commit",http://lovein90days.com/will-he-commit/,825,"June 19, 2017",Dr. Diana Kirschner,0,
Dating Dilemmas of Successful Women: The #1 Dating Mistake Singles Make,http://lovein90days.com/number-one-dating-mistake-singles-make/,468,"February 13, 2017",Dr. Diana Kirschner,2,
When Your Friends or Family Undermine Your Love Life,http://lovein90days.com/friends-family-undermine-love-life/,884,"September 11, 2016",Dr. Diana Kirschner,0,
Dating Dilemmas of Smart Successful Women: 12 Key Flirting Moves To Amp Up Attraction,http://lovein90days.com/flirting-moves-to-amp-up-attraction/,366,"March 13, 2017",Dr. Diana Kirschner,0,
What To Do if He Keeps Texting But Doesn't Ask You Out,http://lovein90days.com/he-keeps-texting-doesnt-ask-me-out/,529,"September 23, 2016",Dr. Diana Kirschner,0,
How to Tell if a Guy has True Soulmate Potential,http://lovein90days.com/how-to-tell-if-a-guy-has-soulmate-potential/,475,"October 13, 2016",Dr. Diana Kirschner,0,
Not Willing to Settle in Your Love Life?  Here's a Crucial Bit of Relationship Coaching Just for You,http://lovein90days.com/not-willing-settle-love-life/,635,"August 25, 2016",Dr. Diana Kirschner,1,
Dating Dilemmas of Successful Women: Eight Steps to Find True Love,http://lovein90days.com/find-lasting-love/,760,"February 13, 2017",Dr. Diana Kirschner,0,
Dating Dilemmas of Successful Women: Accessing Your Irresistible Feminine Power,http://lovein90days.com/successful-women-feminine-power/,668,"October 25, 2016",Dr. Diana Kirschner,0,
Dating Dilemmas of Successful Women: Does Your Success Scare Guys Away?,http://lovein90days.com/does-your-success-scare-guys/,527,"November 1, 2016",Dr. Diana Kirschner,0,
Dating Dilemmas of Successful Women: Should You Ask Him Out and Plan Dates?,http://lovein90days.com/dating-dilemmas-successful-women-should-you-ask-him-out/,422,"December 1, 2016",Dr. Diana Kirschner,2,
Smart Men Marry Smart Women -  Here's the Research,http://lovein90days.com/smart-men-marry-smart-women/,531,"July 5, 2016",Dr. Diana Kirschner,0,
How to Network to the Job and Man of Your Dreams,http://lovein90days.com/network-job-man-dreams/,825,"December 16, 2016",Dr. Diana Kirschner,0,
The Very Best Way to Meet a Successful Loving Man,http://lovein90days.com/meet-successful-loving-man/,760,"July 21, 2016",Dr. Diana Kirschner,0,
Six Relationship Tips to Spark Chemistry with a Good Man,http://lovein90days.com/six-tips-to-spark-chemistry-with-a-good-man/,1003,"March 1, 2016",Dr. Diana Kirschner,16,
How Do I Know If I've Found My Soulmate? 11 Signs.,http://lovein90days.com/soulmate-11-signs/,960,"March 1, 2016",Dr. Diana Kirschner,55,
Dating Confidence: How to Be Irresistible and Real with Men,http://lovein90days.com/dating-confidence-how-to-be-real-with-men/,377,"April 26, 2016",Dr. Diana Kirschner,2,
Does He Have Soulmate Potential?,http://lovein90days.com/does-he-have-soulmate-potential/,433,"May 6, 2016",Dr. Diana Kirschner,3,
8 Best Flirting Tips to Bring a Shy Guy Out of His Shell,http://lovein90days.com/flirting-tips-shy-guy/,845,"March 1, 2016",Dr. Diana Kirschner,61,
Five Red Flags That Predict Heartbreak is Ahead,http://lovein90days.com/five-red-flags-that-predict-heartbreak-is-ahead/,592,"March 1, 2016",Dr. Diana Kirschner,10,
Do Smart Successful Men Marry Down?,http://lovein90days.com/smart-successful-men-marry-down/,527,"June 21, 2016",Dr. Diana Kirschner,0,
Create Self-Confidence With This Simple Exercise!,http://lovein90days.com/create-self-confidence-chocolate-cake/,455,"March 22, 2014",Dr. Diana Kirschner,6,
Three Beliefs That Could Be Ruining Your Chances at Love,http://lovein90days.com/three-beliefs-ruining-chances-love/,831,"May 27, 2016",Dr. Diana Kirschner,0,
Discover the Hidden Beauty in Your Face,http://lovein90days.com/hidden-beauty/,510,"March 29, 2014",Dr. Diana Kirschner,5,
Handling A Non-Committal Guy,http://lovein90days.com/handle-non-committal-guy/,850,"March 1, 2016",Dr. Diana Kirschner,2,
"Is He the One? Here's How to Know, Part I",http://lovein90days.com/is-he-the-one/,653,"April 1, 2016",Dr. Diana Kirschner,4,
Service to Others vs. Co-Dependendency,http://lovein90days.com/service-to-others-vs-co-dependendency/,470,"July 1, 2014",Dr. Diana Kirschner,3,
