title,link,word_count,date,author,comments_count,notes
Hierarchy of Financial Needs (and the Meaning of Life),https://www.madfientist.com/hierarchy-of-financial-needs/,2360,,,161,
My Brother - Using the Power of Money to Pursue Your Passion,https://www.madfientist.com/my-brother-interview/,303,,,36,
Marla Taner - Striving for Happiness After Early Retirement,https://www.madfientist.com/marla-taner-interview/,411,,,12,
Elizabeth Willard Thames - Meet the Frugalwoods,https://www.madfientist.com/liz-thames-interview/,281,,,17,
Michael Kitces - The 4% Rule and Financial Planning for Early Retirement,https://www.madfientist.com/michael-kitces-interview/,294,,,55,
"Physician on FIRE - Geographic Arbitrage, Sunk Costs, and Gangsta Rap",https://www.madfientist.com/physician-on-fire-interview/,262,,,18,
The New Tax Law and How It Impacts Your Early Retirement,https://www.madfientist.com/new-tax-law/,1098,,,84,
Money Talks - Live from the UK Chautauqua with Vicki Robin,https://www.madfientist.com/money-talks/,238,,,18,
Valuable Lessons from My First Year of Freedom,https://www.madfientist.com/first-year-of-freedom/,4059,,,227,
"Chris Hutchins - Why You Should ""Retire"" Before You Hit Your Number",https://www.madfientist.com/chris-hutchins-interview/,250,,,23,
Mr. Money Mustache - Early Retirement Made Easy,https://www.madfientist.com/mr-money-mustache-interview/,256,,,16,
How to Optimize Your Journey to Financial Independence,https://www.madfientist.com/optimize-your-journey-to-fi/,4086,,,80,
Think Save Retire - Selling Everything and Retiring to an RV,https://www.madfientist.com/think-save-retire-interview/,221,,,13,
There's Been an Explosion in the Lab,https://www.madfientist.com/lab-explosion/,1465,,,90,
The Happy Philosopher - Semiretirement and Finding Happiness,https://www.madfientist.com/the-happy-philosopher-interview/,222,,,31,
Traditional IRA vs. Roth IRA - The Best Choice for Early Retirement,https://www.madfientist.com/traditional-ira-vs-roth-ira/,1598,,,340,
Your Money or Your Life - An Interview with Author Vicki Robin,https://www.madfientist.com/vicki-robin-interview/,326,,,40,
Coach Carson - The Simple Way to Retire Early with Real Estate,https://www.madfientist.com/coach-carson-interview/,432,,,13,
Our Next Life - Retiring to a Life in the Mountains,https://www.madfientist.com/our-next-life-interview/,325,,,31,
"How to Travel Around the World for Less than $1,000",https://www.madfientist.com/travel-around-the-world/,2709,,,79,
Sane Fientist - My Wife's Thoughts on Financial Independence,https://www.madfientist.com/sane-fientist-interview/,155,,,33,
Millennial Revolution - Denouncing the Cult of Homeownership,https://www.madfientist.com/millennial-revolution-interview/,190,,,66,
The Incredible Tax Benefits of Real Estate Investing,https://www.madfientist.com/tax-benefits-of-real-estate-investing/,3753,,,96,
PopUp Business School - The Right Way to Start a Business,https://www.madfientist.com/popup-business-school-interview/,293,,,62,
Adventuring Along - From $0 to Retired in 5 Years,https://www.madfientist.com/adventuring-along-interview/,218,,,24,
Fiery Millennials and Millennial Boss - A Millennial's Guide to FI,https://www.madfientist.com/fiery-millennials-and-millennial-boss-interview/,197,,,24,
"The Military Guide - Angel Investing, Market Crashes, & 14 Years of Early Retirement",https://www.madfientist.com/the-military-guide-interview/,238,,,6,
"Camp Mustache - Q&A with Mr. Money Mustache, Afford Anything, & The Military Guide",https://www.madfientist.com/camp-mustache-q-and-a/,304,,,20,
HSA - The Ultimate Retirement Account,https://www.madfientist.com/ultimate-retirement-account/,1873,,,358,
Mad Fientist - 1500 Days Podcast Takeover,https://www.madfientist.com/mad-fientist-interview/,280,,,8,
"Mike and Lauren - Medical Tourism, RVs, and Why You Should Question Everything",https://www.madfientist.com/mike-and-lauren-interview/,188,,,21,
JL Collins - The Simple Path to Wealth,https://www.madfientist.com/jl-collins-interview/,371,,,21,
How to Access Retirement Funds Early,https://www.madfientist.com/how-to-access-retirement-funds-early/,3048,,,162,
Root of Good - A Million Dollars in 10 Years,https://www.madfientist.com/root-of-good-interview/,149,,,17,
Travel Miles 101 - Travel Hacking and Financial Independence,https://www.madfientist.com/travel-miles-101-interview/,264,,,29,
"BiggerPockets - Real Estate, Entrepreneurship, and How to Build an Online Empire",https://www.madfientist.com/bigger-pockets-interview/,224,,,9,
I Applied to be an Astronaut,https://www.madfientist.com/astronaut-application/,882,,,89,
The Other Portfolio You Need to Focus On,https://www.madfientist.com/other-portfolio/,1595,,,93,
The Time Has Finally Come,https://www.madfientist.com/time-has-finally-come/,1377,,,161,
"Financial Mentor - Hedge Funds, Happiness, & Over 15 Years of Early Retirement",https://www.madfientist.com/financial-mentor-interview/,137,,,22,
Safe Withdrawal Rate for Early Retirees,https://www.madfientist.com/safe-withdrawal-rate/,3052,,,165,
Side Hustle Nation - Invest in Yourself,https://www.madfientist.com/side-hustle-nation-interview/,386,,,9,
Frugalwoods - Making Frugality Fun,https://www.madfientist.com/frugalwoods-interview/,184,,,20,
Financial Independence After Tragedy,https://www.madfientist.com/financial-independence-after-tragedy/,1788,,,49,
Budgets are Sexy - Challenge Everything,https://www.madfientist.com/budgets-are-sexy-interview/,296,,,26,
How to Achieve Financial Independence Two Years Earlier,https://www.madfientist.com/guinea-pig-year-2/,927,,,68,
Happiness Through Subtraction,https://www.madfientist.com/happiness-through-subtraction/,1451,,,100,
Millionaire Educator - Financial Independence on Teachers' Salaries,https://www.madfientist.com/millionaire-educator-interview/,179,,,42,
Website Investing,https://www.madfientist.com/website-investing/,2597,,,28,
Mega Backdoor Roth,https://www.madfientist.com/after-tax-contributions/,917,,,240,
1500 Days - Pulling the Early Retirement Trigger,https://www.madfientist.com/1500-days-interview/,217,,,22,
Adventures Abroad,https://www.madfientist.com/adventures-abroad/,1791,,,86,
JD Roth - Get Rich Slowly,https://www.madfientist.com/jd-roth-interview/,188,,,10,
Geographic Arbitrage and an Early Retirement Preview,https://www.madfientist.com/early-retirement-preview/,895,,,106,
30% Higher Net Worth in Just One Year,https://www.madfientist.com/guinea-pig-year-1/,1050,,,84,
Under the Microscope: The Mad Fientist,https://www.madfientist.com/under-the-microscope-mad-fientist/,2066,,,103,
The Power of Quitting,https://www.madfientist.com/power-quitting/,1006,,,88,
Roth IRA Horse Race,https://www.madfientist.com/roth-ira-horse-race/,1047,,,87,
Empire Flippers - Buying and Selling Websites,https://www.madfientist.com/empire-flippers-interview/,228,,,13,
FI Laboratory,https://www.madfientist.com/fi-laboratory/,762,,,92,
Specific Identification of Shares,https://www.madfientist.com/specific-share-identification/,796,,,33,
