title,link,word_count,date,author,comments_count,notes
8 Reasons I Love Using FreshBooks To Run My Blogging Business,https://www.makingsenseofcents.com/2018/03/freshbooks-review.html,1215,"March 23, 2018",Michelle Schroeder-Gardner,8,
Here's How To Save Thousands For Your Next Vacation,https://www.makingsenseofcents.com/2018/03/how-to-save-for-a-vacation.html,1899,"March 26, 2018",Michelle Schroeder-Gardner,32,
Real Life Frugality- 20+ Ways Our Family Of 5 Is Frugal,https://www.makingsenseofcents.com/2018/03/real-life-frugality-20-ways-our-family-of-5-is-frugal.html,3024,"March 28, 2018",Michelle Schroeder-Gardner,20,
7 Ways My Relationship With Money Has Changed,https://www.makingsenseofcents.com/2018/04/relationship-with-money.html,1401,"April 2, 2018",Michelle Schroeder-Gardner,44,
One Year Later: My Extraordinary Interview Series Roundup,https://www.makingsenseofcents.com/2018/04/extraordinary-interview-series-roundup.html,1956,"April 4, 2018",Michelle Schroeder-Gardner,16,
"How I Paid Off Over $42,000 in Student Loans in 34 Months (Earning $36,000 Per Year)",https://www.makingsenseofcents.com/2018/04/paid-off-42000-student-loans-34-months-earning-36000-per-year.html,2818,"April 6, 2018",Michelle Schroeder-Gardner,19,
"How I Made $241,649 In March 2018 Blogging",https://www.makingsenseofcents.com/2018/04/how-i-made-241649-in-march-2018-blogging.html,4196,"April 9, 2018",Michelle Schroeder-Gardner,60,
Stop Being Lazy - Why Overpay When You Can Save Money On Insurance?,https://www.makingsenseofcents.com/2018/03/save-money-on-insurance.html,1435,"March 14, 2018",Michelle Schroeder-Gardner,30,
I Wish People Would Stop Spreading This Awful Financial Advice,https://www.makingsenseofcents.com/2018/03/awful-financial-advice.html,2126,"March 12, 2018",Michelle Schroeder-Gardner,53,
"How We Became Professional House Sitters In Europe & Saved Over $5,000",https://www.makingsenseofcents.com/2018/03/professional-house-sitters.html,3099,"March 16, 2018",Michelle Schroeder-Gardner,2,
Is It Possible To Save $200 On A Car Rental?,https://www.makingsenseofcents.com/2018/03/is-it-possible-to-save-200-on-a-car-rental.html,600,"March 18, 2018",Michelle Schroeder-Gardner,6,
Why Aren't You Paying Just $15 A Month For Your Cell Phone Plan?,https://www.makingsenseofcents.com/2018/03/why-arent-you-paying-just-15-a-month-for-your-cell-phone-plan.html,650,"March 19, 2018",Michelle Schroeder-Gardner,2,
Would You Consider Living In A Camper To Pay Off Debt Quicker?,https://www.makingsenseofcents.com/2018/03/living-in-a-camper.html,2524,"March 19, 2018",Michelle Schroeder-Gardner,45,
Your Financial Freedom Checklist,https://www.makingsenseofcents.com/2018/03/financial-freedom-checklist.html,1923,"March 21, 2018",Michelle Schroeder-Gardner,18,
Don't Compare Your Beginning to Someone Else's Middle,https://www.makingsenseofcents.com/2018/02/dont-compare-beginning-someone-elses-middle.html,1653,"February 21, 2018",Michelle Schroeder-Gardner,60,
Change Your Life By Becoming A Frugal Freak - 11 Ways To Be More Frugal,https://www.makingsenseofcents.com/2018/02/ways-to-be-frugal.html,2975,"February 19, 2018",Michelle Schroeder-Gardner,39,
How to Make Money Self-Publishing Short Romance Novels on Amazon,https://www.makingsenseofcents.com/2018/02/make-money-writing-romance-novels.html,3513,"February 23, 2018",Michelle Schroeder-Gardner,28,
How To Side Hustle- Answers To The Most Common Side Hustle Questions,https://www.makingsenseofcents.com/2018/02/side-hustle.html,2609,"February 26, 2018",Michelle Schroeder-Gardner,32,
How Elizabeth Reached Financial Independence by 32 And Moved To A Homestead,https://www.makingsenseofcents.com/2018/02/reach-financial-independence-by-32.html,3731,"February 28, 2018",Michelle Schroeder-Gardner,92,
Lucktastic App Review - Make Money With Your Mobile Phone,https://www.makingsenseofcents.com/2018/03/lucktastic-app-review.html,530,"March 2, 2018",Michelle Schroeder-Gardner,3,
"How I Made $179,139 In February 2018 Blogging (Best Month Ever)",https://www.makingsenseofcents.com/2018/03/how-i-made-179139-in-february-2018-blogging.html,4042,"March 6, 2018",Michelle Schroeder-Gardner,73,
"How To Save Money On Your Phone Bill: Stop Paying Over $1,000 A Year On Your Phone",https://www.makingsenseofcents.com/2018/01/how-to-save-money-on-your-phone-bill-2.html,1881,"January 29, 2018",Michelle Schroeder-Gardner,28,
10 Meatless Monday Recipes You Should Try,https://www.makingsenseofcents.com/2018/01/10-meatless-monday-recipes.html,415,"January 31, 2018",Michelle Schroeder-Gardner,13,
Our Financial Detour: How Budgeting Freed us to Follow our Dreams,https://www.makingsenseofcents.com/2018/02/how-budgeting-freed-us-to-follow-our-dreams.html,1888,"February 2, 2018",Michelle Schroeder-Gardner,17,
Retiring Early: Is Early Retirement For The Crazy and Boring?,https://www.makingsenseofcents.com/2018/02/are-early-retirees-lazy.html,1920,"February 5, 2018",Michelle Schroeder-Gardner,24,
