title,link,word_count,date,author,comments_count,notes
19 Great Truths My Grandmother Told Me on Her 90th Birthday,http://www.marcandangel.com/2018/03/25/19-great-truths-my-grandmother-told-me-on-her-90th-birthday/,2706,03.25.2018,Marc Chernoff,50,
One Insanely Popular Reason So Many of Us Are Unhappy,http://www.marcandangel.com/2018/03/11/one-insanely-popular-reason-so-many-of-us-are-unhappy/,1478,03.11.2018,Angel Chernoff,33,
31 Five-Second Reminders that Will Make Calmness Your Superpower,http://www.marcandangel.com/2018/04/08/31-five-second-reminders-that-will-make-calmness-your-superpower/,1877,04.08.2018,Angel Chernoff,12,
31 Morning Journaling Prompts that Will Change the Way You Think,http://www.marcandangel.com/2018/03/18/31-morning-journaling-prompts-that-will-change-the-way-you-think/,3167,03.18.2018,Marc Chernoff,32,
9 Mindful Ways to Remain Calm When Others Are Angry,http://www.marcandangel.com/2018/02/18/9-mindful-ways-to-remain-calm-when-others-are-angry/,1903,02.18.2018,Angel Chernoff,48,
"10 ""Notes to Self"" We Need to Read 10 Times a Day Until They Sink In",http://www.marcandangel.com/2018/03/04/10-notes-to-self-we-need-to-read-10-times-a-day-until-they-sink-in/,888,03.04.2018,Marc Chernoff,39,
21 Tiny Stories for Those Who Have Lost Their Motivation,http://www.marcandangel.com/2018/02/04/21-tiny-stories-for-those-who-have-lost-their-motivation/,2502,02.04.2018,Angel Chernoff,37,
3 Daily Reminders that Will Show You What You've Been Missing in Life,http://www.marcandangel.com/2018/02/12/3-daily-reminders-that-will-show-you-what-youve-been-missing-in-life/,1435,02.12.2018,Marc Chernoff,33,
5 Timeless Ways to Find the True Value of an Hour,http://www.marcandangel.com/2018/02/25/5-timeless-ways-to-find-the-true-value-of-an-hour/,1960,02.25.2018,Marc Chernoff,31,
18 Thought-Provoking Questions that Will Free Your Mind in 2018,http://www.marcandangel.com/2017/12/31/18-thought-provoking-questions-that-will-free-your-mind-in-2018/,520,12.31.2017,Marc Chernoff,42,
4 Powerful Lessons You Gradually Learn as You Let Go of the Past,http://www.marcandangel.com/2018/01/14/4-powerful-lessons-you-gradually-learn-as-you-let-go-of-the-past/,2181,01.14.2018,Marc Chernoff,43,
