title,link,word_count,date,author,comments_count,notes
The Big Fat Truth: J.D. Roth Interviews JD Roth,http://moneyboss.com/jdroth-interviews-jdroth/,2136,31 August 2017,J.D. Roth,14,
Just Solve the Problem!,http://moneyboss.com/just-solve-the-problem/,2020,24 August 2017,J.D. Roth,20,
The Money Pit,http://moneyboss.com/the-money-pit/,1029,19 September 2017,J.D. Roth,17,
The Future of Money Boss,http://moneyboss.com/future-money-boss/,588,15 October 2017,J.D. Roth,24,
Spending and Withdrawals During Early Retirement: A Real-World Example,http://moneyboss.com/spending-withdrawals-early-retirement-real-world-example/,2006,31 October 2017,J.D. Roth,16,
How to Do Great Work,http://moneyboss.com/how-to-do-great-work/,1752,07 June 2017,J.D. Roth,10,
"Our New Home: The Good, the Bad, and the Ugly",http://moneyboss.com/our-new-home/,1711,05 July 2017,J.D. Roth,39,
How to Stay on Top of Home Improvement,http://moneyboss.com/home-improvement/,1464,11 July 2017,J.D. Roth,35,
The Key to Financial Freedom,http://moneyboss.com/key-financial-freedom/,1003,15 June 2017,J.D. Roth,14,
Financial Freedom Is Time Freedom,http://moneyboss.com/time-freedom/,710,10 August 2017,J.D. Roth,14,
Your Personal Board of Directors,http://moneyboss.com/personal-board-of-directors/,1494,28 April 2017,J.D. Roth,19,
The Quest for the Not-So-Big House,http://moneyboss.com/not-so-big-house/,1709,18 April 2017,J.D. Roth,51,
April 2017 by the Numbers,http://moneyboss.com/april-2017-numbers/,1359,12 May 2017,J.D. Roth,20,
How to Make Better Decisions,http://moneyboss.com/make-better-decisions/,2421,24 May 2017,J.D. Roth,18,
Money Boss Theater: The Cluttered Lives of the American Middle Class,http://moneyboss.com/cluttered-lives/,1350,02 June 2017,J.D. Roth,26,
The Power of Focus: Why You Should Tackle One Thing at a Time,http://moneyboss.com/one-thing/,1614,04 April 2017,J.D. Roth,7,
The Year of Opportunity,http://moneyboss.com/year-of-opportunity/,1774,06 April 2017,J.D. Roth,6,
The Joys of a Walkable Neighborhood,http://moneyboss.com/walking/,1460,10 April 2017,J.D. Roth,14,
March 2017 by the Numbers,http://moneyboss.com/march-2017-numbers/,1553,14 April 2017,J.D. Roth,18,
Two Great Online Retirement Calculators,http://moneyboss.com/retirement-calculators/,1607,12 April 2017,J.D. Roth,8,
How to Get Started with Real Estate Investing,http://moneyboss.com/real-estate-investing/,4393,06 March 2017,J.D. Roth,14,
