title,link,word_count,date,author,comments_count,notes
5 Little-Known Uses for an IRA (Other Than Retirement),http://moneyminiblog.com/investing/little-known-ira-uses/,494,"Apr 3, 2018",Kalen Bruce,4,
10 Ways to Save Money in California,http://moneyminiblog.com/save-money/california/,1622,"Apr 9, 2018",Contributor,0,
6 Tips to Make Money While You Travel the World,http://moneyminiblog.com/make-money/make-money-travel-world/,1208,"Apr 4, 2018",Contributor,0,
8 Ways to Anticipate Your Customer's Needs [Infographic],http://moneyminiblog.com/business/anticipate-customer-needs/,456,"Apr 11, 2018",Contributor,0,
Can You Really Make Money Investing in Real Estate?,http://moneyminiblog.com/mortgage-home/make-money-real-estate/,1151,"Apr 5, 2018",Contributor,4,
3 Fresh Productivity Tips That Can Change Your 2018,http://moneyminiblog.com/productivity/fresh-productivity-tips/,1093,"Apr 12, 2018",Contributor,0,
5 Self-Destructive Things and How to Control Them,http://moneyminiblog.com/productivity/control-self-destructive-things/,691,"Apr 10, 2018",Contributor,0,
"What Does ""0% APR"" Really Mean?",http://moneyminiblog.com/credit-cards/0-apr/,910,"Mar 7, 2018",Contributor,0,
15 Ways to Manage Your Time Wisely [Infographic],http://moneyminiblog.com/productivity/manage-time-wisely-infographic/,132,"Mar 8, 2018",Kalen Bruce,0,
How You Can Save Money When Moving to a New City Alone,http://moneyminiblog.com/save-money/new-city-alone/,973,"Mar 9, 2018",Contributor,0,
How to Develop a Backup Data Storage Plan for Your Business,http://moneyminiblog.com/business/backup-data-storage-plan/,908,"Mar 10, 2018",Contributor,0,
Cryptocurrency Investments in Limelight: Do They Deserve Your Attention?,http://moneyminiblog.com/investing/cryptocurrency-investments/,696,"Mar 11, 2018",Contributor,2,
6 Tips to Help You Decide if You Really Need That Second Job,http://moneyminiblog.com/make-money/second-job-decision/,1281,"Mar 12, 2018",Contributor,0,
How to Plan for the Perfect Road Trip,http://moneyminiblog.com/productivity/plan-road-trip/,748,"Mar 13, 2018",Contributor,2,
Don't Underestimate Your Life Expectancy for Retirement,http://moneyminiblog.com/retirement/life-expectancy/,686,"Mar 14, 2018",Contributor,2,
How to Take Everything You Learn With a Grain of Salt,http://moneyminiblog.com/productivity/a-grain-of-salt/,1173,"Mar 15, 2018",Kalen Bruce,2,
Why​ Forex Trading ​is​ ​a​ ​24-Hour Business,http://moneyminiblog.com/investing/forex-24hr-business/,507,"Mar 16, 2018",Contributor,0,
5 Common Mistakes Parents Make While Teaching Their Kids About Money,http://moneyminiblog.com/family/mistakes-teaching-kids-about-money/,897,"Mar 17, 2018",Contributor,0,
6 Real Ways to Create Actual Passive Income,http://moneyminiblog.com/make-money/passive-income/,628,"Mar 18, 2018",Contributor,2,
5 Things You Can Do When Your Spouse Isn't on Board With Financial Change,http://moneyminiblog.com/family/spouse-financial-change/,1506,"Mar 19, 2018",Kalen Bruce,0,
10 Things to Follow for a Financially Secure Married Life,http://moneyminiblog.com/family/financially-secure-marriage/,910,"Mar 20, 2018",Contributor,0,
5 Tips to Remember if You are Renting Your Property,http://moneyminiblog.com/mortgage-home/rental-property-tips/,947,"Mar 21, 2018",Contributor,0,
How Online Retailers Can Improve the Customer Experience,http://moneyminiblog.com/business/retailers-improve-customer-experience/,559,"Mar 22, 2018",Contributor,0,
4 Routine Car Maintenance Checks You Should Be Doing,http://moneyminiblog.com/save-money/routine-car-maintenance-checks/,740,"Feb 3, 2018",Contributor,0,
5 Steps to Know If Debt Consolidation is the Right Choice,http://moneyminiblog.com/debt-relief/debt-consolidation-choice/,499,"Feb 4, 2018",Contributor,0,
24 Simple Ways to Reduce Energy Use and Lower Your Electric Bill [Infographic],http://moneyminiblog.com/save-money/reduce-energy-use/,84,"Feb 5, 2018",Kalen Bruce,2,
UK Readers: Bailiffs & Your Rights - All You Need To Know,http://moneyminiblog.com/debt-relief/bailiffs/,577,"Feb 6, 2018",Contributor,0,
3 Things Millennials Should Know About Purchasing a Home,http://moneyminiblog.com/mortgage-home/millennials-purchasing-a-home/,770,"Feb 7, 2018",Contributor,2,
How to Fall Asleep in 5 Minutes: 6 Easy And Cheap Ways For Better Sleep,http://moneyminiblog.com/productivity/better-sleep/,775,"Feb 8, 2018",Contributor,0,
4 Easy Ways to Leverage Your LinkedIn Profile to Make More Money,http://moneyminiblog.com/uncategorized/leverage-linkedin/,839,"Feb 9, 2018",Contributor,0,
3 Proven Ways To Boost Your E-Commerce Startup's Business Credit Score,http://moneyminiblog.com/business/e-commerce-business-credit-score/,574,"Feb 10, 2018",Contributor,0,
The Benefits and Downfalls of Exchange Traded Funds (ETFs),http://moneyminiblog.com/investing/exchange-traded-fund/,1623,"Feb 11, 2018",Contributor,0,
The Ultimate Life Hack for Every Area of Your Life,http://moneyminiblog.com/save-money/ultimate-life-hack/,1664,"Feb 12, 2018",Leo Babauta,0,
Why the Sudden Stock Market Selloff This Month?,http://moneyminiblog.com/investing/sudden-stock-market-selloff/,713,"Feb 13, 2018",Contributor,0,
How to Save Money on Valentine's Day by Not Being Such a Tool,http://moneyminiblog.com/save-money/valentines-day-tool/,212,"Feb 14, 2018",Kalen Bruce,0,
Instant Gratification: A Success Poisoned,http://moneyminiblog.com/creating-habits/instant-gratification/,631,"Feb 15, 2018",Contributor,0,
7 Vital Money Tips for College Students,http://moneyminiblog.com/college/college-money-tips/,1170,"Feb 16, 2018",Contributor,0,
5 Most Attractive Places to Buy Luxury Homes in the World,http://moneyminiblog.com/mortgage-home/luxury-homes-places/,611,"Feb 17, 2018",Contributor,0,
How to Do a Full Day's Work in 90 Minutes,http://moneyminiblog.com/productivity/full-day-work-in-90-minutes/,2070,"Feb 18, 2018",Steve Pavlina,0,
4 Reasons You Should Cut (And Keep Cutting) Your Expenses,http://moneyminiblog.com/save-money/reasons-to-cut-expenses/,914,"Jan 5, 2018",Contributor,0,
How to Churn Your Credit Card [Infographic],http://moneyminiblog.com/credit-cards/credit-card-churning-infographic/,245,"Jan 6, 2018",Kalen Bruce,2,
The Complete Guide to Maximizing Your Productivity,http://moneyminiblog.com/complete-guides/productivity/,17329,,,8,
Good Enough is Better Than Perfect,http://moneyminiblog.com/creating-habits/good-enough-is-better-than-perfect/,630,"Jan 7, 2018",Contributor,2,
Cryptocurrency Craze: Worth It or a Bubble in the Making?,http://moneyminiblog.com/investing/cryptocurrency-craze/,1121,"Jan 8, 2018",Contributor,0,
"Saved By Medicaid: Family Faces Obscene $231,115 Medical Bill",http://moneyminiblog.com/insurance/saved-by-medicaid/,451,"Jan 9, 2018",Contributor,0,
The 5 Keys to Forming Any Habit,http://moneyminiblog.com/creating-habits/forming-any-habit/,717,"Jan 10, 2018",Leo Babauta,0,
"You Don't Need More Time, You Need More Discipline",http://moneyminiblog.com/self-discipline/time-vs-discipline/,936,"Jan 11, 2018",Kalen Bruce,8,
10 Awesome Tools and Ideas to Improve Your Finances in 2018,http://moneyminiblog.com/investing/10-awesome-finance-tools/,760,"Jan 12, 2018",Contributor,0,
5 Tips to Properly Store Gold and Silver Bullion,http://moneyminiblog.com/investing/store-gold-silver-bullion/,705,"Jan 13, 2018",Contributor,0,
Cryptocurrencies: How Ripple Compares to Bitcoin,http://moneyminiblog.com/investing/ripple-compares-bitcoin/,440,"Jan 14, 2018",Contributor,0,
14 Ways to Make More Money by Doing Less,http://moneyminiblog.com/make-money/make-more-money-by-doing-less/,1399,"Jan 15, 2018",Contributor,0,
7 Budget Tips for Social Media Marketing,http://moneyminiblog.com/budgeting/social-media-marketing-budget/,1052,"Jan 16, 2018",Contributor,0,
5 Ways to Become a Successful Entrepreneur Through Skill Development,http://moneyminiblog.com/business/entrepreneur-skill-development/,1011,"Jan 17, 2018",Contributor,0,
