title,link,word_count,date,author,comments_count,notes
How To Start An Online Store Or Boutique & The Best Shopping Cart For Your Money,https://mywifequitherjob.com/how-to-start-an-online-store-own-your-website-and-sell-online-without-any-technical-knowledge-required/,3068,,Steve C,131,
"How To Create A Strong Brand, Beat Chinese Sellers On Amazon And Future Proof Your Business",https://mywifequitherjob.com/how-to-dig-a-moat-for-your-online-store/,2933,,Steve C,15,
3 Ways To Use Dynamic Push Notifications To Increase Sales For Your Online Store,https://mywifequitherjob.com/dynamic-push-notifications/,1869,,Steve C,2,
Importing From China - How To Avoid Common Mistakes And Why You Shouldn't Be Afraid,https://mywifequitherjob.com/importing-from-china/,2411,,Steve C,11,
How To Do SEO For An Ecommerce Store And Rank In Search - The Definitive Guide,https://mywifequitherjob.com/seo-10-ways-to-optimize-your-online-store-for-the-search-engines/,4259,,Steve C,40,
How To Use Facebook Messenger To Sell Online - A Guide To Building Chatbots For Ecommerce,https://mywifequitherjob.com/facebook-messenger-marketing-for-ecommerce/,2169,,Steve C,2,
The Dangers Of Selling On Amazon And Horror Stories From Real Amazon Sellers,https://mywifequitherjob.com/the-dangers-of-selling-on-amazon/,3288,,Steve C,66,
How To Take Product Photos That Convert - 8 Product Photography Tips For Amazon Sellers,https://mywifequitherjob.com/8-product-photography-tips-for-beginning-shop-owners/,3915,,Steve C,28,
Selling On Amazon Vs Ebay Vs Etsy And Why Relying On A Single Platform Is Gambling,https://mywifequitherjob.com/why-only-selling-on-ebay-amazon-and-etsy-is-like-gambling/,2712,,Steve C,39,
2017 Income Report: How My Blog Performed As A Business,https://mywifequitherjob.com/income-report-how-my-blog-performed-as-a-business-in-2017/,1893,,Steve C,5,
Crazy Customer Service Stories - Lessons Learned Answering Calls For Our Wedding Shop,https://mywifequitherjob.com/crazy-customer-service-stories/,11754,,Steve C,8,
Best Comparison Shopping Sites - Google Shopping Vs Nextag Vs Bing Vs Shopping.com,https://mywifequitherjob.com/how-to-use-comparison-shopping-engines-to-increase-sales-for-your-shop/,3177,,Steve C,16,
Hiring An Accountant To Do Your Taxes Vs Using Turbo Tax Or Tax Cut,https://mywifequitherjob.com/hiring-an-accountant-to-do-your-taxes-vs-using-turbo-tax-or-tax-cut/,3175,,Steve C,86,
2017 Income Report: How We Grew Our Online Store And Highlights For The Year,https://mywifequitherjob.com/2017-income-report-how-we-grew-our-online-store-and-highlights-for-the-year/,2058,,Steve C,6,
"Every Tool And Plugin I Use To Run My 7 Figure Blog, Podcast And Online Course Membership Site",https://mywifequitherjob.com/every-tool-and-plugin-blog-podcast-and-online-course/,2243,,Steve C,4,
How To Use Google Analytics - An Easy To Follow Guide For Ecommerce Store Owners,https://mywifequitherjob.com/how-we-use-google-analytics-to-improve-our-online-store/,2283,,Steve C,39,
Shopify Vs BigCommerce Review - An Honest Comparison Of Two Great Shopping Carts,https://mywifequitherjob.com/shopify-vs-bigcommerce-shopping-cart-review/,2753,,Steve C,84,
"10 Lessons For Entrepreneurs On Finding Happiness, Learning And Achieving Business Success",https://mywifequitherjob.com/10-lessons-for-entrepreneurs-on-finding-happiness/,2402,,Steve C,12,
How To Find China Wholesale Suppliers And Import Direct From Chinese Factories,https://mywifequitherjob.com/canton-fair-how-to-buy-wholesale-direct-from-chinese-factories/,3906,,Steve C,95,
Common Mistakes With Amazon Sponsored Product PPC Ads That Will Kill Your Profits,https://mywifequitherjob.com/common-mistakes-with-amazon-sponsored-product-ppc-ads-that-will-kill-your-profits/,1642,,Steve C,1,
12 Things I Learned From Starting Two 7-Figure Lifestyle Businesses,https://mywifequitherjob.com/12-things-i-learned-from-starting-3-successful-lifestyle-businesses/,2326,,Steve C,56,
Every Must Have Tool I Use To Run My Ecommerce Store,https://mywifequitherjob.com/every-must-have-tool-i-use-to-run-my-ecommerce-store/,2341,,Steve C,7,
Klaviyo Vs Drip - Why I Use Different Email Providers For Ecommerce And Blogging,https://mywifequitherjob.com/klaviyo-vs-drip/,1482,,Steve C,1,
Drip Vs ConvertKit Vs AWeber Vs MailChimp - A Comparison Of Email Providers From A 7 Figure Blogger,https://mywifequitherjob.com/drip-vs-convertkit-vs-aweber-vs-mailchimp/,3349,,Steve C,11,
2017 Mid Year Income Report: How Our Online Store Performed In The First Half Of The Year,https://mywifequitherjob.com/2017-mid-year-income-report/,1155,,Steve C,6,
2017 Mid Year Income Report: How Much I Made Blogging In The Past 6 Months,https://mywifequitherjob.com/2017-mid-year-income-blogging/,1204,,Steve C,7,
A Simple Trick To Get 10X More Facebook Shares And Likes For Your Posts,https://mywifequitherjob.com/more-facebook-shares-and-likes/,1199,,Steve C,6,
Bad Website Design: 9 Mistakes Ecommerce Store Owners Make (And How To Fix Them),https://mywifequitherjob.com/the-top-10-mistakes-of-online-store-website-design/,1658,,Steve C,8,
Facebook Ads Vs Google Adwords - Which Ad Platform Is Right For Your Ecommerce Business?,https://mywifequitherjob.com/facebook-ads-vs-google-adwords/,1811,,Steve C,6,
Customer Service Tips: How Would You Handle These Awkward Situations?,https://mywifequitherjob.com/should-you-trust-your-customers/,1932,,Steve C,27,
What Successful Entrepreneurs Do Differently And Why Beginners Fail,https://mywifequitherjob.com/what-successful-online-store-owners-do-differently/,1707,,Steve C,19,
Outsourcing Pros And Cons - How To Decide When To Hire Or DIY As A Small Business Owner,https://mywifequitherjob.com/how-to-make-money-by-knowing-when-to-outsource/,2305,,Steve C,26,
"5 Amazon Alerts That Will Change The Way You Manage Negative Feedback, Inventory And Sales",https://mywifequitherjob.com/amazon-alerts/,1448,,Steve C,,
How To Find Things To Sell Online - 5 Essential Principles For Long Term Success,https://mywifequitherjob.com/the-right-way-to-decide-what-products-to-sell-online/,1647,,Steve C,14,
Dealing With FOMO (Fear Of Missing Out) And How To Find Work Life Balance,https://mywifequitherjob.com/my-thoughts-on-jealousy-inadequacy-and-finding-work-life-balance/,1298,,Steve C,20,
My Keynote Speech For Sellers Summit 2017 And A Peek Behind The Scenes,https://mywifequitherjob.com/my-keynote-speech-for-sellers-summit-2017/,1687,,Steve C,1,
How To Run Amazon PPC Sponsored Product Ads - A Step By Step Guide,https://mywifequitherjob.com/amazon-sponsored-ppc-ad-campaigns/,2494,,Steve C,5,
6 Simple But Effective Habits That Improve Your Productivity,https://mywifequitherjob.com/6-simple-but-effective-habits-that-improve-your-productivity/,1784,,Steve C,5,
How Much It Costs To Start An Online Store And Should I Dropship Or Carry Inventory,https://mywifequitherjob.com/cost-to-open-online-store/,2603,,Steve C,46,
The Results Of My Influencer Marketing Experiment With Real Data From My Shop,https://mywifequitherjob.com/influencer-marketing-experiment/,1852,,Steve C,4,
