title,link,word_count,date,author,comments_count,notes
Things to do instead,http://www.negharfonooni.com/things-to-do-instead/,413,"January 17, 2018",Neghar,5,
Stay Soft Through the Storm,http://www.negharfonooni.com/stay-soft-storm/,338,"February 01, 2018",Neghar,1,
Autonomy: A short story,http://www.negharfonooni.com/autonomy-short-story/,525,"February 10, 2018",Neghar,1,
The Blast Radius,http://www.negharfonooni.com/the-blast-radius/,669,"March 15, 2018",Neghar,2,
Authenticity is the only way,http://www.negharfonooni.com/authenticity-is-the-only-way/,471,"February 15, 2018",Neghar,1,
Be more confident in 30 seconds,http://www.negharfonooni.com/confident-30-seconds/,341,"March 21, 2018",Neghar,0,
On Loneliness,http://www.negharfonooni.com/loneliness/,560,"November 27, 2017",Neghar,3,
Creep.,http://www.negharfonooni.com/creep/,293,"December 19, 2017",Neghar,2,
EVERYDAY MAGIC,http://www.negharfonooni.com/everyday-magic/,169,"December 10, 2017",Neghar,0,
"Your body, your business",http://www.negharfonooni.com/your-body-your-business/,463,"January 12, 2018",Neghar,3,
Giving Thanks to the Monsters,http://www.negharfonooni.com/giving-thanks-monsters/,339,"August 17, 2017",Neghar,2,
What to do when your phone dies,http://www.negharfonooni.com/when-your-phone-dies/,1021,"July 20, 2017",Neghar,4,
"BREAKING OPEN (Or, how to grow through heartbreak)",http://www.negharfonooni.com/breaking-open/,382,"September 18, 2017",Neghar,1,
ON SELF CARE,http://www.negharfonooni.com/on-self-care/,522,"September 25, 2017",Neghar,2,
Sliding Notes Under The Door,http://www.negharfonooni.com/sliding-notes-door/,534,"October 11, 2017",Neghar,2,
Fear of Heights,http://www.negharfonooni.com/fear-of-heights/,559,"October 13, 2017",Neghar,3,
20 pounds heavier,http://www.negharfonooni.com/scale-doesnt-matter/,364,"November 04, 2017",Neghar,1,
On Cellulite (and why it doesn't bother me),http://www.negharfonooni.com/on-cellulite/,392,"November 07, 2017",Neghar,3,
(Some) Bad Vibes,http://www.negharfonooni.com/some-bad-vibes/,683,"June 20, 2017",Neghar,2,
Four Ways To Stop Skipping Workouts,http://www.negharfonooni.com/skippingworkouts/,1215,"June 10, 2017",Neghar,5,
Dimples and Wrinkles and Rolls,http://www.negharfonooni.com/dimples-wrinkles-rolls/,542,"March 29, 2017",Neghar,1,
I Finally Broke Up With My Scale,http://www.negharfonooni.com/finally-broke-scale/,856,"February 01, 2017",Neghar,1,
A Woman's Purpose,http://www.negharfonooni.com/a-womans-purpose/,372,"February 04, 2017",Neghar,5,
Stop Calling Yourself Gross,http://www.negharfonooni.com/cellulite-is-not-gross/,866,"March 22, 2017",Neghar,2,
I don't hate cardio,http://www.negharfonooni.com/donthatecardio/,588,"May 31, 2017",Neghar,6,
"""PHOTO SHOOT READY""",http://www.negharfonooni.com/photo-shoot-ready/,807,"May 16, 2017",Neghar,4,
Does Loving Your Body Mean You Can't Want to Change it?,http://www.negharfonooni.com/body-positive-change/,1108,"April 10, 2017",Neghar,7,
The Universe is My Life Coach,http://www.negharfonooni.com/universe-life-coach/,1381,"January 19, 2017",Neghar,5,
Winter Solstice Musings,http://www.negharfonooni.com/winter-solstice-musings/,529,"December 21, 2016",Neghar,1,
On Embracing Your Inner Warrior,http://www.negharfonooni.com/warrior/,865,"January 12, 2017",Neghar,5,
You are not a Mrs. Potato Head,http://www.negharfonooni.com/not-mrs-potato-head/,733,"August 29, 2016",Neghar,6,
Perfection is Lame and these things are better,http://www.negharfonooni.com/betterthanperfection/,414,"August 31, 2016",Neghar,12,
Feminism,http://www.negharfonooni.com/feminism/,443,"September 14, 2016",Neghar,10,
You Don't Have to be So Strong,http://www.negharfonooni.com/you-dont-have-to-be-so-strong/,706,"October 17, 2016",Neghar,7,
Vinyl & Mindfulness,http://www.negharfonooni.com/vinyl-mindfulness/,676,"October 21, 2016",Neghar,1,
We need to stop hiding our tampons,http://www.negharfonooni.com/tampons/,927,"November 30, 2016",Neghar,2,
Vizzini Said to go back to the beginning: A simple guide to effective journaling,http://www.negharfonooni.com/how-to-journal/,1262,"October 27, 2016",Neghar,8,
What The Ninja Turtles Taught Me,http://www.negharfonooni.com/ninja-turtles/,804,"December 10, 2016",Neghar,1,
"If I go with you, will you be less scared?",http://www.negharfonooni.com/thebuffer/,1093,"April 07, 2016",Neghar,5,
The kind of person who wears whatever she wants,http://www.negharfonooni.com/kind-person-wears-whatever-wants/,1307,"June 17, 2016",Neghar,5,
Stop Making Excuses For Your Body,http://www.negharfonooni.com/stop-making-excuses-body/,307,"July 20, 2016",Neghar,0,
On Motherhood,http://www.negharfonooni.com/on-motherhood/,252,"May 08, 2016",Neghar,0,
Thank you for asking,http://www.negharfonooni.com/thank-you-for-asking/,574,"April 15, 2016",Neghar,0,
Four Minute Eggs,http://www.negharfonooni.com/four-minute-eggs/,325,"June 10, 2016",Neghar,1,
I have cellulite & I still love my body,http://www.negharfonooni.com/cellulite-still-love-body/,1271,"April 29, 2016",Neghar,8,
The Ego is Not in Charge (A Fitness Philosophy),http://www.negharfonooni.com/ego-not-charge-fitness-philosophy/,756,"May 19, 2016",Neghar,1,
You are a Goddess,http://www.negharfonooni.com/you-are-a-goddess/,49,"May 20, 2016",Neghar,8,
Bittersweet,http://www.negharfonooni.com/bittersweet/,380,"June 13, 2016",Neghar,1,
Little Musicians: Courage & Vulnerability,http://www.negharfonooni.com/little-musicians/,650,"April 01, 2016",Neghar,0,
Shaving Cuts: What's Our Default Response?,http://www.negharfonooni.com/shaving-cuts/,765,"April 06, 2016",Neghar,0,
More Than My Body (before & after),http://www.negharfonooni.com/before-and-after/,2253,"January 18, 2016",Neghar,16,
Sucky Things,http://www.negharfonooni.com/sucky-things/,761,"December 15, 2015",Neghar,0,
You Are The Sky,http://www.negharfonooni.com/you-are-the-sky/,1026,"December 09, 2015",Neghar,7,
Permission to be Powerful (and feminine),http://www.negharfonooni.com/powerful-and-feminine/,489,"December 21, 2015",Neghar,14,
The most important thing I've learned from travel,http://www.negharfonooni.com/adaptability-and-travel/,620,"March 03, 2016",Neghar,1,
When you want to tell gratitude to suck it,http://www.negharfonooni.com/gratitude-can-suck-it/,1492,"January 26, 2016",Neghar,4,
Holding Space,http://www.negharfonooni.com/hold-space/,378,"January 31, 2016",Neghar,3,
Mondays Hate Everyone,http://www.negharfonooni.com/mondays-hate-everyone/,504,"February 03, 2016",Neghar,9,
Not afraid of the Big Bad Carb,http://www.negharfonooni.com/fear-of-carbs/,1106,"March 06, 2016",Neghar,5,
Fitness is not a punishment,http://www.negharfonooni.com/fitness-is-not-a-punishment/,328,"December 02, 2015",Neghar,3,
Suffering & Surrender,http://www.negharfonooni.com/suffering-surrender/,678,"August 28, 2015",Neghar,0,
Can I do that?,http://www.negharfonooni.com/can-i-do-that/,940,"August 31, 2015",Neghar,14,
Why I don't prep for photoshoots,http://www.negharfonooni.com/photoshoot-prep/,849,"September 05, 2015",Neghar,1,
How to deal with Assholes,http://www.negharfonooni.com/how-to-deal-with-assholes/,926,"September 08, 2015",Neghar,7,
That's that shit I don't like,http://www.negharfonooni.com/thats-that-shit-i-dont-like/,925,"September 25, 2015",Neghar,18,
Kindness is my Jam,http://www.negharfonooni.com/kindness-is-my-jam/,340,"October 10, 2015",Neghar,3,
What if we didn't hate ourselves?,http://www.negharfonooni.com/what-if-we-didnt-hate-ourselves/,788,"October 21, 2015",Neghar,2,
Feed me pizza,http://www.negharfonooni.com/feed-me-pizza/,312,"November 07, 2015",Neghar,0,
Muscles are so (not) Scary,http://www.negharfonooni.com/scary-muscles/,655,"November 24, 2015",Neghar,4,
"Bro, do you even floss?",http://www.negharfonooni.com/bro-do-you-even-floss/,2482,"August 20, 2015",Neghar,11,
