title,link,word_count,date,author,comments_count,notes
How a single busy mom lost 100 pounds with Nerd Fitness,https://www.nerdfitness.com/blog/how-a-single-busy-mom-lost-100-pounds-with-nerd-fitness/,6084,,Steve,17,
Ready Player One: 10 Tech Hacks to Lose Weight and Level Up Your Life,https://www.nerdfitness.com/blog/ready-player-one-10-tech-hacks-to-lose-weight-and-level-up-your-life/,2895,,Steve,11,
Positive Peer Pressure: How to Leverage Your Squad to Get In Shape,https://www.nerdfitness.com/blog/positive-peer-pressure-to-get-in-shape/,2223,,Steve,24,
Get A Grip: How to Improve Your Hand Strength And Wrist Mobility,https://www.nerdfitness.com/blog/how-to-improve-your-wrist-mobility-and-grip-strength/,2571,,Jim Bathurst,57,
A Nerd's Guide to Mindfulness: Be More Mindful With These Steps,https://www.nerdfitness.com/blog/a-nerds-guide-to-mindfulness/,2582,,Dan Schmidt,48,
That Time I Worked For the Sugar Industry... ,https://www.nerdfitness.com/blog/sugar-industry/,2178,,Steve,27,
The Beginner's Guide to Intermittent Fasting - 2018 Update,https://www.nerdfitness.com/blog/a-beginners-guide-to-intermittent-fasting/,7234,,Steve,"1,211",
How to Cook Spaghetti Squash,https://www.nerdfitness.com/blog/how-to-cook-paleo-spaghetti/,1777,,Steve,225,
"The Beginner's Guide to Body Types: Ectomorph, Mesomorph, and Endomorph",https://www.nerdfitness.com/blog/beginners-guide-to-body-types-ectomorph-mesomorph-endomorph/,4093,,Steve,18,
How Many Calories Do You Burn While Walking?,https://www.nerdfitness.com/blog/walking/,3778,,Steve,190,
The 10 Key Differences Between Weight Loss Success and Failure,https://www.nerdfitness.com/blog/the-10-key-differences-between-weight-loss-success-and-failure/,5841,,Steve,7,
How Kenney the Tabletop Gamer Lost 120 Pounds and Found His Voice (Literally).,https://www.nerdfitness.com/blog/how-kenney-the-tabletop-gamer-lost-120-pounds-and-found-his-voice-literally/,4780,,Steve,29,
5 Hacks to Effortlessly Build Healthy Habits in 2018,https://www.nerdfitness.com/blog/how-to-build-healthy-habits-that-stick/,4801,,Steve,22,
"The Ultimate Guide to Quit Smoking, Permanently.",https://www.nerdfitness.com/blog/the-ultimate-guide-to-quitting-smoking-permanently/,9048,,staci ardison,50,
Calling all Misfits and Mutants: Welcome Home.,https://www.nerdfitness.com/blog/welcome-home/,4012,,Steve,31,
How to Increase Your Actions Per Day (APD),https://www.nerdfitness.com/blog/how-to-increase-your-actions-per-day-apd/,1903,,Steve,38,
How Tim Walked His Way to a 50-Pound Weight Loss. Wait. WHAT!?,https://www.nerdfitness.com/blog/how-tim-walked-his-way-to-a-50-pound-weight-loss-wait-what/,3834,,Steve,28,
Why You Can't Spot-Remove Fat,https://www.nerdfitness.com/blog/why-you-cant-spot-remove-fat/,633,,Steve,8,
You Are Flawed. And So Are Your Heroes.,https://www.nerdfitness.com/blog/you-are-flawed-and-so-are-your-heroes/,4888,,Steve,261,
"Staci's dog has been dognapped! (No, not really.)",https://www.nerdfitness.com/blog/stacis-dog-has-been-dognapped-no-not-really/,1941,,Steve,8,
Shine a Damn Light,https://www.nerdfitness.com/blog/shine-a-damn-light/,3189,,Steve,108,
How Ruth the Physician Lost 10 Sizes and Renewed Her Life,https://www.nerdfitness.com/blog/how-ruth-the-physician-lost-10-sizes-and-renewed-her-life/,2869,,Steve,30,
How to Train in a Commercial Gym: A Beginner's Guide,https://www.nerdfitness.com/blog/a-beginners-guide-to-the-gym-everything-you-need-to-know/,5899,,Steve,58,
The Wolverine Workout: Get Strong Like Logan!,https://www.nerdfitness.com/blog/the-wolverine-workout-get-strong-like-logan/,1972,,Jim Bathurst,15,
Gym Etiquette 101: Don't Break These 29 Unwritten Rules,https://www.nerdfitness.com/blog/gym-etiquette-101/,4870,,Jim Bathurst,73,
Can You ACTUALLY Banish Belly Fat? The Quest for a Flat Stomach,https://www.nerdfitness.com/blog/can-you-actually-banish-belly-fat/,4494,,Steve,73,
A Nerd's Guide to Gaming with Kids,https://www.nerdfitness.com/blog/a-nerds-guide-to-gaming-with-kids/,2183,,Dan Schmidt,12,
Is Seasonal Affective Disorder a Real Thing? How to slay the SAD Beast!,https://www.nerdfitness.com/blog/is-seasonal-affective-disorder-a-real-thing-how-to-slay-the-sad-beast/,1918,,Dan Schmidt,64,
Why You're Not in Shape (Yet),https://www.nerdfitness.com/blog/why-youre-not-in-shape-yet/,3804,,Steve,62,
"Camp Nerd Fitness 2016 Video...  Okay, I cried. Twice.",https://www.nerdfitness.com/blog/rising-heroes-closes-tomorrow-are-you-in/,465,,Steve,63,
5 Common Mistakes When Doing a Pull-Up,https://www.nerdfitness.com/blog/5-common-mistakes-when-doing-a-pull-up/,953,,Steve,30,
5 Common Mistakes When Doing A Proper Squat,https://www.nerdfitness.com/blog/5-common-mistakes-when-doing-a-proper-squat/,1365,,Steve,25,
The Beginner's Guide to Handstands,https://www.nerdfitness.com/blog/a-beginners-guide-to-handstands/,2292,,Steve,30,
5 Common Push-Up Mistakes to Avoid,https://www.nerdfitness.com/blog/5-common-push-up-mistakes-to-avoid/,945,,Steve,31,
Nerd Fitness Rings and Nerd Fitness Handstands are Now Open!,https://www.nerdfitness.com/blog/rings-and-handstand-superpack-is-now-open-until-friday/,607,,Steve,15,
Parents: How to Instill a Love of Fitness in Your Kids,https://www.nerdfitness.com/blog/parents-how-to-instill-a-love-of-fitness-in-your-kids/,2610,,Dan Schmidt,18,
Exercise sucks. Here's what to do about it.,https://www.nerdfitness.com/blog/exercise-sucks-heres-what-to-do-about-it/,2041,,Steve,74,
The Ultimate Guide to Building Any Physique (or Skill Set),https://www.nerdfitness.com/blog/the-ultimate-guide-to-building-any-physique-or-skill-set/,4418,,Steve,98,
5 Important Truths About the Paleo Diet,https://www.nerdfitness.com/blog/5-important-truths-about-the-paleo-diet/,1935,,Steve,64,
7 Emergency Hacks to Stay Healthy in the Winter,https://www.nerdfitness.com/blog/7-emergency-hacks-to-stay-healthy-in-the-winter/,2755,,Steve,34,
The Winter Is Coming Workout,https://www.nerdfitness.com/blog/the-winter-is-coming-workout/,1865,,Jim Bathurst,17,
How to Make a Hearty Winter Stew,https://www.nerdfitness.com/blog/how-to-make-a-hearty-winter-stew/,1528,,Noel Fernando,21,
How to Get Started With Bodyweight Training Today!,https://www.nerdfitness.com/blog/work-out-at-home-at-the-office-or-anywhere-you-want-how-to-get-started-with-bodyweight-training-today/,1968,,Steve,30,
A Beginner's Guide to Training With Gymnastic Rings,https://www.nerdfitness.com/blog/lord-of-the-rings-how-to-get-in-great-shape-using-gymnastic-rings/,2932,,Steve,44,
Get Fit with Pokemon GO!,https://www.nerdfitness.com/blog/get-fit-with-pokemon-go/,1969,,Jim Bathurst,38,
Simple and Delicious: How to Cook Fajitas,https://www.nerdfitness.com/blog/simple-and-delicious-how-to-cook-fajitas/,1400,,Noel Fernando,27,
The Shit They Don't Tell You: 12 Things New Parents Need to Know,https://www.nerdfitness.com/blog/the-shit-they-dont-tell-you-12-things-new-parents-need-to-know/,2467,,Dan Schmidt,91,
How Amy Gave Up Perfection and Lost 116 lbs,https://www.nerdfitness.com/blog/how-amy-gave-up-perfection-and-lost-116-lbs/,2818,,Taylor Share,33,
Cooking 101: Basic Knife Skills,https://www.nerdfitness.com/blog/cooking-101-basic-knife-skills/,1583,,Noel Fernando,38,
Motivation: You're Doing It Wrong.,https://www.nerdfitness.com/blog/motivation-youre-doing-it-wrong/,1628,,Steve,66,
Create a Free Character Today and Join the Fight!,https://www.nerdfitness.com/blog/create-a-free-character-today-and-join-the-fight/,1574,,Steve,18,
The Biggest Enemy You'll Ever Face... ,https://www.nerdfitness.com/blog/the-biggest-enemy-youll-ever-face/,1875,,Steve,102,
A Nerd's Guide to Anxiety,https://www.nerdfitness.com/blog/a-nerds-guide-to-anxiety/,2515,,Dan Schmidt,32,
How to Make Chicken Satay,https://www.nerdfitness.com/blog/how-to-make-chicken-satay/,2352,,Noel Fernando,30,
Stop Foot Pain: A Nerd's Guide to Healthy Feet,https://www.nerdfitness.com/blog/stop-foot-pain-a-nerds-guide-to-healthy-feet/,2557,,Steve,81,
A Degenerate Gambler's Guide to Effortless Weight Loss,https://www.nerdfitness.com/blog/a-degenerate-gamblers-guide-to-effortless-weight-loss/,2469,,Steve,36,
How a 330 lb High School Dropout Lost 140 lbs and Turned His Life Around,https://www.nerdfitness.com/blog/how-a-330-lb-high-school-dropout-lost-140-lbs-and-turned-his-life-around/,3390,,Steve,39,
Choose Your Own Fitness Journey,https://www.nerdfitness.com/blog/choose-your-own-fitness-journey/,4445,,Steve,11,
The Deadpool Guide to Self-Love,https://www.nerdfitness.com/blog/the-deadpool-guide-to-self-love/,2665,,Steve,57,
The Matrix Has You Prisoner! Take The 2-Week Break Free Challenge.,https://www.nerdfitness.com/blog/the-matrix-has-you-prisoner-take-the-2-week-break-free-challenge/,2267,,Steve,33,
Stop Lying: How Painful Realizations Can Unlock a Healthier Life,https://www.nerdfitness.com/blog/stop-lying-how-painful-realizations-can-unlock-a-healthier-life/,2684,,Taylor Share,41,
Your beliefs are wrong. Are you willing to change?,https://www.nerdfitness.com/blog/your-beliefs-are-wrong-are-you-willing-to-change/,3078,,Steve,57,
Why You Should Make Your Bed Every Morning,https://www.nerdfitness.com/blog/why-you-should-make-your-bed-every-morning/,1375,,Steve,81,
How to Read a Recipe and Not Want to Punch a Hole in the Wall,https://www.nerdfitness.com/blog/how-to-read-a-recipe-and-not-want-to-punch-a-hole-in-the-wall/,1364,,Noel Fernando,33,
"Turn Fitness Into a Game: New workouts, Fun Quests, and Epic Boss Battles",https://www.nerdfitness.com/blog/turn-fitness-into-a-game-new-workouts-fun-quests-and-epic-boss-battles/,1143,,Steve,25,
"How Larry Beat Rheumatoid Arthritis, and Got Strong as Hell",https://www.nerdfitness.com/blog/how-larry-beat-rheumatoid-arthritis-and-got-strong-as-hell/,2899,,Steve,19,
Why The Biggest Loser is Turning Us Into Losers.,https://www.nerdfitness.com/blog/why-the-biggest-loser-is-making-us-into-losers/,844,,Steve,21,
How To Be Better Than The Biggest Losers and Create a Lasting Change,https://www.nerdfitness.com/blog/how-to-be-better-than-the-biggest-losers-and-create-a-lasting-change/,2344,,Steve,19,
A Nerd's Introduction to Mental Health,https://www.nerdfitness.com/blog/a-nerds-introduction-to-mental-health/,2051,,Dan Schmidt,61,
"Date Night: 25 Kickass, Nerdy, and Fit Date Ideas",https://www.nerdfitness.com/blog/date-night-25-kickass-nerdy-and-fit-date-ideas/,998,,Steve,21,
The Official Strategy Guide to the Game of L.I.F.E.,https://www.nerdfitness.com/blog/the-official-strategy-guide-to-the-game-of-l-i-f-e/,3168,,Steve,38,
Cardio vs HIIT vs Weights: Rebooting Our Research,https://www.nerdfitness.com/blog/cardio-vs-hiit-vs-weights-rebooting-our-research/,1980,,Steve,148,
How to Cook Thai Zoodle Stirfry,https://www.nerdfitness.com/blog/thai-zoodle-stirfry/,1768,,Noel Fernando,22,
Are Personal Trainers a Waste of Time? How to Hire a Good Personal Trainer.,https://www.nerdfitness.com/blog/how-to-hire-a-good-personal-trainer/,2402,,Steve,51,
Why You Should Be Planning Your Meals,https://www.nerdfitness.com/blog/why-you-should-be-planning-your-meals/,1176,,staci ardison,79,
A Step-By-Step Guide to Meal Planning and Prep,https://www.nerdfitness.com/blog/a-step-by-step-guide-to-meal-planning-and-prep/,1646,,staci ardison,89,
Camp Nerd Fitness 2016! Here's how to book your spot.,https://www.nerdfitness.com/blog/camp-nerd-fitness-2016-heres-how-to-book-your-spot/,1822,,Steve,13,
Join Me At Camp Nerd Fitness,https://www.nerdfitness.com/blog/join-me-at-camp-nerd-fitness/,941,,Steve,5,
"How to Build an Active, Outdoor Lifestyle With Your Kids",https://www.nerdfitness.com/blog/how-to-build-an-active-outdoor-lifestyle-with-your-kids/,1967,,Dan Schmidt,24,
How Zach the Chemist Lost Over 100 lbs,https://www.nerdfitness.com/blog/how-zach-the-chemist-lost-over-100-lbs/,3416,,Steve,17,
Why You Should Stop Dramatizing Your Fitness and Health Goals: A Plea for Easy Boss Battles,https://www.nerdfitness.com/blog/why-you-should-stop-dramatizing-your-fitness-and-health-goals-a-plea-for-easy-bottle-battles/,1035,,staci ardison,28,
What Essential Items Do You Need to Bring to the Gym?,https://www.nerdfitness.com/blog/what-essential-items-do-you-need-to-bring-to-the-gym/,2441,,Steve,68,
"""Am I Too Old to Get in Shape?""",https://www.nerdfitness.com/blog/am-i-too-old-to-get-in-shape/,2569,,Steve,47,
Player One: You are about to die.,https://www.nerdfitness.com/blog/player-one-you-are-about-to-die/,1704,,Steve,40,
Civil War Week: Stick To Your Guns Like Captain America,https://www.nerdfitness.com/blog/civil-war-week-stick-to-your-guns-like-captain-america/,1559,,Steve,25,
Civil War Week: Can You Adapt Like Iron Man?,https://www.nerdfitness.com/blog/civil-war-week-can-you-adapt-like-iron-man/,1225,,Steve,18,
How to Make Greek Stir Fry,https://www.nerdfitness.com/blog/how-to-make-greek-stir-fry/,1064,,Noel Fernando,18,
The Superhero Civil War Workout: Choose Iron Man or Captain America,https://www.nerdfitness.com/blog/the-superhero-civil-war-workout-choose-iron-man-or-captain-america/,1252,,Steve,21,
Cooking 101: Your Essential Kitchen Tools,https://www.nerdfitness.com/blog/cooking-101-your-essential-kitchen-tools/,2027,,Noel Fernando,38,
"The Deadpool Guide To Health, Happiness, and Love",https://www.nerdfitness.com/blog/the-deadpool-guide-to-health-happiness-and-love/,1890,,Steve,134,
Katniss Shows Us That Sometimes Sacrifice Is Necessary,https://www.nerdfitness.com/blog/katniss-shows-us-that-sometimes-sacrifice-is-necessary/,2258,,Steve,116,
Is Rice Healthy For Me? Does White vs Brown Rice Matter?,https://www.nerdfitness.com/blog/is-rice-healthy-for-me-does-white-vs-brown-rice-matter/,2599,,Steve,86,
How to Improve Your Personal Style (Without Going Shopping),https://www.nerdfitness.com/blog/how-to-improve-your-personal-style-without-going-shopping/,2492,,Steve,41,
How Ben Stark Lost Over 200 Lbs While Playing Life on Hard,https://www.nerdfitness.com/blog/how-ben-stark-lost-over-200-lbs-while-playing-life-on-hard/,3584,,Steve,47,
Level Up Your Life is Now Available! Here's Why You Need to Buy It.,https://www.nerdfitness.com/blog/level-up-your-life-is-now-available-heres-why-you-need-to-buy-it/,1569,,Steve,17,
Create Your Free Nerd Fitness Character Now!,https://www.nerdfitness.com/blog/create-your-free-nerd-fitness-character-now/,1690,,Steve,54,
Rey from Star Wars Deadlifted 176 Pounds. How Does that Make You Feel?,https://www.nerdfitness.com/blog/rey-from-star-wars-deadlifted-187-pounds-how-does-that-make-you-feel/,1536,,Steve,50,
How to Fight the Tired Parent Syndrome,https://www.nerdfitness.com/blog/how-to-fight-the-tired-parent-syndrome/,2026,,Dan Schmidt,28,
From Skinny Fat To Ripped: Jasper's Journey to Real Life Superhero,https://www.nerdfitness.com/blog/from-skinny-fat-to-ripped-jaspers-journey-to-real-life-superhero/,2935,,Steve,24,
How to Make Pineapple Coconut Thai Curry,https://www.nerdfitness.com/blog/how-to-make-pineapple-coconut-thai-curry/,2302,,Noel Fernando,30,
How Tiny Changes Transformed Me from Steve Rogers to Captain America,https://www.nerdfitness.com/blog/how-tiny-changes-transformed-me-from-steve-rogers-to-captain-america/,1989,,Steve,48,
I worked out and now I'm SO SORE. Help?,https://www.nerdfitness.com/blog/i-worked-out-and-now-im-so-sore-help/,1710,,Steve,66,
How to Not Suck at First Dates,https://www.nerdfitness.com/blog/how-to-not-suck-at-a-first-date/,2853,,Steve,56,
Cooking 101: How to Navigate a Grocery Store,https://www.nerdfitness.com/blog/cooking-101-how-to-navigate-a-grocery-store/,2055,,Noel Fernando,52,
How Fat Acceptance Doesn't Have to Glorify Obesity and Shame Fitness,https://www.nerdfitness.com/blog/how-fat-acceptance-doesnt-have-to-glorify-obesity-and-shame-fitness/,2596,,Taylor Share,156,
Winter is Coming: Join the Holiday Watch and Defend the Realm,https://www.nerdfitness.com/blog/winter-is-coming-join-the-holiday-watch-and-defend-the-realm/,1089,,Steve,291,
"A Fitness Epic: Your story of love, health, and self-discovery.",https://www.nerdfitness.com/blog/a-fitness-epic-your-story-of-love-health-and-self-discovery/,1988,,Steve,48,
"In Defense of a ""Paleo-ish"" Diet",https://www.nerdfitness.com/blog/in-defense-of-a-paleo-ish-diet-plus-were-hiring/,2102,,Steve,78,
7 Tips For Parents Dealing with Fussy Eaters,https://www.nerdfitness.com/blog/7-tips-for-parents-dealing-with-fussy-eaters/,2198,,Steve,33,
Want to live longer? Try building a guild.,https://www.nerdfitness.com/blog/want-to-live-longer-try-building-a-guild/,2255,,Steve,28,
Can You Complete The Green Arrow Workout? Save Star City!,https://www.nerdfitness.com/blog/can-you-complete-the-green-arrow-workout-save-star-city/,1479,,Steve,20,
"Stuck at the starting line? Find your ""gateway"" change.",https://www.nerdfitness.com/blog/stuck-at-the-starting-line-find-your-gateway-change/,1716,,Steve,33,
Nerd Fitness Yoga Is Now Available!,https://www.nerdfitness.com/blog/nerd-fitness-yoga-is-now-available/,899,,Steve,18,
Announcing the Level Up Your Life Pre-Order Bonuses (and Book Tour!),https://www.nerdfitness.com/blog/announcing-the-level-up-your-life-pre-order-bonuses-and-book-tour/,2210,,Steve,11,
How to Make Six-Ingredient Sesame Chicken Wings,https://www.nerdfitness.com/blog/how-to-make-six-ingredient-sesame-chicken-wings/,1217,,Noel Fernando,29,
How Star Wars Made Me a Better Person,https://www.nerdfitness.com/blog/how-star-wars-helped-me-become-a-better-person/,1690,,Steve,86,
Stop Making New Year's Resolutions. Do this Instead.,https://www.nerdfitness.com/blog/new-years-resolutions-suck-heres-what-to-do-instead/,2455,,Steve,39,
The Year of Adventure Begins. Join me next week?,https://www.nerdfitness.com/blog/the-year-of-adventure-begins-join-me-next-week/,2549,,Steve,35,
How to Make Tortilla Espanola,https://www.nerdfitness.com/blog/how-to-make-tortilla-espanola/,1403,,Noel Fernando,49,
Nerd Fitness Yoga is Now Available!,https://www.nerdfitness.com/blog/nerd-fitness-yoga-is-now-available-until-friday/,831,,Steve,20,
"How to Instantly Build Confidence, Backed By Science.",https://www.nerdfitness.com/blog/how-to-instantly-build-confidence-backed-by-science/,2542,,Steve,52,
How to Use Primal Movement to Rebel Against Captivity,https://www.nerdfitness.com/blog/how-to-use-primal-movement-to-rebel-against-captivity/,1911,,Rebel One,24,
What Should I Do On My Off Days?,https://www.nerdfitness.com/blog/what-should-i-do-on-my-off-days/,1782,,Steve,27,
A Nerd's Guide to Yoga: 4 Movements to Try TODAY.,https://www.nerdfitness.com/blog/a-nerds-guide-to-yoga-4-movements-to-try-today/,2540,,Steve,85,
How to Touch Your Toes: Become Bendy Like Gumby!,https://www.nerdfitness.com/blog/how-to-touch-your-toes-become-bendy-like-gumby/,1762,,Steve,36,
4 Steps to Become an 80's Action Movie Hero. You're Welcome.,https://www.nerdfitness.com/blog/4-steps-to-become-an-80s-action-movie-hero-youre-welcome/,2011,,Steve,26,
Want Results? Be like Groot. I AM GROOT!,https://www.nerdfitness.com/blog/want-results-be-like-groot-i-am-groot/,1248,,Steve,49,
How to Deal With An Unexpected Death.,https://www.nerdfitness.com/blog/how-to-deal-with-an-unexpected-loss-rip-scott/,2152,,Steve,58,
How to Make a Chili Stuffed Sweet Potato,https://www.nerdfitness.com/blog/chili-stuffed-sweet-potato/,1309,,Noel Fernando,20,
"Learn How an Office Worker Lost 100+ Lbs, Saved His Own Life, and Became a Superhero",https://www.nerdfitness.com/blog/learn-how-an-office-worker-lost-100-lbs-saved-his-own-life-and-became-a-superhero/,3149,,Steve,57,
"Apparently Everything Will Kill You. Yes, Even That.",https://www.nerdfitness.com/blog/apparently-everything-will-kill-you-yes-even-that/,1012,,Steve,84,
Change CAN happen in an instant. Has it happened to you?,https://www.nerdfitness.com/blog/change-can-happen-in-an-instant-has-it-happened-to-you/,1304,,Steve,40,
2 Big Reasons Why Cheat Meals Are Worse Than Darth Vader,https://www.nerdfitness.com/blog/2-big-reasons-why-cheat-meals-are-worse-than-darth-vader/,2034,,Steve,59,
9 Mistakes Skinny People Make Trying to Get Bigger,https://www.nerdfitness.com/blog/9-mistakes-skinny-people-make-trying-to-get-bigger/,2573,,Steve,120,
Why you should do less. Or maybe even nothing at all.,https://www.nerdfitness.com/blog/why-you-should-do-less-or-maybe-even-nothing-at-all/,1242,,Steve,36,
11 Most Common Workout Questions Answered,https://www.nerdfitness.com/blog/11-most-common-workout-questions-answered/,2633,,Steve,33,
Lost at the Grocery Store? Try the Nerd Fitness Pantry.,https://www.nerdfitness.com/blog/lost-at-the-grocery-store-introducing-the-nerd-fitness-pantry/,2438,,Noel Fernando,36,
Too Lazy To Work Out? Try Temptation Bundling,https://www.nerdfitness.com/blog/too-lazy-to-work-out-try-temptation-bundling/,1180,,Steve,143,
What's the deal with GMOs? Are they ACTUALLY unsafe?,https://www.nerdfitness.com/blog/whats-the-deal-with-gmos-are-they-actually-unsafe/,1936,,Steve,337,
"In Case of Emergency, Follow This Workout Strategy",https://www.nerdfitness.com/blog/in-case-of-emergency-follow-this-workout-strategy/,1199,,Steve,44,
Your Most Popular Diet Questions Answered,https://www.nerdfitness.com/blog/your-most-popular-diet-questions-answered/,1926,,Steve,43,
Fat Shaming vs Body Acceptance: Is it okay to be fat?,https://www.nerdfitness.com/blog/fat-shaming-vs-body-acceptance-where-do-we-draw-the-line/,1478,,Steve,420,
How to Cook the Easiest Steak Ever,https://www.nerdfitness.com/blog/how-to-cook-the-easiest-steak-ever/,1363,,Noel Fernando,45,
How Ron the Lay Pastor Lost 100 lbs,https://www.nerdfitness.com/blog/how-ron-the-lay-pastor-lost-100-lbs/,2474,,Steve,48,
The State of the NF Rebellion 2015 (Plus: Nerd Fitness Yoga!),https://www.nerdfitness.com/blog/the-state-of-the-nf-rebellion-plus-nerd-fitness-yoga/,1605,,Steve,15,
How to Survive Sitting All Day,https://www.nerdfitness.com/blog/how-to-survive-sitting-all-day/,1399,,Steve,66,
My 7 Favorite Push-Up Variations and the NF Push-Up Challenge!,https://www.nerdfitness.com/blog/my-7-favorite-push-up-variations-and-the-nf-push-up-challenge/,1477,,Steve,225,
"Study Suggests We're Doomed to Stay Fat. Wait, What!?",https://www.nerdfitness.com/blog/study-suggests-were-doomed-to-stay-fat-wait-what/,1670,,Steve,28,
Have Your Parents Decided Your Fitness Fate? Happy Star Wars Day!,https://www.nerdfitness.com/blog/have-your-parents-decided-your-fitness-fate-happy-star-wars-day/,1721,,Steve,37,
How to Make Pan Seared Salmon and Pineapple Salsa,https://www.nerdfitness.com/blog/how-to-make-pan-seared-salmon-and-pineapple-salsa/,1673,,Noel Fernando,22,
How to Cut and Roast Vegetables,https://www.nerdfitness.com/blog/how-to-make-roasted-vegetables/,1768,,Noel Fernando,87,
How to Spice Up Any Meal. Literally.,https://www.nerdfitness.com/blog/how-to-spice-up-any-meal-literally/,1772,,Noel Fernando,75,
Struggling to Reach a Goal? Turn it into a Boss Battle.,https://www.nerdfitness.com/blog/struggling-to-reach-a-goal-turn-it-into-a-boss-battle/,1975,,Steve,40,
What Can You Actually Get Done in Six Weeks? (A New Six-Week Challenge Starts!),https://www.nerdfitness.com/blog/what-can-you-actually-get-done-in-six-weeks-a-new-six-week-challenge-starts/,1581,,Steve,10,
How Maya the Aspiring Aerialist Lost 70+ Pounds!,https://www.nerdfitness.com/blog/maya-ss/,3356,,Steve,91,
8 of My Favorite Fitness Resources (40 Spots Left for Camp Nerd Fitness!),https://www.nerdfitness.com/blog/8-of-my-favorite-fitness-resources-40-spots-left-for-camp-nerd-fitness/,2039,,Steve,16,
Want to Crush Your Inner Demons? Use the Skywalker Strategy!,https://www.nerdfitness.com/blog/want-to-crush-your-inner-demons-use-the-skywalker-strategy/,1936,,Steve,110,
What's Your Avengers Superpower?,https://www.nerdfitness.com/blog/whats-your-avengers-superpower/,2110,,Steve,63,
The Avengers Workout Challenge,https://www.nerdfitness.com/blog/the-avengers-workout-challenge/,834,,Steve,22,
The World's Quickest Advice Column: Hack Your Life,https://www.nerdfitness.com/blog/the-worlds-quickest-advice-column-hack-your-life/,510,,Steve,74,
Is it Vain to Want to Look Better? How Far is Too Far?,https://www.nerdfitness.com/blog/is-it-vain-to-want-to-look-better-how-far-is-too-far/,1546,,Steve,103,
Why Having to Start Over - AGAIN - Is Great,https://www.nerdfitness.com/blog/why-having-to-start-over-again-is-great/,1132,,Steve,69,
How Steve the Software Architect Dropped 110 Lbs,https://www.nerdfitness.com/blog/how-steve-the-software-architect-dropped-110-lbs/,2698,,Steve,43,
