title,link,word_count,date,author,comments_count,notes
How to Make Goblet Squats Harder Without Adding More Weight,http://www.niashanks.com/make-goblet-squats-harder/,1271,"January 9, 2018",Nia Shanks,,
You Owe It to Yourself to Give Fewer Shits,http://www.niashanks.com/give-fewer-shits/,1152,"January 16, 2018",Nia Shanks,,
The Huge Problem With Guilty-Pleasure Foods,http://www.niashanks.com/problem-with-guilty-pleasure-foods/,683,"January 24, 2018",Nia Shanks,,
Screw Fat Loss,http://www.niashanks.com/screw-fat-loss/,2066,"February 1, 2018",Nia Shanks,,
"For the Best Results, Women Must Use Fractional Plates for Barbell Exercises",http://www.niashanks.com/women-fractional-plates-barbell-exercises/,1591,"February 13, 2018",Nia Shanks,,
The Nocebo Effect: Are You (Unknowingly) Thinking Your Way to Failure?,http://www.niashanks.com/nocebo-effect-thinking-your-way-to-failure/,1097,"February 27, 2018",Nia Shanks,,
Squats Don't Work Your Glutes (Because You're Squatting Wrong),http://www.niashanks.com/squats-dont-work-your-glutes/,1641,"March 13, 2018",Nia Shanks,,
Eating in Moderation: How to Do It Right,http://www.niashanks.com/eating-in-moderation/,1890,"March 27, 2018",Nia Shanks,,
Why That Diet Didn't Work for You,http://www.niashanks.com/why-that-diet-didnt-work/,1685,"September 26, 2017",Nia Shanks,,
7 Things That Happen When You Start Strength Training (And a Word of Caution),http://www.niashanks.com/7-things-happen-start-strength-training/,1940,"September 19, 2017",Nia Shanks,,
"When Life is a Raging Dumpster Fire, Lead With Your Ass",http://www.niashanks.com/life-raging-dumpster-fire/,545,"October 9, 2017",Nia Shanks,,
One Simple Hack to Stop Screwing Yourself Over,http://www.niashanks.com/one-simple-hack-stop-screwing/,1109,"October 23, 2017",Nia Shanks,,
"23 Tips to Make Fitness a Miserable, Soul-Sucking Endeavor!",http://www.niashanks.com/23-tips-hate-way-fitness/,3462,"December 5, 2017",Nia Shanks,,
"""Real Women"" Don't Fit in a One-Size-Fits-All Mold",http://www.niashanks.com/real-women-one-size-fits-all-mold/,650,"May 25, 2017",Nia Shanks,,
Fitness Goals for Women (That Don't Have a Damn Thing to do With Fat Loss),http://www.niashanks.com/fitness-goals-for-women/,711,"December 27, 2017",Nia Shanks,,
"Remarkable ""Before & Afters"" That Have Nothing to do With Fat Loss",http://www.niashanks.com/remarkable-before-afters-fat-loss/,1427,"December 12, 2017",Nia Shanks,,
"When to Work Harder, How to Work Smarter, and When to do Both",http://www.niashanks.com/work-harder-work-smarter/,2775,"June 5, 2017",Nia Shanks,,
How to Squat,http://www.niashanks.com/how-to-squat/,1534,"June 21, 2017",Nia Shanks,,
Break Free from the Ugly Side of Health and Fitness,http://www.niashanks.com/break-free-ugly-side-health-fitness/,902,"January 1, 2018",Nia Shanks,,
How to Deadlift (And Why Everyone Should),http://www.niashanks.com/how-to-deadlift-why-everyone-should/,1278,"July 5, 2017",Nia Shanks,,
