title,link,word_count,date,author,comments_count,notes
How Apps Can Shape Your Future Self,https://www.nirandfar.com/2018/05/apps-shaping-future-self.html,2018,2018-05-01,,5,
How to Be Indistractable: Video by Nir Eyal,https://www.nirandfar.com/2018/04/indistractable-video.html,59,2018-04-22,,2,
Distinction Bias: Why You Make Terrible Life Choices,https://www.nirandfar.com/2018/02/distinction-bias.html,1180,2018-02-19,,14,
Hyperbolic Discounting: Why You Make Terrible Life Choices,https://www.nirandfar.com/2017/08/hyperbolic-discounting-why-you-make-terrible-life-choices.html,921,2017-08-09,,15,
How Netflix's Customer Obsession Created a Customer Obsession,https://www.nirandfar.com/2018/04/customer-obsession.html,2869,2018-04-04,,0,
Peak-End Rule: Why You Make Terrible Life Choices,https://www.nirandfar.com/2018/04/peak-end-rule.html,1257,2018-04-17,,9,
Here's How Amazon's Alexa Hooks You,https://www.nirandfar.com/2017/06/how-amazons-alexa-hooks-you.html,1628,2017-06-14,,21,
Want to Design User Behavior? Pass the ‘Regret Test' First,https://www.nirandfar.com/2018/01/regret-test.html,994,2018-01-05,,16,
How to Regain Focus at Work by Slaying the Messaging Monster,https://www.nirandfar.com/2017/10/regain-focus-by-slaying-messaging-monster.html,377,2017-10-04,,1,
"How to Get People to Help Each Other, Online and Off",https://www.nirandfar.com/2017/08/bystander-effect-get-people-to-help-each-other.html,1405,2017-08-15,,8,
How to Trigger Product Usage that Sticks,https://www.nirandfar.com/2017/09/how-to-trigger-product-usage-that-sticks.html,1471,2017-09-11,,2,
Confirmation Bias: Why You Make Terrible Life Choices,https://www.nirandfar.com/2017/10/confirmation-bias-terrible-life-choices.html,1300,2017-10-11,,12,
Technology is Distracting and Addictive. Here's How to Fix It. (Video),https://www.nirandfar.com/2017/04/deal-persuasive-technology-video.html,84,2017-04-19,,3,
How to Use Personality Science to Drive Online Conversions,https://www.nirandfar.com/2017/04/how-to-use-personality-science-to-drive-online-conversions.html,2307,2017-04-26,,0,
When Distraction is a Good Thing,https://www.nirandfar.com/2017/06/when-distraction-is-a-good-thing.html,1833,2017-06-01,,3,
How to Use Psychology to Make Persuasive Video,https://www.nirandfar.com/2017/05/the-psychology-of-persuasive-video.html,2341,2017-05-09,,1,
Tech Companies are Addicting People! But Should They Stop?,https://www.nirandfar.com/2017/05/tech-companies-addicting-people-stop.html,2624,2017-05-03,,2,
Technology Is Not Hijacking Your Brain (video),https://www.nirandfar.com/2017/06/technology-addiction-video.html,100,2017-06-08,,9,
Why Our Tech Obsession Might Be a Work Obsession,https://www.nirandfar.com/2017/03/why-our-tech-obsession-might-be-a-work-obsession.html,2741,2017-03-16,,1,
The Unbelievable Future of Habit-Forming Technology,https://www.nirandfar.com/2017/03/the-unbelievable-future-of-habit-forming-technology.html,1496,2017-03-20,,0,
"The Strange Way Being ""Good"" Hurts Your Willpower",https://www.nirandfar.com/2017/04/the-strange-way-good-habits-hurt-your-willpower.html,1555,2017-04-10,,0,
Research Reveals How to Take a Better Break,https://www.nirandfar.com/2017/03/how-to-spend-your-breaks-wisely-and-have-a-better-workday.html,1647,2017-03-30,,0,
Your Ability to Focus Has Probably Peaked: Here's How to Stay Sharp,https://www.nirandfar.com/2017/02/your-ability-to-focus-has-probably-peaked-heres-how-to-stay-sharp.html,1574,2017-02-27,,0,
How Cognitive Biases Can Help (and Hurt) Your Business,https://www.nirandfar.com/2017/02/cognitive-biases.html,983,2017-02-02,,0,
The Secret Marketing Power of Evolutionary Psychology,https://www.nirandfar.com/2017/03/the-secret-marketing-power-of-evolutionary-psychology.html,975,2017-03-06,,0,
What Most People Don't Know About Behavioral Design,https://www.nirandfar.com/2017/01/what-most-people-overlook-in-behavioral-design.html,812,2017-01-24,,0,
"Don't Ask People What They Want, Watch What They Do",https://www.nirandfar.com/2017/02/dont-ask-people-what-they-want-observe-how-they-act.html,1078,2017-02-22,,1,
