title,link,word_count,date,author,comments_count,notes
052: Master Your Money with PT,https://ptmoney.com/master-your-money-pt/,2099,2018-01-18,Philip Taylor,0,
How to Track Your Net Worth [+ My Net Worth],https://ptmoney.com/net-worth-track-set-goal-six-of-ten-success-personal-finance/,1011,2018-01-20,Philip Taylor,3,
H&R Block Tax Software 2018 Review,https://ptmoney.com/hr-block-at-home-online-review/,1630,2018-01-19,Michael Pruser,4,
TurboTax 2018 Review | Popular Online Tax Software,https://ptmoney.com/turbotax-review/,1344,2018-01-19,Emily Guy Birken,7,
Important Tax Law Changes You Need to Know [ Updated for 2018],https://ptmoney.com/tax-law-changes/,632,2018-02-02,Philip Taylor,2,
The Best Personal Finance Software for Taming Your Budget (In 2018),https://ptmoney.com/best-personal-finance-software/,5911,2018-01-23,Emily Guy Birken,5,
TurboTax Live Review: File Your 2017 Taxes at Home with Expert Help,https://ptmoney.com/turbotax-live-review/,973,2018-02-05,Emily Guy Birken,1,
"Blooom: Finally, a Robo-Advisor to Help You Manage Your 401K",https://ptmoney.com/blooom-review/,1493,2018-02-12,Ashley Chorpenning,0,
Experian IdentityWorks,https://ptmoney.com/experian-identityworks/,745,2018-01-30,Philip Taylor,0,
The 4 Big Reasons Why We're Fixing Our Finances and Pursuing Financial Independence,https://ptmoney.com/why/,1353,2018-02-26,Philip Taylor,2,
Buying a House will Slow Down Your Path to Financial Independence (But You Should Do it Anyway),https://ptmoney.com/buying-house-financial-independence/,1563,2018-03-10,Philip Taylor,7,
BillFixers Review: Why You Should Let Them Negotiate Your Bills,https://ptmoney.com/billfixers-review/,1559,2018-03-19,Emily Guy Birken,0,
"Get 100% Free Talk, Text & 4GB Data for One Penny with FreedomPop",https://ptmoney.com/free-talk-text-freedompop/,920,2018-03-26,Emily Guy Birken,0,
Build Your Credit and Savings at the Same Time with Self Lender [It's Legit!],https://ptmoney.com/self-lender-review/,1254,2018-04-06,Emily Guy Birken,0,
10 Ways to Give More to Charity in 2018,https://ptmoney.com/how-to-give-more/,1238,2018-01-10,Philip Taylor,4,
The Best Cash Back Sites (like Ebates.com),https://ptmoney.com/cash-back-sites/,2020,2017-11-28,Philip Taylor,10,
048: Retiring Early to Travel the World with Jeremy from GoCurryCracker,https://ptmoney.com/jeremy/,287,2017-11-28,Philip Taylor,0,
049: Money Moves to Make Before 30 with David from Money Under 30,https://ptmoney.com/dave/,223,2017-11-28,Philip Taylor,0,
050: Using Your Values and Goals to Reach Financial Independence with Matt Miner,https://ptmoney.com/matt/,290,2017-11-29,Philip Taylor,1,
051: Map Your Money Adventure with Nick True of Mapped Out Money,https://ptmoney.com/true/,226,2017-12-06,Philip Taylor,0,
Why Laddering Your Life Insurance Policy Over Time Makes Good Financial Sense,https://ptmoney.com/laddering-your-life-insurance-policy/,1176,2017-12-06,Contributor,0,
"Your Flexible Spending Account [FSA] ""Use It or Lose It"" Rule - What You Need to Know",https://ptmoney.com/flexible-spending-account-reminder/,1234,2017-12-06,Philip Taylor,13,
Upromise Review: A Little Extra Savings for College,https://ptmoney.com/upromise-review-extra-savings-college/,633,2017-12-13,Philip Taylor,18,
35 New Year's Resolutions For Your Finances,https://ptmoney.com/new-years-resolutions-for-your-finances/,668,2017-12-25,Philip Taylor,3,
The Cash Flow Analysis for Our Rental Property at Year End 2017,https://ptmoney.com/rental-property-cash-flow-report/,574,2017-12-31,Philip Taylor,26,
How to File Your Taxes for Free This Year!,https://ptmoney.com/3-ways-to-file-your-taxes-for-free/,1313,2018-01-03,Philip Taylor,12,
The Last Day to File Taxes in 2018 (Don't Forget!),https://ptmoney.com/last-day-to-file-taxes-calendar/,775,2018-01-03,Philip Taylor,19,
The Important Things We're Saving For (Our Savings Goals for 2018),https://ptmoney.com/our-current-savings-goals/,1256,2018-01-05,Philip Taylor,60,
52 Week Money Challenge [New Printable for 2018],https://ptmoney.com/52-week-money-saving-challenge/,708,2018-01-05,Philip Taylor,43,
039: Travel in Style with Credit Card and Travel Expert Jason Steele,https://ptmoney.com/jason/,2743,2017-09-13,Philip Taylor,1,
How Long Will it Take To Get Your Tax Refund?,https://ptmoney.com/how-long-does-it-take-to-get-my-tax-refund/,1205,2018-01-03,Philip Taylor,556,
036: Increase Your Profits Like a Boss with Hilary Hendershott,https://ptmoney.com/hilary/,1281,2017-08-23,Philip Taylor,0,
037: Radical Personal Finance with Joshua Sheats,https://ptmoney.com/radical/,1995,2017-08-29,Philip Taylor,0,
Meet Me at Your Money Live! in Dallas this October 27th,https://ptmoney.com/your-money-live/,674,2017-08-31,Philip Taylor,2,
45 Christmas Gift Ideas Under $25,https://ptmoney.com/christmas-gift-ideas/,2506,2017-09-05,Philip Taylor,20,
038: Unemployed to Self-Employed with LaTisha Styles,https://ptmoney.com/latisha/,1419,2017-09-06,Philip Taylor,0,
040: Teaching Your Kids About Money with FamZoo's Bill Dwight,https://ptmoney.com/bill/,293,2017-09-20,Philip Taylor,1,
041: How to Become So Money with Farnoosh Torabi,https://ptmoney.com/farnoosh/,264,2017-09-27,Philip Taylor,0,
042: Side Hustle Your Success with Chris Guillebeau,https://ptmoney.com/hustle/,286,2017-10-04,Philip Taylor,0,
043: Couples and Money with Elle Martinez,https://ptmoney.com/elle/,269,2017-10-11,Philip Taylor,0,
How I Use Excel to Manage My Family's Budget,https://ptmoney.com/family-budget-with-excel/,2124,2017-10-04,Emily Guy Birken,3,
044: Building a Wealthy Mindset with The Money Guy Brian Preston,https://ptmoney.com/moneyguy/,283,2017-10-18,Philip Taylor,0,
045: Become the Investor in Your Family with Brian Bain,https://ptmoney.com/brian/,247,2017-10-25,Philip Taylor,2,
046: Star in Your Own Financial Success Story with Sarah Li Cain,https://ptmoney.com/sarah/,217,2017-11-08,Philip Taylor,0,
047: Savvy Money Moves with TEDx Speaker and Filmmaker Adam Carroll,https://ptmoney.com/adam/,223,2017-11-08,Philip Taylor,0,
030: Focusing on Long-Term Financial Success with Eric Rosenberg,https://ptmoney.com/eric/,2026,2017-07-13,Philip Taylor,0,
Master Your Small Business Accounting with QuickBooks Online,https://ptmoney.com/small-business-accounting-quickbooks-online/,1009,2017-07-06,Emily Guy Birken,0,
7 Different Ways to Score Cash Bonuses of $100 or More!,https://ptmoney.com/sign-up-bonuses/,1672,2017-07-06,Philip Taylor,0,
How to Make Money Driving for Uber,https://ptmoney.com/make-money-driving-uber/,1215,2017-07-18,Philip Taylor,0,
031: Finding Hope and Making Sense of Your Finances with Alaya Linton,https://ptmoney.com/alaya/,2656,2017-07-19,Philip Taylor,0,
Get Cash for Your Home Equity - No Monthly Payments Required with Unison HomeOwner [Review],https://ptmoney.com/unison-homeowner-review/,3251,2017-07-20,Philip Taylor,2,
Ally Invest Managed Portfolios: Investing Guidance from a Trusted Name,https://ptmoney.com/ally-invest-managed-portfolios/,698,2017-07-25,Harmony Smith,1,
"032: Live Well Today and Tomorrow with Roger Whitney, the Retirement Answer Man",https://ptmoney.com/roger/,2238,2017-07-26,Philip Taylor,0,
Ally Invest [formerly TradeKing] Review: Online Stock Broker with Award-Winning History,https://ptmoney.com/ally-invest/,820,2017-08-01,Harmony Smith,0,
033: Stop Worrying About Money with J. David Stein from Money for the Rest of Us,https://ptmoney.com/david/,1652,2017-08-02,Philip Taylor,0,
17 Winning Tips & Tricks To Legally Eliminate Credit Card Debt (For Good!),https://ptmoney.com/legally-eliminate-credit-card-debt/,1410,2017-08-08,Philip Taylor,7,
034: Buying Your First Home with Lauren Bowling of Financial Best Life,https://ptmoney.com/laurenb/,2353,2017-08-09,Philip Taylor,1,
035: The Secrets to Investing Success and Building Wealth with Author Dr. Daniel Crosby,https://ptmoney.com/daniel/,1604,2017-08-16,Philip Taylor,1,
CIT Bank Premier High-Yield Savings Account Review,https://ptmoney.com/cit-bank-premier-high-yield-savings-account-review/,820,2017-08-18,Philip Taylor,0,
5 Tax Breaks for First Time Homebuyers,https://ptmoney.com/tax-breaks-first-time-home-buyers/,727,2017-08-19,Ashley Chorpenning,10,
The Best Retirement Calculators [How Much Will You Need to Retire?],https://ptmoney.com/best-retirement-calculators/,1328,2017-06-26,Emily Guy Birken,0,
