title,link,word_count,date,author,comments_count,notes
Four Things Procrastinators Need to Learn,http://www.raptitude.com/2018/04/four-things-procrastinators-need-to-learn/,1197,2018/04,David Cain,N/A,
Why The Other Side Won't Listen to Reason,http://www.raptitude.com/2018/04/why-the-other-side-wont-listen-to-reason/,1501,2018/04,David Cain,40,
How Billionaires Stole My Mind,http://www.raptitude.com/2017/04/how-billionaires-stole-my-mind/,1444,2017/04,David Cain,N/A,
Want More Time? Get Rid of The Easiest Way to Spend It,http://www.raptitude.com/2017/06/want-more-time-get-rid-of-the-easiest-way-to-spend-it/,1442,2017/06,David Cain,N/A,
"You Never Have Time, Only Intentions",http://www.raptitude.com/2017/05/you-never-have-time-only-intentions/,1330,2017/05,David Cain,N/A,
How to Do It Tomorrow Instead of Never,http://www.raptitude.com/2017/04/how-to-do-it-tomorrow-instead-of-never/,1245,2017/04,David Cain,N/A,
The Art of The Hard Part,http://www.raptitude.com/2017/04/the-art-of-the-hard-part/,1204,2017/04,David Cain,N/A,
Where Personal Breakthroughs Really Come From,http://www.raptitude.com/2017/06/where-personal-breakthroughs-really-come-from/,1273,2017/06,David Cain,N/A,
Three Things We All Need to Know About Desire,http://www.raptitude.com/2017/07/three-things-we-all-need-to-know-about-desire/,1265,2017/07,David Cain,N/A,
Wise People Have Rules For Themselves,http://www.raptitude.com/2017/07/wise-people-have-rules-for-themselves/,1147,2017/07,David Cain,N/A,
The Alternative to Thinking All the Time,http://www.raptitude.com/2017/07/alternative-to-thinking-all-the-time/,1200,2017/07,David Cain,N/A,
Five Things I Learned From Not Drinking for Four Months,http://www.raptitude.com/2017/05/five-things-i-learned-from-not-drinking-for-four-months/,1840,2017/05,David Cain,N/A,
"When You Can't Stop Looking Ahead, Look Backwards",http://www.raptitude.com/2017/08/look-backwards/,1112,2017/08,David Cain,N/A,
The Cost of a Free Lunch,http://www.raptitude.com/2017/08/the-cost-of-a-free-lunch/,1963,2017/08,David Cain,N/A,
