title,link,word_count,date,author,comments_count,notes
4 Things I Learned From Going Old School,http://roglawfitness.com/going-old-school/,1271,"June 17, 2015",Roger Lawson II,0,
The Fuck Factory,http://roglawfitness.com/the-fuck-factory/,967,"October 12, 2015",Roger Lawson II,1,
Compare More and Create More,http://roglawfitness.com/comparison/,808,"January 6, 2016",Roger Lawson II,2,
Fake It Till You Make It,http://roglawfitness.com/fake-it-till-you-make-it/,64,"June 15, 2016",Roger Lawson II,0,
The Myth of Special,http://roglawfitness.com/the-myth-of-special/,717,"June 12, 2016",Roger Lawson II,0,
6 Ways To Be a More Positive Person Today,http://roglawfitness.com/how-to-be-positive/,2161,"February 11, 2016",Roger Lawson II,1,
How a 90 Year-Old Sushi Chef Can Make You Sexy,http://roglawfitness.com/jiro-dreams-of-sexy/,735,"August 24, 2016",Roger Lawson II,0,
Fat Loss & Muscle Building Supplements,http://roglawfitness.com/fat-loss-muscle-building-supplements/,540,"January 8, 2015",Roger Lawson II,2,
Men: Can Fitness Supercharge Your Sex Life?,http://roglawfitness.com/supercharge-your-sex-life/,1035,"January 22, 2015",Roger Lawson II,0,
It's Always Your Fault,http://roglawfitness.com/its-your-fault/,1013,"June 6, 2015",Roger Lawson II,0,
The Unbearable Lightness of Not Giving a Fuck: Why Caring Less Helps You Live More,http://roglawfitness.com/the-unbearable-lightness-of-not-giving-a-fuck/,1418,"September 17, 2014",Roger Lawson II,11,
6 Tips From The Hulk to Help You Smash Diet Anxiety For Good,http://roglawfitness.com/hulk-smash-diet-anxiety/,1443,"August 29, 2013",Roger Lawson II,24,
An Open Letter to People Struggling to Exercise,http://roglawfitness.com/an-open-letter-to-people-struggling-to-exercise/,1625,"October 7, 2014",Roger Lawson II,19,
The Great Comparison Hoax,http://roglawfitness.com/the-great-comparison-hoax/,1292,"October 28, 2014",Roger Lawson II,2,
Game Of Bones: 3 Ways To Crush Stiffness And Prepare Your Body For Battle (AKA Life),http://roglawfitness.com/game-of-bones/,1396,"October 21, 2014",Roger Lawson II,1,
How To Take Charge Of Your Motivation,http://roglawfitness.com/how-to-take-charge-of-your-motivation/,1498,"November 4, 2014",Roger Lawson II,1,
Man Wastes Life So You Don't Have To,http://roglawfitness.com/man-wastes-life-so-you-dont-have-to/,1259,"November 11, 2014",Roger Lawson II,0,
Audio Lovin,http://roglawfitness.com/audio-lovin/,176,"November 18, 2014",Roger Lawson II,0,
Flotation Tank: A Quick & Easy Way To Beat Stress,http://roglawfitness.com/flotation-tank-a-quick-easy-way-to-beat-stress/,1165,"December 10, 2014",Roger Lawson II,0,
How To Use Your Gaming Skills For Fitness Success,http://roglawfitness.com/how-to-use-your-gaming-skills-for-fitness-success/,1432,"December 22, 2014",Roger Lawson II,1,
The Ultimate Guide To Turning Yourself On,http://roglawfitness.com/glutes-the-ultimate-guide-to-turning-yourself-on/,672,"December 6, 2012",Roger Lawson II,25,
Free Zombie Survival Workout!,http://roglawfitness.com/roglaw-loves-you-and-wants-you-to-live/,425,"December 21, 2012",Roger Lawson II,0,
"20+ Ways to Live a More Positive, Fulfilling and Happy Life",http://roglawfitness.com/13-ways-to-live-a-more-positive-fulfilling-and-happy-life/,3637,"October 17, 2012",Roger Lawson II,42,
The Zombie Apocalypse: Friends Don't Let Friends Get Eaten,http://roglawfitness.com/zombie-apocalypse-survival-workout/,718,"December 18, 2012",Roger Lawson II,4,
Life and Training Lessons From Dragon Ball Z,http://roglawfitness.com/life-and-training-lessons-from-dragon-ball-z/,1478,"January 24, 2013",Roger Lawson II,10,
"20+ Ways to Live a More Positive, Fulfilling and Happy Life",http://roglawfitness.com/20-ways-to-live-a-more-positive-fulfilling-and-happy-life/,3652,"January 1, 2013",Roger Lawson II,9,
Achieving and Maintaining Your Sexy With Alternate Day Fasting,http://roglawfitness.com/achieving-and-maintaining-your-sexy-with-alternate-day-fasting/,2651,"April 25, 2013",Roger Lawson II,34,
"3 Powerful Exercises To Keep Your Chest Swole, Triceps Terrifying & Shoulders Pain Free",http://roglawfitness.com/3-powerful-exercises-to-keep-your-chest-swole-triceps-terrifying-shoulders-pain-free/,672,"May 7, 2013",Roger Lawson II,17,
