title,link,word_count,date,author,comments_count,notes
6 Ways to Stop Overeating at Night,http://romanfitnesssystems.com/articles/6-ways-to-stop-nighttime-overeating-time/,1137,,Sam Forget,5,
A Toast to Pain: Our Most Valuable Teacher,http://romanfitnesssystems.com/articles/a-toast-to-pain-our-most-valuable-teacher/,388,,John Romaniello,3,
What To Do When Success Breeds Stagnation,http://romanfitnesssystems.com/articles/when-success-breeds-stagnation/,1032,,John Romaniello,2,
Why I Will Never Go to The Doctor Again,http://romanfitnesssystems.com/articles/steadymd-review-why-i-will-never-go-to-the-doctor-again/,829,,John Romaniello,4,
When to Sever a Friendship,http://romanfitnesssystems.com/articles/sever-end-a-friendship-relationships/,343,,John Romaniello,0,
"King Arthur, The Round Table, and Your Writing",http://romanfitnesssystems.com/articles/king-arthur-the-round-table-and-your-writing/,598,,John Romaniello,4,
Turkish Get-Ups Will Never Not Look Stupid But Here's Why They're Awesome,http://romanfitnesssystems.com/articles/turkish-get-ups/,1233,,Tom Coffey,3,
"What People Misunderstand About ""Write Drunk, Edit Sober""",http://romanfitnesssystems.com/articles/accessing-true-source-creative-genius/,342,,John Romaniello,4,
How To Win An Argument Without Making People Hate You,http://romanfitnesssystems.com/articles/how-to-win-an-argument-without-making-people-hate-you/,2015,,Sharí Alexander,2,
Productivity Hack: 7 Tricks to Steal From the World's Top Performers,http://romanfitnesssystems.com/articles/7-productivity-hacks-worlds-top-performers/,2090,,Craig Ballantyne,6,
Benching Isn't Even That Cool But If You're Gonna Do It Here's How to Add 50 Pounds In 3 Months,http://romanfitnesssystems.com/articles/benching-add-50-pounds-in-3-months-muscle-gain/,3042,,John Fawkes,6,
20 Rep Squats: The Definitely Not Secret Secret to Building Huge Legs That No One Does Because Its Really Hard,http://romanfitnesssystems.com/articles/20-rep-squats-secret-build-huge-legs/,1800,,Claudio Espinoza,3,
4 Mental Toughness Hacks I Learned in U.S. Special Operations,http://romanfitnesssystems.com/articles/mental-toughness-hacks-us-special-operations/,838,,Brian Dayman,2,
Find What You Love And Let It Kill You…Or At Least Be A Dick About It,http://romanfitnesssystems.com/articles/find-what-you-love-and-let-it-kill/,511,,John Romaniello,1,
Why SHOULD Can Suck It: How to Make Progress and Move the Needle Every Day,http://romanfitnesssystems.com/articles/should-can-suck-make-progress-motivation/,995,,Emily Stonecipher,4,
The Art of Influence: 11 Techniques to Steal from House of Cards,http://romanfitnesssystems.com/articles/influence-people-frank-underwood-house-cards/,1969,,Sharí Alexander,1,
FACT: Massive Forearms Unlock the Mysteries of the Universe,http://romanfitnesssystems.com/articles/fact-massive-forearms-unlock-mysteries-universe/,1227,,John Romaniello,1,
How to Make People Love You in 5 Minutes,http://romanfitnesssystems.com/articles/how-to-make-people-love-you-in-5-minutes/,1054,,John Romaniello,3,
Anabolic Stretching: An Oft-Overlooked Training Facet to Ramp Up Single Bodypart Growth,http://romanfitnesssystems.com/articles/anabolic-stretching-single-bodypart-growth-muscle-gain/,1030,,Peter Tzemis,2,
