title,link,word_count,date,author,comments_count,notes
"Challenge Coordination, Deal with Frustration",http://rosstraining.com/blog/2018/02/05/challenge-coordination-deal-with-frustration/,547,"February 5th, 2018",Ross,1,
Standing Ab Wheel Rollout Progression,http://rosstraining.com/blog/2018/03/30/standing-ab-wheel-rollout-progression/,810,"March 30th, 2018",Ross,2,
Outdoor Sledgehammer Training,http://rosstraining.com/blog/2018/03/27/outdoor-sledgehammer-training/,732,"March 27th, 2018",Ross,1,
Consistency is my Greatest Weapon,http://rosstraining.com/blog/2018/01/24/consistency-greatest-weapon/,787,"January 24th, 2018",Ross,7,
The Mental Aspect of Hill Sprints,http://rosstraining.com/blog/2018/01/18/mental-aspect-hill-sprints/,651,"January 18th, 2018",Ross,2,
Discipline Over Motivation,http://rosstraining.com/blog/2018/01/14/discipline-over-motivation/,170,"January 14th, 2018",Ross,6,
Old School is Still a Great School,http://rosstraining.com/blog/2018/02/09/old-school-still-great-school/,516,"February 9th, 2018",Ross,6,
Running and Skipping in Boots,http://rosstraining.com/blog/2018/01/26/running-skipping-boots/,742,"January 26th, 2018",Ross,3,
Old School Russian Training,http://rosstraining.com/blog/2018/02/20/old-school-russian-training/,442,"February 20th, 2018",Ross,6,
"Simplify with Kimura, Dan Gable, and Fedor",http://rosstraining.com/blog/2018/01/31/simplify-with-kimura-dan-gable-and-fedor/,395,"January 31st, 2018",Ross,5,
Training with a Monster Tire,http://rosstraining.com/blog/2017/12/27/training-with-a-monster-tire/,682,"December 27th, 2017",Ross,1,
Power Training with Intent,http://rosstraining.com/blog/2017/12/30/power-training-with-intent/,698,"December 30th, 2017",Ross,1,
Good Things Take Time,http://rosstraining.com/blog/2018/01/12/good-things-take-time/,167,"January 12th, 2018",Ross,5,
"New Year Reflection, Not Resolution",http://rosstraining.com/blog/2018/01/02/new-year-reflection-not-resolution/,448,"January 2nd, 2018",Ross,0,
Suspension Training and Simplicity,http://rosstraining.com/blog/2017/11/16/suspension-training-simplicity/,644,"November 16th, 2017",Ross,5,
Neck Training Options,http://rosstraining.com/blog/2018/01/03/neck-training-options/,758,"January 3rd, 2018",Ross,4,
Inspiration From José Altuve,http://rosstraining.com/blog/2017/11/22/inspiration-jose-altuve/,178,"November 22nd, 2017",Ross,0,
Maintaining Coordination when Fatigued,http://rosstraining.com/blog/2017/10/13/maintaining-coordination-when-fatigued/,695,"October 13th, 2017",Ross,5,
