title,link,word_count,date,author,comments_count,notes
"Marriage Is Depressing, Especially For Some Women",http://www.scienceofrelationships.com/home/2018/4/3/marriage-is-depressing-especially-for-some-women.html,101,"April 3, 2018",Dr. Gary Lewandowski,,
Explaining Royal Love: Prince Harry and the Allure of Implicit Egotism,http://www.scienceofrelationships.com/home/2018/1/15/explaining-royal-love-prince-harry-and-the-allure-of-implici.html,230,"January 15, 2018",Dr. Sadie Leder-Elder,,
Blending Homes:  Making the Complex Decision with Kids,http://www.scienceofrelationships.com/home/2018/2/20/blending-homes-making-the-complex-decision-with-kids.html,845,"February 20, 2018",Dr. Jennifer Jill Harman,,
Too Many Fish in the Sea,http://www.scienceofrelationships.com/home/2018/2/7/too-many-fish-in-the-sea.html,612,"February 7, 2018",Richard Dowlat,,
Why Do Co-Stars Fall in Love?,http://www.scienceofrelationships.com/home/2018/1/24/why-do-co-stars-fall-in-love.html,341,"January 24, 2018",Dr. Sadie Leder-Elder,,
Proximity Alert,http://www.scienceofrelationships.com/home/2018/2/27/proximity-alert.html,496,"February 27, 2018",Richard Dowlat,,
The Couple Who Diets Together: How Your Partner Influences Your Weight Loss,http://www.scienceofrelationships.com/home/2018/3/8/the-couple-who-diets-together-how-your-partner-influences-yo.html,786,"March 8, 2018",Dr. Marni Amsellem,,
All Mixed Up: Life in a Blended Family,http://www.scienceofrelationships.com/home/2018/2/19/all-mixed-up-life-in-a-blended-family.html,837,"February 19, 2018",Dr. Jennifer Jill Harman,,
External Stress and Relationship Satisfaction Does Everyone React the Same?: Relationship Matters Podcast 60,http://www.scienceofrelationships.com/home/2018/3/22/external-stress-and-relationship-satisfaction-does-everyone.html,59,"March 22, 2018",Science of Relationships,,
What Did I Do Wrong? Understanding Relationship Betrayal,http://www.scienceofrelationships.com/home/2018/3/27/what-did-i-do-wrong-understanding-relationship-betrayal.html,729,"March 27, 2018",Dr. Dylan Selterman,,
