title,link,word_count,date,author,comments_count,notes
What it means to be resourceful,https://sivers.org/res,366,2018-02-23,,82,
Get specific!,https://sivers.org/get-specific,351,2018-02-25,,99,
Be an extreme character,https://sivers.org/evers,210,2018-02-28,,47,
Keep in touch,https://sivers.org/kit,246,2018-03-05,,50,
My writing process,https://sivers.org/7,69,2018-03-06,,136,
Include everyone in your success,https://sivers.org/inclev,186,2018-03-07,,10,
Detailed dreams blind you to new means,https://sivers.org/details,214,2018-03-18,,65,
Why I deleted Facebook,https://sivers.org/facebook,457,2018-03-21,,179,
Moving for Good,https://sivers.org/mfg,83,2018-03-31,,10,
Parenting : Who is it really for?,https://sivers.org/pa,659,2017-06-26,,566,
What are the odds of that?,https://sivers.org/odds,331,2017-07-03,,265,
OpenBSD 6.2 : why and how,https://sivers.org/openbsd,658,2017-10-10,,104,
Unlikely places and untangled goals,https://sivers.org/unun,585,2017-12-11,,463,
Repeatedly follow-up to show you care,https://sivers.org/3in,297,2018-01-14,,121,
It's hard to get off stage,https://sivers.org/stage,149,2018-01-16,,67,
"""Marketing"" just means being considerate",https://sivers.org/cons,140,2018-01-15,,137,
What's inside,https://sivers.org/mym1,176,2000-01-01,,12,
The context for these stories,https://sivers.org/mym2,274,2000-01-01,,1,
It's just people inside the machine!,https://sivers.org/people1,305,2000-01-02,,3,
How to get through the gates?,https://sivers.org/solicited,256,2000-01-04,,2,
Constantly ask what they really want,https://sivers.org/wdtrw,113,2000-01-10,,14,
Use the tricks that worked on you,https://sivers.org/wwoy,117,2000-01-25,,4,
A curious answer to the most common question,https://sivers.org/wysl,250,2000-01-30,,21,
Proudly exclude most people,https://sivers.org/exclude,210,2000-02-02,,15,
The most expensive vodka,https://sivers.org/vodka,124,2000-02-07,,11,
"If you target sharp enough, you will own your niche",https://sivers.org/trshr,203,2000-02-12,,4,
People search harder for the obscure,https://sivers.org/prgrk,191,2000-02-17,,3,
Touch as many of their senses as you can,https://sivers.org/senses,120,2000-02-22,,14,
Don't try to sound big,https://sivers.org/ncorp,158,2000-02-27,,6,
A hundred actors on stage,https://sivers.org/actors,114,2000-03-05,,4,
Well-rounded doesn't cut,https://sivers.org/rounded,298,2000-03-20,,6,
Test marketing,https://sivers.org/testm,201,2000-04-01,,2,
A good plan wins no matter what happens,https://sivers.org/gbp,144,2000-04-04,,4,
"Was 10%, now 90%",https://sivers.org/1090,171,2000-04-07,,13,
This is only a test. See what happens.,https://sivers.org/tvtest,171,2000-04-14,,35,
Business is creative,https://sivers.org/bizriff,177,2000-04-17,,7,
Captain T,https://sivers.org/capt,492,2000-04-20,,13,
Direct it yourself,https://sivers.org/diy,168,2000-04-10,,14,
Every breakthrough comes from someone you know,https://sivers.org/syk,150,2000-05-01,,10,
Don't be a mosquito,https://sivers.org/mosquito,62,2000-05-04,,7,
Persistence is polite,https://sivers.org/persistence,164,2000-05-07,,8,
Stay in touch with hundreds of people,https://sivers.org/hundreds,218,2000-05-10,,13,
Meet three new people every week,https://sivers.org/ppweek,227,2000-05-18,,15,
