title,link,word_count,date,author,comments_count,notes
Results From 5 Months of Strength Training,https://www.stevepavlina.com/blog/2018/03/results-from-5-months-of-strength-training/,3756,2018-03-28,,,
A New Marriage,https://www.stevepavlina.com/blog/2018/04/a-new-marriage/,1762,2018-04-16,,,
Your Hero's Journey,https://www.stevepavlina.com/blog/2018/05/your-heros-journey/,1250,2018-05-07,,,
10 Surprises About Open Relationships,https://www.stevepavlina.com/blog/2018/05/10-surprises-about-open-relationships/,6663,2018-05-09,,,
Bring Your Life Into Alignment,https://www.stevepavlina.com/blog/2017/10/bring-life-alignment/,966,2017-10-20,,,
Asking the Big Questions,https://www.stevepavlina.com/blog/2017/10/asking-big-questions/,835,2017-10-18,,,
10 Opt-in Bonuses in 10 Days,https://www.stevepavlina.com/blog/2017/11/10-opt-bonuses-10-days/,962,2017-11-26,,,
EQing Your Life,https://www.stevepavlina.com/blog/2018/02/eqing-your-life/,1944,2018-02-20,,,
Is Reality Objective or Subjective?,https://www.stevepavlina.com/blog/2017/10/is-reality-objective-or-subjective/,998,2017-10-19,,,
The Rise of Private Communities,https://www.stevepavlina.com/blog/2018/01/rise-private-communities/,7352,2018-01-01,,,
Do Orgasms Energize You or Drain You?,https://www.stevepavlina.com/blog/2018/03/do-orgasms-energize-you-or-drain-you/,1395,2018-03-26,,,
Day 30: The One Thing,https://www.stevepavlina.com/blog/2017/05/day-30-one-thing/,38,2017-05-13,,,
40 Days of Water Fasting,https://www.stevepavlina.com/blog/2017/05/40-days-water-fasting/,39,2017-05-24,,,
Beating Yourself Up,https://www.stevepavlina.com/blog/2018/02/beating-yourself-up/,2445,2018-02-05,,,
Completing Your 30-Day Trials,https://www.stevepavlina.com/blog/2017/06/completing-30-day-trials/,2512,2017-06-20,,,
Eating the Same Foods Repeatedly Is Stupid,https://www.stevepavlina.com/blog/2017/06/eating-foods-repeatedly-stupid/,2077,2017-06-27,,,
Level 10 Motivation,https://www.stevepavlina.com/blog/2017/08/level-10-motivation/,2072,2017-08-05,,,
