title,link,word_count,date,author,comments_count,notes
Pickpocket.me Review: App That Helps You Pay Student Loans,https://thecollegeinvestor.com/21751/pickpocket-me-review/,605,2018-04-12,Robert Farrington,1,
5 Quick Money Making Ideas (That Take Less Than 1 Hour),https://thecollegeinvestor.com/16135/5-quick-money-making-ideas/,974,2018-04-17,Alexa Mason,2,
Why LendingClub Is My Favorite CD Alternative (Hint: Better Returns),https://thecollegeinvestor.com/21756/lending-club-cd-alternative/,2026,2018-04-16,Robert Farrington,0,
How To Get Your Credit Score For Free With Chase Journey,https://thecollegeinvestor.com/21774/credit-score-free-chase-journey/,930,2018-04-18,Robert Farrington,0,
OneMain Financial Personal Loans Review 2018,https://thecollegeinvestor.com/21778/onemain-financial-review/,1040,2018-04-19,Robert Farrington,0,
What Is a Taxpayer Advocate and Should You Contact One?,https://thecollegeinvestor.com/21673/what-is-a-tax-advocate-and-should-you-contact-one/,838,2018-03-26,Robert Farrington,0,
When Was The Last Time You Shopped For A Bank?,https://thecollegeinvestor.com/21780/shopped-bank/,826,2018-04-20,Robert Farrington,0,
Why You Don't Need To Be Afraid Of A Credit Card,https://thecollegeinvestor.com/21708/why-you-dont-need-to-be-afraid-of-a-credit-card/,659,2018-03-27,Robert Farrington,0,
PlushCare vs. Heal: The Battle of On-Demand Online Doctors,https://thecollegeinvestor.com/21770/plushcare-vs-heal-online-doctors/,629,2018-04-13,Robert Farrington,0,
Refinancing Your Student Loans with Advantage Education Loan,https://thecollegeinvestor.com/21656/refinancing-your-student-loans-with-advantage-education-loan/,598,2018-03-27,Robert Farrington,0,
Debx Review - Using Your Credit Card Like A Debit Card,https://thecollegeinvestor.com/21670/debx-review/,1197,2018-03-23,Robert Farrington,3,
The Best Student Loans To Pay For Graduate School,https://thecollegeinvestor.com/21682/student-loans-graduate-school/,1134,2018-03-27,Robert Farrington,0,
Student Loans And Budgeting: How To Get Ahead,https://thecollegeinvestor.com/21678/student-loans-and-budgeting/,993,2018-03-28,Robert Farrington,0,
Can You Get Fired by Investing in Marijuana Stocks?,https://thecollegeinvestor.com/21701/marijuana-stocks-get-you-fired/,985,2018-04-02,Robert Farrington,2,
The 5 Best Investments to Know for Inflationary Periods,https://thecollegeinvestor.com/21710/inflationary-periods-investments/,905,2018-04-04,Robert Farrington,0,
5 Ways To Boost Your Savings In 2018,https://thecollegeinvestor.com/21728/boost-your-savings/,1052,2018-04-05,Robert Farrington,0,
The Best Bank CD Rates Of 2018 (updated daily),https://thecollegeinvestor.com/21693/best-bank-cd-rates/,1468,2018-03-30,Robert Farrington,0,
How To Get Started With House Hacking To Build Real Estate Wealth,https://thecollegeinvestor.com/21741/house-hacking/,2077,2018-04-09,Robert Farrington,2,
50+ Ways To Make Money Fast By Side Hustling,https://thecollegeinvestor.com/14608/make-money-fast-side-hustling/,5787,2018-04-03,Robert Farrington,15,
Goldman Sachs -- Marcus Savings Account Review,https://thecollegeinvestor.com/21746/goldman-sachs-marcus-review/,665,2018-04-10,Robert Farrington,2,
The Ultimate Guide To Disputing A Medical Bill And Reducing Your Payment,https://thecollegeinvestor.com/21732/disputing-medical-bill/,2912,2018-04-11,Robert Farrington,4,
Roofstock Review 2018: Easily Invest In Single Family Rental Properties,https://thecollegeinvestor.com/21592/roofstock-review/,822,2018-03-15,Robert Farrington,0,
The Best Student Loans To Pay For Your MBA (Business School),https://thecollegeinvestor.com/21557/student-loans-mba/,1587,2018-03-16,Robert Farrington,0,
The 10 Best Places To Refinance Student Loans In 2018,https://thecollegeinvestor.com/21558/best-places-refinance-student-loans/,1872,2018-03-17,Robert Farrington,0,
The 30 Best Summertime Job Ideas for Teenagers,https://thecollegeinvestor.com/21717/summertime-teenager-job-ideas/,1310,2018-04-06,Robert Farrington,0,
Should You Pay For Audit Protection For Your Taxes?,https://thecollegeinvestor.com/21531/pay-audit-protection-taxes/,866,2018-03-07,Robert Farrington,0,
When Does It Make Sense To Have A Pro Review Your Tax Return?,https://thecollegeinvestor.com/21518/make-sense-pro-review-tax-return/,856,2018-03-08,Robert Farrington,0,
Understanding Infinite Banking: Does It Make Sense For You?,https://thecollegeinvestor.com/21605/understanding-infinite-banking/,583,2018-03-07,Robert Farrington,0,
The Best Partners For A Shipping Business,https://thecollegeinvestor.com/21607/partners-shipping-business/,714,2018-03-10,Robert Farrington,0,
Options If You Can't Afford Your Parent PLUS Loans,https://thecollegeinvestor.com/17101/options-if-you-cant-afford-your-parent-plus-loans/,1225,2018-03-09,Robert Farrington,85,
How To Invest In EOS (EOS) - The Cryptocurrency That Is A Platform,https://thecollegeinvestor.com/21624/invest-eos/,1021,2018-03-11,Robert Farrington,0,
How To Invest In Monero (XMR) - The Private Cryptocurrency,https://thecollegeinvestor.com/21626/invest-monero-xmr/,1037,2018-03-11,Robert Farrington,0,
How To Invest In Stellar (XLM) - International P2P Money Transfer,https://thecollegeinvestor.com/21630/invest-stellar-xlm/,932,2018-03-11,Robert Farrington,0,
How To Invest In NEM (XEM) - The Crypto For Business,https://thecollegeinvestor.com/21628/invest-nem-xem/,1039,2018-03-11,Robert Farrington,0,
How To Invest In IOTA (MIOTA) - Cryptocurrency Of The IoT,https://thecollegeinvestor.com/21632/invest-in-iota-miota/,982,2018-03-11,Robert Farrington,0,
The Best Student Loans To Pay For Medical School,https://thecollegeinvestor.com/21540/best-student-loans-pay-for-medical-school/,1501,2018-03-12,Robert Farrington,0,
Why The Debt Snowball Is Bad For Student Loan Borrowers,https://thecollegeinvestor.com/21586/debt-snowball-bad-student-loan-borrowers/,952,2018-03-14,Robert Farrington,0,
80 Different Ways To Get Student Loan Forgiveness,https://thecollegeinvestor.com/21541/different-ways-to-get-student-loan-forgiveness/,5036,2018-03-13,Robert Farrington,0,
The Top 10 Most Popular Cryptocurrencies To Invest In,https://thecollegeinvestor.com/21641/most-popular-crypto-currencies/,1302,2018-03-18,Robert Farrington,0,
Five Things To Understand Before Investing In A Real Estate Deal,https://thecollegeinvestor.com/21634/understand-investing-real-estate-deal/,1121,2018-03-18,Robert Farrington,0,
Trump Student Loan Forgiveness Changes And Proposals,https://thecollegeinvestor.com/21636/trump-student-loan-forgiveness/,1701,2018-03-19,Robert Farrington,2,
Having A Baby Changes Everything...  Including Your Taxes,https://thecollegeinvestor.com/21373/taxes-when-you-have-baby/,972,2018-02-13,Robert Farrington,0,
"How This Mom Paid Off $100,000 In Student Loan Debt",https://thecollegeinvestor.com/21378/mom-paid-off-100000-student-loan-debt/,1125,2018-02-14,Robert Farrington,0,
Can You File Your Taxes From An App?,https://thecollegeinvestor.com/21384/can-file-taxes-app/,635,2018-02-15,Robert Farrington,0,
Meet Tally Review,https://thecollegeinvestor.com/21395/meet-tally-review/,874,2018-02-15,Robert Farrington,0,
How Investment Fees Can Destroy Your Portfolio Returns,https://thecollegeinvestor.com/21402/investment-fees-can-destroy-portfolio-returns/,855,2018-02-16,Robert Farrington,0,
Is Trading Ripple (XRP) Risky?,https://thecollegeinvestor.com/21463/trading-ripple-xrp-risk/,432,2018-02-18,Robert Farrington,0,
Refinancing A Mortgage With Student Loan Debt,https://thecollegeinvestor.com/21416/refinancing-mortgage-student-loan-debt/,885,2018-02-20,Robert Farrington,0,
How To Create Harmonious Wealth,https://thecollegeinvestor.com/21464/create-harmonious-wealth/,793,2018-02-19,Robert Farrington,0,
