title,link,word_count,date,author,comments_count,notes
Join Me for the Official Get Money Book Launch!,https://www.thewildwong.com/join-me-for-the-official-get-money-book-launch/,533,"Feb 21, 2018",Kristin Wong,0,
You Can't Buy Your Way to Better Habits,https://www.thewildwong.com/spending-money-better-habits/,1061,"Jan 18, 2018",Kristin Wong,12,
Why I Wrote a Book About Money,https://www.thewildwong.com/getmoneybook/,1497,"Mar 27, 2018",Kristin Wong,15,
Plan Your Money Goals Backwards,https://www.thewildwong.com/plan-money-goals-backwards/,882,"Jan 25, 2018",Kristin Wong,13,
How Freelancers Can Ditch the Starving Artist Mindset,https://www.thewildwong.com/a-practical-guide-to-ditching-the-starving-artist-mindset/,3802,"Mar 1, 2018",Kristin Wong,0,
Money and Relationships: How We Got on the Same Page,https://www.thewildwong.com/money-and-relationships/,1784,"Mar 15, 2018",Kristin Wong,18,
How to Deal With Money Regret,https://www.thewildwong.com/how-to-deal-with-money-regret/,822,"Jan 11, 2018",Kristin Wong,12,
How to Manage Money When You Hate Money,https://www.thewildwong.com/how-to-manage-money-when-you-hate-money/,1886,"Apr 19, 2018",Kristin Wong,9,
"Make Money Writing: ""Come Write With Us"" is Live!",https://www.thewildwong.com/make-more-money-writing-come-write-with-us-is-live/,1688,"Jan 4, 2018",Kristin Wong,2,
5 Questions to to Set Your Freelance Writing Rates,https://www.thewildwong.com/freelance-writing-rates/,1344,"Dec 21, 2017",Kristin Wong,2,
How to Decide When to Use Money to Buy Time,https://www.thewildwong.com/money-buys-happiness-when-you-spend-it-on-time/,933,"Dec 14, 2017",Kristin Wong,4,
The Buyerarchy of Needs: A Practical Guide to Spending Money,https://www.thewildwong.com/a-practical-guide-to-spending-money/,1105,"Feb 8, 2018",Kristin Wong,10,
A Guide to Switching Careers,https://www.thewildwong.com/switching-careers/,1410,"Oct 12, 2017",Kristin Wong,8,
A Look at Consumer Greed in a Post-Recession Economy,https://www.thewildwong.com/a-look-at-consumer-greed-in-a-post-recession-economy/,1250,"Oct 19, 2017",Guest Writer,1,
An Introvert's Guide to Navigating Conferences,https://www.thewildwong.com/networking-for-introverts/,1056,"Oct 26, 2017",Kristin Wong,6,
The Psychology Behind Clothing,https://www.thewildwong.com/the-psychology-behind-clothing-2/,1348,"Nov 2, 2017",Kristin Wong,16,
Where to Find Freelance Writing Jobs,https://www.thewildwong.com/where-to-find-freelance-writing-jobs/,1936,"Nov 9, 2017",Kristin Wong,6,
"""Why Don't They Teach This in School?""",https://www.thewildwong.com/why-dont-they-teach-this-in-schools/,624,"Nov 16, 2017",Kristin Wong,6,
Sometimes You Have to Quit,https://www.thewildwong.com/sometimes-you-have-to-quit/,1408,"Dec 7, 2017",Kristin Wong,9,
I'm Officially in Holiday Mode.,https://www.thewildwong.com/holiday-mode/,1074,"Nov 30, 2017",Kristin Wong,9,
How I Budget With a Variable Income,https://www.thewildwong.com/how-to-budget-variable-income/,1008,"Jul 20, 2017",Kristin Wong,11,
Where Have I Been?,https://www.thewildwong.com/where-have-i-been/,367,"Aug 17, 2017",Kristin Wong,8,
How to Stay in Vacation Mode Once It's Over,https://www.thewildwong.com/how-to-stay-in-vacation-mode/,1706,"Jul 13, 2017",Kristin Wong,10,
You've Blown Your Budget. Here's What to Do Next,https://www.thewildwong.com/how-to-budget-when-youve-blown-it/,871,"Aug 24, 2017",Kristin Wong,2,
Hurricane Harvey: How You Can Help,https://www.thewildwong.com/hurricane-harvey-how-to-help/,881,"Aug 30, 2017",Kristin Wong,5,
The Case for Being Unproductive,https://www.thewildwong.com/productivity-guilt/,943,"Sep 7, 2017",Kristin Wong,16,
How to Invest When You Don't Have a 401(k),https://www.thewildwong.com/how-to-invest-how-to-save-for-retirement/,1647,"Sep 14, 2017",Kristin Wong,6,
How to Write a Book (Without Losing Your Mind),https://www.thewildwong.com/long-term-goals-how-to-write-a-book/,1082,"Oct 5, 2017",Kristin Wong,5,
"What Happens When You Negotiate and Get a ""No""",https://www.thewildwong.com/how-to-negotiate-turned-down/,590,"Sep 28, 2017",Kristin Wong,0,
My Favorite Tips for Overcoming Writer's Block,https://www.thewildwong.com/overcoming-writers-block/,1107,"Sep 21, 2017",Kristin Wong,7,
How to Become a Freelance Writer With No Experience,https://www.thewildwong.com/how-to-become-a-freelance-writer-with-no-experience/,1919,"Apr 6, 2017",Kristin Wong,8,
How to Use the Anchoring Bias for Negotiating Salary,https://www.thewildwong.com/anchoring-bias-negotiating-salary/,796,"Apr 27, 2017",Kristin Wong,12,
"Why ""Grow Thicker Skin"" Is Bad Advice for Writers",https://www.thewildwong.com/how-to-deal-with-rejection/,1128,"Apr 13, 2017",Kristin Wong,18,
"How to Answer ""What Do You Do?"" When You're a Freelancer",https://www.thewildwong.com/how-to-answer-what-do-you-do/,1380,"May 11, 2017",Kristin Wong,14,
"How to Deal With a ""Vulnerability Hangover""",https://www.thewildwong.com/vulnerability-hangover/,1654,"Jun 8, 2017",Kristin Wong,12,
How to Thrive at Work When You're an Introvert,https://www.thewildwong.com/how-to-define-introverted/,2161,"May 25, 2017",Guest Writer,5,
A Quick Tip for Waking Up Early to Write,https://www.thewildwong.com/quick-tip-waking-early-write/,638,"Jun 15, 2017",Kristin Wong,8,
Here's What People Buy When They Spend Impulsively,https://www.thewildwong.com/impulsive-spending/,990,"Jun 22, 2017",Kristin Wong,13,
Let's Bust Some Freelancing Writing Myths,https://www.thewildwong.com/common-myths-about-freelancing-writing/,2188,"Jul 6, 2017",Kristin Wong,12,
My Favorite Things to Do in Copenhagen,https://www.thewildwong.com/things-to-do-in-copenhagen/,1038,"Jun 29, 2017",Kristin Wong,2,
Why We Get Stuck in Ruts (and How to Break Out of Them),https://www.thewildwong.com/getting-out-of-a-rut/,1979,"Feb 9, 2017",Kristin Wong,6,
Luck Is Not the Opposite of Hard Work,https://www.thewildwong.com/luck-vs-hard-work/,1216,"Feb 2, 2017",Kristin Wong,20,
Minimalism Vs. Earning More Money,https://www.thewildwong.com/minimalism-and-income-inequality/,1043,"Jan 26, 2017",Kristin Wong,36,
"Things to Do in Reykjavík, Iceland",https://www.thewildwong.com/things-to-do-in-reykavik-iceland/,2768,"Feb 16, 2017",Kristin Wong,8,
What You Should Know About Taxes as a Freelancer,https://www.thewildwong.com/what-you-should-know-about-taxes-as-a-freelancer/,1347,"Feb 23, 2017",Kristin Wong,28,
How Travel Hacking With Credit Card Rewards Affects Your Credit,https://www.thewildwong.com/a-beginners-guide-to-travel-hacking-with-credit-card-rewards/,2162,"Mar 2, 2017",Kristin Wong,11,
The Single Hardest Thing About Negotiating,https://www.thewildwong.com/how-to-negotiate/,767,"Mar 9, 2017",Kristin Wong,18,
