title,link,word_count,date,author,comments_count,notes
"The Healing Power of Compassion: I See You, I Hear You, I Feel You",https://tinybuddha.com/blog/the-healing-power-of-compassion-i-see-you-i-hear-you-i-feel-you/,1141,,Anna Shelley,16,
"We Can't Do Everything, But We Can Do More Than We Think",https://tinybuddha.com/blog/we-cant-do-everything-but-we-can-do-more-than-we-think/,1454,,Colleen Haggerty,6,
Freeing Yourself from Problems and Habits by Seeing That You're Already Free,https://tinybuddha.com/blog/freeing-yourself-from-problems-and-habits/,1175,,Dr. Amy Johnson,19,
It's Okay to ‘Fail' on Your Way to Finding What You Want to Do,https://tinybuddha.com/blog/its-okay-to-fail-on-your-way-to-finding-what-you-want-to-do/,1363,,Adam Bergen,11,
"Life Is Better When We Focus on What We Appreciate, Not What's Lacking",https://tinybuddha.com/blog/life-is-better-when-we-focus-on-what-we-appreciate-not-whats-lacking/,1274,,Nicole Hind,5,
"What It Really Means to Be There and ""Hold Space"" for Someone Else",https://tinybuddha.com/blog/what-it-really-means-to-be-there-and-hold-space-for-someone-else/,965,,Danielle LaRock,3,
4 Things I Needed to Accept When I Was in Transition and Felt Insecure,https://tinybuddha.com/blog/4-things-needed-admit-to-myself-transition-feeling-impatient/,1135,,Jada Wan,12,
Feeling Empty? Here's How to Find Joy (and Yourself) Again,https://tinybuddha.com/blog/feeling-empty-heres-how-to-find-joy-and-yourself-again/,1304,,Leslie Ralph,17,
"Move Your Body, Calm Your Mind: 5 Practices That Help Ease Anxiety",https://tinybuddha.com/blog/move-your-body-calm-your-mind-5-practices-that-ease-anxiety/,1603,,Joanna Ciolek,4,
The Antidote to Shame: I Am Enough,https://tinybuddha.com/blog/the-antidote-to-shame-i-am-enough/,1319,,Christy Bonner,14,
How to Stop Feeling Lonely and Escape the Emotional Eating Cycle,https://tinybuddha.com/blog/escape-emotional-eating-stop-feeling-lonely/,1789,,Laura Lloyd,8,
Life Is Fragile: Make Time for What Matters and Let Go of What Doesn't,https://tinybuddha.com/blog/life-is-fragile-make-time-for-what-matters-and-let-go-of-what-doesnt/,1675,,Carl Phillips,12,
What's Helped Me Get Out of My Head and Do Things That Scare Me,https://tinybuddha.com/blog/whats-helped-get-head-things-scare/,1607,,Matt Hattersley,45,
7 Self-Love Practices That Helped Me Heal from a Devastating Divorce,https://tinybuddha.com/blog/7-self-love-practices-that-helped-me-heal-from-a-devastating-divorce/,1919,,Kathy Bosman,16,
How I Stopped Feeling Trapped in a Life I Didn't Want,https://tinybuddha.com/blog/how-i-stopped-feeling-trapped-in-a-life-i-didnt-want/,1526,,Jen Picicci,29,
A Different Kind of More: The Beauty of Living with Less Stuff,https://tinybuddha.com/blog/a-different-kind-of-more-the-beauty-of-living-with-less-stuff/,795,,Courtney Carver,5,
"Why Feeling ""Bad"" Isn't Really So Bad",https://tinybuddha.com/blog/why-feeling-bad-isnt-really-so-bad/,1023,,Amaya Pryce,13,
The Wounds of Rejection Heal With Self-Love and Self-Awareness,https://tinybuddha.com/blog/the-wounds-of-rejection-heal-with-self-love-and-self-awareness/,1187,,Vironika Tugaleva,17,
Take Back Your Power: Let Go of Blame and Focus on the Lesson,https://tinybuddha.com/blog/take-back-your-power-let-go-of-blame-and-focus-on-the-lesson/,1234,,Christine Rodriguez,21,
How I Transformed My Anxiety and What to Do If You Feel Emotionally Stuck,https://tinybuddha.com/blog/how-transformed-anxiety-what-to-do-emotionally-stuck/,1320,,Dr. Eric Tan,5,
The One Realization That Helped Me Forgive Myself and My Father,https://tinybuddha.com/blog/the-one-realization-that-helped-me-forgive-myself-and-my-father/,1912,,Jaclyn Costello,5,
Be Good to Yourself: 10 Powerful Ways to Practice Self-Love,https://tinybuddha.com/blog/be-good-to-yourself-10-powerful-ways-to-practice-self-love/,1758,,Maria Stenvinkel,23,
How to Accept Anxious Feelings So You Can Let Them Pass,https://tinybuddha.com/blog/how-to-accept-anxious-feelings-so-you-can-let-them-pass/,1341,,Benjamin Fishel,15,
Soften into Life and You Will be Strong,https://tinybuddha.com/blog/soften-into-life-and-you-will-be-strong/,1570,,Joshua Kauffman,10,
3 Questions That Help Me Stop Worrying About Things I've Said and Done,https://tinybuddha.com/blog/3-questions-help-work-worries-stop-obsessing/,1345,,Kieran Glennon,6,
How to Mindfully Calm Your Anger and Stop Doing Things You Regret,https://tinybuddha.com/blog/calm-anger-mindfulness-stop-things-regret/,1585,,Chris Boutté,24,
When a Wrong Can't Be Righted: How to Deal With Regret,https://tinybuddha.com/blog/when-a-wrong-cant-be-righted-how-to-deal-with-regret/,1496,,Melissa Pennel,19,
Accept Yourself Unconditionally (Even When You're Struggling),https://tinybuddha.com/blog/accept-unconditionally-even-youre-struggling/,1224,,Brianna Johnson,19,
