title,link,word_count,date,author,comments_count,notes
Develop the Powerful Habit of Mindful Focus,https://zenhabits.net/mindful-focus,857,"Tuesday, April 3, 2018",,,
Designing a Well-Lived Life,https://zenhabits.net/well-lived,580,"Thursday, December 7, 2017",Leo Babauta,,
A Training Program for Single-Tasking & Focus,https://zenhabits.net/single-tasking,1837,"Friday, December 15, 2017",Leo Babauta,,
Essential Zen Habits of 2017,https://zenhabits.net/zh2017,1063,"Friday, December 29, 2017",Leo Babauta,,
"Gratitude to Overcome Boredom, Difficulties, Complaining, & Feeling Overwhelmed",https://zenhabits.net/gratitude,1091,"Friday, November 24, 2017",Leo Babauta,,
Developing Extraordinary Resilience,https://zenhabits.net/resilience,1045,"Tuesday, November 28, 2017",Leo Babauta,,
My Depth Year 2018: The Constraints of Deep Focus,https://zenhabits.net/depth,529,"Wednesday, January 3, 2018",Leo Babauta,,
Get Better at Dealing with Anger,https://zenhabits.net/angry,1219,"Tuesday, January 9, 2018",Leo Babauta,,
A Guide to Making This Your Best Year Ever,https://zenhabits.net/best-year,1585,"Monday, January 1, 2018",Leo Babauta,,
How to Form the Decisiveness Habit,https://zenhabits.net/decisive,1552,"Tuesday, November 21, 2017",Leo Babauta,,
10 Reasons Why We Don't Stick to Things,https://zenhabits.net/wiggleroom,2491,"Wednesday, December 13, 2017",Leo Babauta,,
A Guide to Moving Courageously Into a New Uncertain Space,https://zenhabits.net/courage,1125,"Monday, January 15, 2018",,,
Three Powerful Techniques to Get Better at Habits,https://zenhabits.net/three,585,"Thursday, January 11, 2018",Leo Babauta,,
A Guide to Finding Calm & Being Less Frustrated,https://zenhabits.net/unfrustrate,899,"Tuesday, December 5, 2017",Leo Babauta,,
2006 Year in Review - A great year!,https://zenhabits.net/2006-year-in-review-great-year,699,,Leo Babauta,,
"Get Healthy and Fit, Part 1",https://zenhabits.net/get-healthy-and-fit-part-1,965,"Wednesday, January 24, 2007",Leo Babauta,,
2007: My Greatest Year Ever,https://zenhabits.net/2007-my-greatest-year-ever,743,"Wednesday, January 10, 2007",Leo Babauta,,
How to Get Fitter During the Holidays,https://zenhabits.net/holiday-fit,714,"Friday, December 1, 2017",Leo Babauta,,
